chapter,verse,"text"
1,1,"Pablo, yamá pa ta un apòstel di Jesu-Cristo, pa e boluntat di Dios, i nos ruman Sóstenes,"
1,2,"Na e iglesia di Dios ku ta na Korinto, na esnan ku a wòrdu santifiká den Cristo Jesus, yamá pa ta santu, huntu ku tur esnan ku tur kaminda ta invoká e nòmber di nos Señor Jesu-Cristo, nan Señor i di nos:"
1,3,"Grasia sea ku boso i pas di Dios nos Tata i di Señor Jesu-Cristo."
1,4,"Mi ta gradisí mi Dios semper pa boso, pa e grasia di Dios ku a wòrdu duná na boso den Cristo Jesus,"
1,5,"ku den tur kos boso a wòrdu enrikesí den djE, den tur palabra i tur konosementu,"
1,6,"meskos ku e testimonio tokante di Cristo a wòrdu konfirmá den boso,"
1,7,"pa boso no tin falta di ningun don, sperando e revelashon di nos Señor Jesu-Cristo,"
1,8,"Kende tambe lo konfirmá boso te na fin, sin kulpa den e dia di nos Señor Jesu-Cristo."
1,9,"Dios ta fiel, dor di Kende boso a wòrdu yamá pa tin komunion ku Su Yu, Jesu-Cristo nos Señor."
1,10,"Awor mi ta eksortá boso, rumannan, pa medio di e nòmber di nos Señor Jesu-Cristo, pa boso tur papia e mesun kos, i pa no tin divishon entre boso, ma pa boso ta perfektamente uní den e mesun mente i den e mesun opinion."
1,11,"Pasobra di e hendenan di kas di Cloé mi a tende, mi rumannan, ku tin pleitu entre boso."
1,12,"Awor esaki ta loke mi kier men, ku kada un di boso ta bisa: \"Ami ta disipel di Pablo,\" i \"Ami di Apolos,\" i \"Ami di Sefas,\" i \"Ami di Cristo.\""
1,13,"Cristo a wòrdu dividí anto? Ta Pablo a wòrdu krusifiká pa boso? Of ta den e nòmber di Pablo boso a wòrdu batisá?"
1,14,"Mi ta gradisí Dios ku mi no a batisá ningun di boso, ku eksepshon di Krispo i Gayo,"
1,15,"pa ningun hende no bisa ku boso a wòrdu batisá den mi nòmber."
1,16,"Awor e hendenan di kas di Stéfanas sí mi a batisá; fuera di esei mi no sa si mi por a batisá ningun otro."
1,17,"Pasobra Cristo no a mandami pa batisá, ma pa prediká e evangelio, no ku sabiduria di palabra, pa e krus di Cristo no pèrdè su poder."
1,18,"Pasobra e mensahe di e krus ta lokura pa esnan ku ta peresé, ma pa nos ku ta wòrdu salbá e ta e poder di Dios."
1,19,"Pasobra ta pará skirbí: \"Lo Mi destruí e sabiduria di e sabínan, i e inteligensia di e inteligentenan lo Mi pone un banda.\""
1,20,"Unda e hende sabí ta? Unda e eskriba ta? Unda e disputador di e siglo aki ta? Dios no a hasi sabiduria di e mundu aki bira lokura?"
1,21,"Pasobra komo ku den e sabiduria di Dios, mundu dor di su mes sabiduria no a konosé Dios, a agradá Dios di salba esnan ku ta kere dor di e lokura di e mensahe prediká."
1,22,"Pasobra di bèrdat hudiunan ta pidi señalnan i griegonan ta buska sabiduria;"
1,23,"ma nos ta prediká Cristo krusifiká, pa hudiu un piedra di trompeká, i pa pagano, lokura,"
1,24,"ma pa esnan ku ta e yamánan, tantu hudiu komo griego, Cristo, e poder di Dios i e sabiduria di Dios."
1,25,"Pasobra e lokura di Dios ta mas sabí ku hende, i e debilidat di Dios ta mas fuerte ku hende."
1,26,"Pasobra konsiderá boso yamada, rumannan, ku no tabatin hopi hende sabí segun karni, ni hopi hende poderoso, ni hopi hende nobel;"
1,27,"ma Dios a skohe e kosnan bobo di mundu pa brongosá e sabínan. I Dios a skohe e kosnan debil di mundu pa brongosá e kosnan ku ta fuerte,"
1,28,"i e kosnan baho di mundu i esnan despresiá, Dios a skohe, e kosnan ku no ta nada, pa E hasi e kosnan ku ta algu bira nada,"
1,29,"pa ningun hende no gaba dilanti di Dios."
1,30,"Pasobra dor di djE boso ta den Cristo Jesus, Kende a bira pa nos sabiduria for di Dios--i hustisia i santifikashon i redenshon."
1,31,"Pesei, manera ta pará skirbí: \"Laga esun ku ta gaba, gaba den SEÑOR.\""
2,1,"I dia ku mi a bin serka boso, rumannan, mi no a bin ku elokuensia ni ku sabiduria superior, pa proklamá na boso e testimonio di Dios."
2,2,"Pasobra mi a determiná di no sa nada meimei di boso sino Jesu-Cristo, i E, krusifiká."
2,3,"I mi tabata serka boso den debilidat i den miedu i ku hopi temblamentu."
2,4,"I mi mensahe i mi predikamentu no tabata ku palabranan pèrsuasivo di sabiduria, ma ku demostrashon di e Spiritu i di poder,"
2,5,"pa boso fe no wòrdu basá riba e sabiduria di hende, sino riba e poder di Dios."
