chapter,verse,"text"
1,1,"Adam, Sèt, Enos,"
1,2,"Kainán, Mahalaleel, Jared,"
1,3,"Enok, Matusalen, Lamek,"
1,4,"Noe, Sèm, Kam i Jafet."
1,5,"E yu hòmbernan di Jafet tabata Gomer, Magòg, Madai, Javan, Tubal, Mesek i Tiras."
1,6,"I e yu hòmbernan di Gomer tabata Askenaz, Rifat i Togarma."
1,7,"I e yu hòmbernan di Javan tabata Elisa, Tarsis, Kitim i Dodanim."
1,8,"E yu hòmbernan di Kam tabata Kus, Mizraim, Put i Kanaan."
1,9,"I e yu hòmbernan di Kus tabata Seba, Havila, Sabta, Raama i Sabteka; i e yu hòmbernan di Raama tabata Seba i Dedan."
1,10,"I Kus a engendrá Nimròd; esaki a kuminsá bira poderoso riba tera."
1,11,"I Mizraim a engendrá e pueblo di Lud, Anam, Lehab, Naftu,"
1,12,"Patrus, Kaslu, for di kualnan e filisteonan a sali, i e kaftoreonan."
1,13,"I Kanaan a engendrá Sidon, su primogénito, i Hèt,"
1,14,"i e jebuseonan, e amoreonan, e gergeseonan,"
1,15,"e heveonan, e arakeonan, e sineonan,"
1,16,"e arvadeonan, e zemareonan i e hamateonan."
1,17,"E yu hòmbernan di Sèm tabata Elam, Asur, Arfaksad, Lud, Aram, Uz, Hul, Geter i Mesek."
1,18,"I Arfaksad a engendrá Sela, i Sela a engendrá Heber."
1,19,"I Heber a haña dos yu hòmber. Nòmber di esun tabata Peleg, pasobra den su dianan e tera a wòrdu dividí, i nòmber di su ruman hòmber tabata Joktan."
1,20,"I Joktan a engendrá Almodad, Selef, Hazar-mavet, Jera,"
1,21,"Hadoram, Uzal, Dikla,"
1,22,"Ebal, Abimael, Seba,"
1,23,"Ofir, Havila i Jobab; tur esakinan tabata e yu hòmbernan di Joktan."
1,24,"Sèm, Arfaksad, Sela,"
1,25,"Heber, Peleg, Reu,"
1,26,"Serug, Nakor, Taré"
1,27,"Abram, esta, Abraham."
1,28,"E yu hòmbernan di Abraham tabata Isaak i Ismael."
1,29,"Esakinan ta nan genealogianan: e primogénito di Ismael tabata Nebaiot, despues Kedar, Adbeel, Mibsam,"
1,30,"Misma, Duma, Masa, Hadad, Tema,"
1,31,"Jetur, Nafis i Kedema; esakinan tabata e yu hòmbernan di Ismael."
1,32,"I e yu hòmbernan ku Ketura, Abraham su konkubina, a haña p'é, tabata: Zimran, Joksan, Medan, Madian, Isbak i Súa. I e yu hòmbernan di Joksan tabata Seba i Dedan."
1,33,"I e yu hòmbernan di Madian tabata Efa, Efer, Hanok, Abida i Elda. Tur esakinan tabata e yu hòmbernan di Ketura."
1,34,"I Abraham a engendrá Isaak. E yu hòmbernan di Isaak tabata Esau i Israel."
1,35,"E yu hòmbernan di Esau tabata: Elifaz, Reuel, Jeús, Jaalam i Koré."
1,36,"E yu hòmbernan di Elifaz tabata Teman, Omar, Zefo, Gatam, Kenaz, Timna i Amalek."
1,37,"E yu hòmbernan di Reuel tabata: Nahat, Zera, Sama i Miza."
1,38,"I e yu hòmbernan di Seir tabata Lotan, Sobal, Zibeon, Ana, Dison, Ezer i Disan."
1,39,"I e yu hòmbernan di Lotan tabata Hori i Homam; i Timna tabata ruman muhé di Lotan."
1,40,"E yu hòmbernan di Sobal tabata Alvan, Manahat, Ebal, Sefo i Onam. I e yu hòmbernan di Zibeon tabata Aja i Ana."
1,41,"E yu hòmber di Ana tabata Dison. I e yu hòmbernan di Dison tabata Amram, Esban, Itran i Keran."
1,42,"E yu hòmbernan di Ezer tabata Bilhan, Zaavan i Jaakan. E yu hòmbernan di Disan tabata Uz i Aran."
