chapter,verse,"text"
1,1,"Pedro, un apòstel di Jesu-Cristo, Na esnan ku ta biba komo stranhero, plamá tur rònt den Ponto, Galasia, Kapadosia, Asia i Bitinia, kendenan ta skohí"
1,2,"segun e konosementu previo di Dios Tata, pa medio di e obra di santifikashon dor di e Spiritu, pa boso por obedesé Jesu-Cristo i wòrdu gesprèngu ku Su sanger: Grasia i pas sea ku boso den abundansia."
1,3,"Bendishoná sea e Dios i Tata di nos Señor Jesu-Cristo, Kende, segun Su gran miserikòrdia, a hasi nos nase di nobo den un speransa bibu pa medio di e resurekshon di Jesu-Cristo for di e mortonan,"
1,4,"pa optené un erensia ku ta inkoruptibel i sin mancha i ku lo no marchitá, ku ta reservá den shelu pa boso,"
1,5,"kendenan ta protehá dor di e poder di Dios pa medio di fe, pa un salbashon ku ta kla pa wòrdu revelá den e último tempu."
1,6,"Den esaki boso ta regosihá grandemente, ounke ku awor pa un tempu kòrtiku, si ta nesesario, boso a wòrdu afligí pa medio di varios prueba,"
1,7,"pa e prueba di boso fe, ku ta mas presioso ku oro ku ta peresé, ounke ku e ta wòrdu probá dor di kandela, lo por resultá den alabansa i gloria i onor ora Jesu-Cristo wòrdu revelá;"
1,8,"i maske boso no a mir'E, boso ta stim'E, i maske boso no ta mir'E awor, ma ta kere den djE, boso ta regosihá grandemente ku goso inekspresabel i yen di gloria,"
1,9,"hañando komo resultado di boso fe e salbashon di boso alma."
1,10,"I di e salbashon aki e profetanan, kendenan a profetisá di e grasia ku lo a bin pa boso, a hasi búskeda i investigashon ku tur diligensia,"
1,11,"buskando pa sa ki persona òf ki tempu e Spiritu di Cristo den nan tabata indiká ora ku El a pronostiká e sufrimentunan di Cristo i e glorianan ku lo a sigui."
1,12,"A wòrdu revelá na nan ku no tabata nan mes, sino boso, nan tabata sirbi den e kosnan aki, ku awor a wòrdu anunsiá na boso dor di esnan ku a prediká e evangelio na boso pa medio di Spiritu Santu, mandá for di shelu--kosnan ku e angelnan ta anhelá di mira."
1,13,"Pesei, faha e hepnan di boso mente, sea sobrio, fiha boso speransa kompletamente riba e grasia ku lo wòrdu tresí na boso na e revelashon di Jesu-Cristo."
1,14,"Komo yunan obedesido, no konformá boso ku e pashonnan ku boso tabatin antes den boso ignoransia,"
1,15,"ma meskos ku Esun Santu ku a yama boso, boso mes tambe sea santu den tur boso kondukta;"
1,16,"pasobra ta pará skirbí: \"Boso lo ta santu, pasobra Ami ta santu.\""
1,17,"I si boso ta invoká komo Tata Esun ku imparsialmente ta huzga di akuèrdo ku kada hende su obra, komportá boso mes ku temor durante di e tempu ku boso ta pasa riba mundu,"
