chapter,verse,"text"
1,1,"Awor rei David tabata bieu, di edat avansá; i nan a tap'é, ma su kurpa no tabata keda kayente."
1,2,"Pesei su sirbidónan a bis'é: \"Laga buska un birgen hoben pa señor mi rei, i lagu'é sirbi rei i kuid'é; i lagu'é drumi banda di rei, pa señor mi rei su kurpa keda kayente.\""
1,3,"Asina nan a buska un mucha muhé bunita den henter e teritorio di Israel, i a haña Abisag e sunamita i a hib'é serka rei."
1,4,"I e mucha muhé tabata masha bunita; i el a kuida rei i a sirbié, ma rei no tabatin relashon kuné."
1,5,"Awor Adonias, yu hòmber di Haguit, a halsa su mes, bisando: \"Ami lo bira rei.\" Asina el a prepará garoshinan i koredónan di kabai pa su mes, ku sinkuenta hòmber pa kore su dilanti."
1,6,"I su tata nunka no a reprend'é ni un ora so dor di puntra: \"Pakiko bo a hasi asina?\" Ademas, e tabata un hòmber masha nèchi mes, i el a nase despues di Absalon."
1,7,"I el a konferensiá ku Joab, yu hòmber di Sarvia, i ku saserdote Abiatar; i nan a sigui Adonias i a yud'é."
1,8,"Ma saserdote Sadok, Bènaia, yu hòmber di Joiada, profeta Natan, Simei, Rei i e hòmbernan poderoso di David, no tabata na fabor di Adonias."
1,9,"I Adonias a ofresé komo sakrifisio karné i buey i bestia gòrdá banda di e piedra di Zohelet, ku ta keda pegá ku En-rogel; i el a invitá tur su ruman hòmbernan, rei su yu hòmbernan, i tur e hòmbernan di Juda, rei su sirbidónan."
1,10,"Ma e no a invitá profeta Natan, ni Bènaia, ni e hòmbernan poderoso, ni su ruman Salomon."
1,11,"E ora ei Natan a papia ku Bètsabé, mama di Salomon, bisando: \"Bo no a tende ku Adonias, yu hòmber di Haguit, a bira rei, sin ku nos señor David sa esaki?"
1,12,"Bin awor anto; pa fabor, lagami dunabo konseho i salba bo bida i bida di bo yu hòmber Salomon."
1,13,"Bai mesora serka rei David i bis'é: 'O señor mi rei, bo no a hura na bo sirbiente, bisando: \"Siguramente bo yu hòmber Salomon lo bira rei despues di mi, i e lo sinta riba mi trono\"? Pakiko anto Adonias a bira rei?'"
1,14,"Mira, mientras ku bo ta einan ainda ta papia ku rei, lo mi drenta despues di bo i konfirmá bo palabranan.\""
1,15,"Asina Bètsabé a drenta bai den kamber serka rei. Awor rei tabata hopi bieu, i Abisag e sunamita tabata sirbi rei."
1,16,"E ora ei Bètsabé a bùig i a tira su kurpa abou ku su kara te na suela dilanti di rei. I rei a bisa: \"Kiko bo ta deseá?\""
1,17,"I Bètsabé a bis'é: \"Mi señor, pa SEÑOR bo Dios bo a hura bo sirbiente, bisando: 'Siguramente bo yu hòmber Salomon lo bira rei despues di mi, i e lo sinta riba mi trono.'"
1,18,"I awor, mira, Adonias ta rei; i awor, ni sa señor mi rei no sa esaki."
1,19,"I el a ofresé komo sakrifisio buey i bestia gòrdá i karné na abundansia, i a invitá tur e yu hòmbernan di rei i saserdote Abiatar i Joab, komandante di e ehérsito; ma bo sirbidó Salomon e no a invitá."
1,20,"I pa loke t'abo awor, señor mi rei, wowo di henter Israel ta riba bo, pa bo bisa nan ta ken lo sinta riba trono di señor mi rei despues di djé."
1,21,"Sino lo sosodé ku asina señor mi rei bai sosegá serka su tatanan, ami ku mi yu hòmber Salomon lo wòrdu konsiderá komo kriminal.\""
1,22,"I mira, mientras ku e tabata papia ku rei ainda, profeta Natan a kana drenta."
1,23,"I nan a konta rei, bisando: \"Ata profeta Natan.\" I ora ku el a drenta serka rei, el a tira su kurpa abou ku su kara te na suela dilanti di rei."
1,24,"E ora ei Natan a bisa: \"Señor mi rei, ta abo a bisa: 'Ta Adonias lo bira rei despues di mi, i ta é lo sinta riba mi trono'?"
1,25,"Pasobra awe el a baha bai i a ofresé komo sakrifisio buey i bestia gòrdá i karné na abundansia, i a invitá tur rei su yu hòmbernan i e komandantenan di e ehérsito i saserdote Abiatar; i ata nan ta kome i bebe su dilanti, i nan ta bisa: 'Biba rei Adonias!'"
1,26,"Ma ni ami, bo sirbidó, ni saserdote Sadok, ni Bènaia, yu hòmber di Joiada, ni bo sirbidó Salomon e no a invitá."
1,27,"Ta señor mi rei a hasi e kos aki, sin laga bo sirbidónan sa ta ken mester sinta riba trono di señor mi rei despues di djé?\""
1,28,"E ora ei rei David a kontestá i a bisa: \"Yama Bètsabé pa mi.\" I Bètsabé a bin den presensia di rei i a bai para dilanti di rei."
1,29,"I rei a hura i a bisa: \"Manera SEÑOR ta biba, Kende a redimí mi bida for di tur angustia,"
1,30,"siguramente, manera mi a hurabo pa e SEÑOR Dios di Israel, bisando: 'Bo yu hòmber Salomon lo ta rei despues di mi, i ta é lo sinta riba mi trono na mi lugá', di bèrdat lo mi hasi asina awe.\""
1,31,"E ora ei Bètsabé a bùig ku su kara te na suela i a tira su kurpa abou dilanti di rei i a bisa: \"Ku mi señor rei David biba pa semper.\""
1,32,"Anto rei David a bisa: \"Yama saserdote Sadok, profeta Natan i Bènaia, yu hòmber di Joiada, pa mi.\" I nan a bin den presensia di rei."
1,33,"I rei a bisa nan: \"Hiba e sirbidónan di boso señor huntu ku boso, i laga mi yu hòmber Salomon kore riba mi mes mula, i hib'é Gihon."
1,34,"I laga saserdote Sadok i profeta Natan ungié einan komo rei di Israel, i supla tròmpèt i bisa: 'Biba rei Salomon!'"
1,35,"E ora ei boso mester bin su tras i é mester bin sinta riba mi trono i bira rei na mi lugá; pasobra ta é mi a nombra pa ta gobernante riba Israel i Juda.\""
1,36,"I Bènaia, yu hòmber di Joiada, a kontestá rei i a bisa: \"Amèn! Ku SEÑOR, e Dios di señor mi rei, bisa asina."
1,37,"Manera SEÑOR tabata ku señor mi rei, lagu'E ta asina tambe ku Salomon, i hasi su trono mas grandi ku trono di mi señor rei David!\""
1,38,"Asina saserdote Sadok, profeta Natan, Bènaia, yu hòmber di Joiada, e kereteonan i e peleteonan a bai i a laga Salomon kore riba e mula di rei David, i a hib'é Gihon."
1,39,"E ora ei saserdote Sadok a kohe e kachu di zeta for di e tènt i a ungi Salomon. Despues nan a supla tròmpèt, i henter e pueblo a bisa: \"Biba rei Salomon!\""
1,40,"I henter e pueblo a bai su tras, i e pueblo tabata toka flùit i tabata regosihá ku gran goso, asina ku tera tabata tembla di nan boroto."
1,41,"Awor Adonias i tur e invitadonan ku tabata huntu kuné a tende esaki ora nan a kaba di kome. Ora Joab a tende e zonidu di tròmpèt, el a bisa: \"Pakiko nan ta hasi tantu bochincha asina den stat?\""
1,42,"Mientras ku e tabata papia ainda, ata Jonatan, yu hòmber di saserdote Abiatar, a yega. I Adonias a bisa: \"Drenta, pasobra bo ta un hòmber balente i ta trese bon notisia.\""
1,43,"Ma Jonatan a kontestá i a bisa Adonias: \"Nò! Nos señor rei David a hasi Salomon rei."
1,44,"Tambe rei a manda huntu kuné saserdote Sadok, profeta Natan, Bènaia, yu hòmber di Joiada, e kereteonan i e peleteonan; i nan a lagu'é kore riba e mula di rei."
1,45,"I saserdote Sadok i profeta Natan a ungié komo rei na Gihon, i di einan nan a bin regosihando, asina ku e stat ta yen di bochincha. Esaki ta e boroto ku boso a tende."
