chapter,verse,"text"
1,1,"Awor tabatin un sierto hòmber di Ramataim-zofim di e serunan di Efrain, i su nòmber tabata Elkana, yu hòmber di Jeroham, yu hòmber di Eliú, yu hòmber di Tohu, yu hòmber di Zuf, un efrateo."
1,2,"I e tabatin dos esposa: nòmber di esun tabata Ana i nòmber di e otro tabata Penina; i Penina tabatin yu, ma Ana no tabatin yu."
1,3,"Awor tur aña e hòmber aki tabata bai for di su stat pa adorá i pa ofresé sakrifisio na e SEÑOR di ehérsitonan na Silo. I e dos yu hòmbernan di Elí, Ofni i Finees, tabata saserdote di SEÑOR ayanan."
1,4,"I ora ku e dia pa Elkana ofresé sakrifisio a yega, e tabata duna su esposa Penina i tur su yu hòmbernan i su yu muhénan nan porshon,"
1,5,"ma Ana e tabata duna un porshon dòbel, pasobra e tabata stima Ana, ma SEÑOR a sera su matris."
1,6,"Su rival, sinembargo, tabata probok'é sin miserikòrdia pa hasié sinti su mes fastioso, pasobra SEÑOR a sera su matris."
1,7,"I a sosodé ku aña tras aña, kada bes ku e tabata bai na e kas di SEÑOR, Penina tabata probok'é, asina ku e tabata yora i no tabata kome."
1,8,"Anto su esposo Elkana a bis'é: \"Ana, pakiko bo ta yora i pakiko bo no ta kome i pakiko bo kurason ta tristu asina? Mi no ta nifiká mas pa bo ku dies yu hòmber?\""
1,9,"E ora ei Ana a lanta despues di a kome i bebe na Silo. Awor saserdote Elí tabata sintá riba e asiento banda di e kosein-di-porta di e tèmpel di SEÑOR."
1,10,"I Ana, ku amargura di alma, a hasi orashon na SEÑOR i a yora mashá."
1,11,"I el a hasi un huramentu i a bisa: \"O SEÑOR di ehérsitonan, si di bèrdat Bo mira e aflikshon di Bo sirbiente i kòrda riba mi i no lubidá riba Bo sirbiente, ma duna Bo sirbiente un yu hòmber, e ora ei lo mi dun'é na SEÑOR tur e dianan di su bida, i nunka nabaha lo no pasa riba su kabes.\""
1,12,"Awor a sosodé ku mientras e tabata sigui hasi orashon den e presensia di SEÑOR, Elí tabata opservá su boka."
1,13,"Ma Ana tabata papia den su kurason, solamente su lepnan tabata move, ma no por a tende su bos. Pesei Elí a pensa ku ta burachi e tabata."
1,14,"E ora ei Elí a bis'é: \"Kuantu tempu mas lo bo sigui bebe burachi? Stòp di bebe biña.\""
1,15,"Ma Ana a kontestá i a bisa: \"Nò, mi señor, mi ta un muhé hopi tribulá. Mi no a bebe biña ni bibida stèrki, ma mi a drama mi alma dilanti di SEÑOR."
1,16,"No tuma bo sirbiente pa un muhé pèrvèrso, pasobra ta for di mi preokupashon grandi i for di mi aflikshon mi a papia te awor aki.\""
1,17,"Anto Elí a kontestá i a bisa: \"Bai na pas; i ku e Dios di Israel dunabo bo petishon ku bo a hasi na djE.\""
1,18,"I Ana a bisa: \"Laga bo sirbiente haña grasia den bo bista.\" Asina e muhé a kohe su kaminda bai i a kome, i su kara no tabata tristu mas."
1,19,"Anto nan a lanta mainta tempran i a adorá dilanti di SEÑOR, i a bolbe bai nan kas bèk na Rama. I Elkana tabatin relashon ku su esposa Ana, i SEÑOR a kòrda riba djé."
1,20,"I a sosodé ku na su debido tempu, despues ku Ana a konsebí, el a duna lus na un yu hòmber; i el a yam'é Samuel, bisando: \"Pasobra mi a pidié na SEÑOR.\""
1,21,"Anto e hòmber Elkana a bai ku tur e hendenan di su kas pa ofresé na SEÑOR e sakrifisio di tur aña i pa kumpli ku su huramentu."
1,22,"Ma Ana no a bai, pasobra el a bisa su esposo: \"Lo mi no bai te ora ku mi kita e yu for di pechu; e ora ei lo mi hib'é, pa e paresé dilanti di SEÑOR i keda ayanan pa semper.\""
1,23,"I su esposo Elkana a bis'é: \"Hasi loke ta parsebo mihó. Keda te ora bo a kit'é for di pechu; solamente, ku SEÑOR konfirmá Su palabra.\" Asina e muhé a keda i a kria su yu hòmber te ora ku el a kit'é for di pechu."
1,24,"Awor ora ku el a kit'é for di pechu, el a hib'é kuné, ku un toro di tres aña i un efa di hariña i un butishi di biña, i a hib'é na e kas di SEÑOR na Silo, ounke ku e mucha tabata chikitu."
1,25,"E ora ei nan a mata e toro i a hiba e mucha pa Elí."
1,26,"I Ana a bisa: \"O mi señor! Manera bo alma ta biba, mi señor, ta ami ta e muhé ku tabata pará aki banda di bo ta hasi orashon na SEÑOR."
1,27,"Pa e mucha aki mi a hasi orashon, i SEÑOR a dunami mi petishon ku mi a hasi na djE."
1,28,"Pesei tambe mi a dedik'é na SEÑOR; tanten ku e ta na bida e ta dediká na SEÑOR.\" I el a adorá SEÑOR ayanan."
2,1,"E ora ei Ana a hasi orashon i a bisa: \"Mi kurason ta regosihá den SEÑOR; mi kachu ta halsá den SEÑOR. Mi boka ta papia ku kurashi kontra mi enemigunan, pasobra mi ta alegrá den Bo salbashon."
2,2,"\"No tin ningun santu manera SEÑOR, di bèrdat, no tin ningun otro fuera di Bo, tampoko no tin ningun baranka manera nos Dios."
2,3,"\"No gaba mas ku tantu orguyo, no laga arogansia sali for di bo boka; pasobra SEÑOR ta un Dios di konosementu, i serka djE akshonnan ta wòrdu pisá."
2,4,"\"E bognan di e poderosonan ta kibrá na pida-pida, ma e debilnan ta fahá ku forsa."
2,5,"Esnan ku tabata barika yen ta hür nan mes pa pan, ma esnan ku tabatin hamber no tin hamber mas. Asta esun steril ta duna lus na shete yu, ma esun ku tin hopi yu ta debilitá."
2,6,"\"SEÑOR ta mata i ta duna bida; E ta hasi baha den Seol i ta hasi lanta."
2,7,"SEÑOR ta hasi pober i ta hasi riku; E ta rebahá, tambe E ta halsa."
2,8,"E ta lanta e pober for di den stòf, E ta hisa esun den nesesidat for di e monton di shinishi, pa pone nan sinta huntu ku e nobelnan i eredá un puesto di onor. \"Pasobra e pilarnan di e tera ta di SEÑOR, i El a pone mundu riba nan."
2,9,"E ta warda e pianan di Su santunan, ma e malbadonan ta wòrdu silensiá den skuridat. \"Pasobra no ta pa medio di forsa un hende ta prevalesé."
2,10,"Esnan ku lucha ku SEÑOR lo wòrdu kibrá na pida-pida; kontra nan E lo strena den e shelunan, SEÑOR lo huzga e finnan di tera. I E lo duna forsa na Su rei i lo halsa e kachu di Su ungí.\""
2,11,"E ora ei Elkana a bai su kas na Rama. Ma e mucha hòmber tabata sirbi SEÑOR dilanti di saserdote Elí."
2,12,"Awor e yu hòmbernan di Elí tabata hòmbernan pèrvèrso; nan no tabata konosé SEÑOR,"
2,13,"ni e kustumber di e saserdotenan pa ku e pueblo. Ora ku un hòmber tabata ofresé un sakrifisio, e sirbidó di e saserdote tabata bin ora ku e karni tabata herebé ku un fòrki di tres punta den su man."
2,14,"E ora ei e tabata hinka esaki den e panchi òf ketel òf wea òf paila; tur loke ku e fòrki trese ariba, e saserdote tabata tuma pa su mes. Asina nan tabata hasi na Silo ku tur e israelitanan ku tabata bin ayanan."
2,15,"Tambe, promé ku nan kima e vèt, e sirbidó di e saserdote tabata bin i bisa e hòmber ku tabata ofresé e sakrifisio: \"Duna e saserdote karni pa hasa riba kandela, pasobra e lo no tuma karni herebé for di bo, solamente karni kurú.\""
2,16,"I si e hòmber bis'é: \"Laga nan kima e vèt promé, kaba kohe kuantu ku bo ta deseá,\" e ora ei e tabata bisa: \"Nò, bo mester dunami e karni awor; i si no, lo mi kit'é ku forsa.\""
2,17,"Asina e piká di e hobennan tabata masha grandi mes dilanti di SEÑOR, pasobra e hòmbernan tabata menospresiá e ofrenda di SEÑOR."
2,18,"Awor Samuel tabata sirbi dilanti di SEÑOR--un mucha ku un efòd di lino bistí."
2,19,"I su mama tabata traha un mantel chikitu p'é i tabata trese esaki tur aña p'é ora ku e tabata bin ku su esposo pa ofresé e sakrifisio di tur aña."
2,20,"E ora ei Elí tabata bendishoná Elkana i su esposa, i e tabata bisa: \"Ku SEÑOR dunabo yunan for di e muhé aki na lugá di esun ku el a dediká na SEÑOR.\" I nan a bai nan mes kas."
2,21,"I SEÑOR a bishitá Ana; i el a konsebí i a duna lus na tres yu hòmber i dos yu muhé. I e mucha hòmber Samuel a krese dilanti di SEÑOR."
2,22,"Awor Elí tabata hopi bieu; i el a tende tur loke su yu hòmbernan tabata hasi ku henter Israel, i kon nan tabata drumi ku e muhénan ku tabata sirbi na entrada di e tènt di reunion."
2,23,"I el a bisa nan: \"Pakiko boso ta hasi kosnan asina, e kosnan malu ku mi ta tende di tur e hendenan aki?"
2,24,"Nò, mi yunan; pasobra e notisia ku mi ta tende e pueblo di Dios ta plama tur rònt no ta bon."
2,25,"Si un hende hasi piká kontra un otro, Dios lo intermediá p'é; ma si un hende hasi piká kontra SEÑOR, ken lo intersedé p'é?\" Ma nan no kier a skucha e bos di nan tata, pasobra SEÑOR tabata kier a mata nan."
2,26,"Awor e mucha hòmber Samuel tabata krese den estatura i den grasia, tantu serka SEÑOR komo serka hende."
2,27,"E ora ei un hòmber di Dios a bin serka Elí i a bis'é: \"Asina SEÑOR ta bisa: 'Mi no a revelá Mi mes klaramente na e kas di bo tata, tempu ku nan tabata bou di sklabitut na e kas di Farao na Egipto?"
2,28,"I no ta nan Mi a skohe for di tur e tribunan di Israel pa ta Mi saserdotenan, pa subi na Mi altar, pa kima sensia, pa bisti efòd Mi dilanti? I no ta e kas di bo tata Mi a duna tur e ofrendanan di kandela di e yunan di Israel?"
2,29,"Pakiko bo ta despresiá Mi sakrifisio i Mi ofrenda ku Mi a ordená den Mi lugá di biba, i ta onra bo yu hòmbernan mas ku Mi, dor di hasi boso mes gordo ku e mihó di tur ofrenda di Mi pueblo Israel?'"
2,30,"\"Pesei e SEÑOR Dios di Israel ta deklará: 'Di bèrdat, Mi a bisa ku bo kas i e kas di bo tata lo kana Mi dilanti pa semper'; ma awor SEÑOR ta deklará: 'Ku esei sea leu di Mi, pasobra esnan ku onraMi, lo Mi onra, i esnan ku despresiáMi, lo ta poko apresiá."
2,31,"Mira, e dianan ta bin ku lo Mi kibra bo forsa i forsa di e kas di bo tata, asina ku nunka lo no tin un hòmber bieu den bo kas."
2,32,"I lo bo mira e aflikshon di Mi lugá di biba, apesar di tur e bon ku Mi ta hasi pa Israel; i nunka mas lo no tin un hòmber bieu den bo kas."
