chapter,verse,"text"
1,1,"Pablo i Silvano i Timoteo, Na e iglesia di e tesalonisensenan den Dios Tata i Señor Jesu-Cristo: Grasia na boso i pas."
1,2,"Nos ta duna gradisimentu na Dios semper pa boso tur, kòrdando boso den nos orashonnan,"
1,3,"konstantemente teniendo den mente boso obra di fe i trabou di amor i firmesa di speransa den nos Señor Jesu-Cristo den e presensia di nos Dios i Tata."
1,4,"Sabiendo, rumannan stimá pa Dios, ku El a skohe boso;"
1,5,"pasobra nos evangelio no a yega serka boso den palabra so, sino tambe den poder i den Spiritu Santu i ku plena konvikshon; meskos ku boso sa ki sorto di hende nos tabata meimei di boso pa boso kousa."
1,6,"Tambe boso a bira imitadónan di nos i di Señor, despues di a risibí e palabra den hopi tribulashon ku e goso di Spiritu Santu,"
1,7,"asina ku boso a bira un ehèmpel pa tur e kreyentenan na Masedonia i na Akaya."
1,8,"Pasobra e palabra di Señor a resoná for di meimei di boso, no solamente na Masedonia i Akaya, ma tambe na tur parti ku boso fe den Dios a bira konosí, asina ku nos no tin mester di bisa nada."
1,9,"Pasobra nan mes ta konta di nos kon nos a wòrdu risibí serka boso, i kon boso a kombèrtí boso di e diosnan falsu na Dios, pa sirbi un Dios bibu i bèrdadero,"
1,10,"i pa spera Su Yu for di shelu, Kende El a lanta for di e mortonan, esta, Jesus, Kende ta libra nos di e furia ku lo bin."
2,1,"Pasobra boso mes sa, rumannan, ku nos binimentu serka boso no tabata en bano,"
2,2,"ma despues ku nos a sufri kaba i a wòrdu maltratá na Filipos, manera boso sa, den nos Dios nos tabatin e kurashi di papia e evangelio di Dios ku boso meimei di hopi oposishon."
2,3,"Pasobra nos eksortashon no ta bin for di eror, ni di impuresa, ni ku engaño;"
2,4,"ma meskos ku nos a wòrdu aprobá dor di Dios pa wòrdu konfiá ku e evangelio, asina nos ta papia, no pa agradá hende sino Dios, Kende ta proba nos kurason."
2,5,"Pasobra nunka nos no a bin ku labiamentu, manera boso sa, ni nos no a uza ningun preteksto pa satisfasé nos golosidat--Dios ta testigu--"
2,6,"ni nos no a buska gloria serka hende, ni serka boso, ni serka otronan. Komo apòstel di Cristo nos por a hasi uzo di nos outoridat,"
2,7,"ma nos tabata kariñoso meimei di boso, manera un menchi ta kuida su mes yunan ku ternura."
2,8,"Teniendo pues un amor grandi pa boso, a agradá nos pa no solamente kompartí e evangelio di Dios ku boso, ma tambe nos mes bida, pasobra boso a bira masha stimá pa nos."
2,9,"Pasobra boso ta kòrda, rumannan, nos trabou i esfuerso, kon, trahando di dia i anochi pa no ta un karga pa ningun di boso, nos a proklamá na boso e evangelio di Dios."
2,10,"Boso ta testigu, i Dios tambe, kon santu i korekto i sin kulpa nos a komportá nos mes pa ku boso, kreyentenan;"
2,11,"meskos ku boso sa kon nos tabata eksortá i enkurashá i roga kada un di boso, manera un tata su mes yunan,"
2,12,"pa boso kana na un manera digno di e Dios, Kende ta yama boso den Su mes reino i gloria."
2,13,"I pa e motibu aki nos ta gradisí Dios konstantemente tambe, ku ora boso a risibí for di nos e palabra di Dios Su mensahe, boso a asept'é no komo palabra di hende, ma pa loke e ta bèrdaderamente, e palabra di Dios ku ta obra tambe den boso ku ta kere."
2,14,"Pasobra boso, rumannan, a bira imitadónan di e iglesianan di Dios den Cristo Jesus ku ta na Judea, pasobra boso tambe a soportá e mesun sufrimentunan na man di boso mes paisanonan, meskos ku nan a sufri di e hudiunan,"
2,15,"kendenan a mata tantu Señor Jesus komo e profetanan, i a pèrsiguí nos. Nan no ta agradabel na Dios, ma enemigu di tur hende,"
2,16,"i ta stroba nos di papia ku e paganonan pa nan wòrdu salbá, ku e resultado ku semper nan ta yena e midí di nan pikánan. Ma furia a bin riba nan te na fin."
2,17,"Ma nos, rumannan, siendo separá for di boso pa un tempu kòrtiku--di bista, no di kurason--tabata ansioso ku gran deseo pa mira boso kara."
2,18,"Pasobra nos kier a bin serka boso--ami, Pablo, mas ku un biaha--ma Satanás a stroba nos."
2,19,"Pasobra ta ken ta nos speransa òf goso òf korona di gloria? No ta boso den e presensia di nos Señor Jesus na Su binida?"
2,20,"Pasobra boso ta nos gloria i goso."
3,1,"Pesei, ora nos no por a soportá mas, nos a haña ku ta mihó pa ked'atras na Atenas nos so;"
3,2,"i nos a manda Timoteo, nos ruman i kompañero di trabou di Dios den e evangelio di Cristo, pa fortalesé i enkurashá boso tokante di boso fe,"
3,3,"pa ningun hende no bira intrankil pa motibu di e aflikshonnan aki; pasobra boso mes sa ku nos a wòrdu destiná pa esaki."
3,4,"Pasobra di bèrdat tempu nos tabata serka boso, nos a bisa boso di antemano ku nos lo tabata bai sufri aflikshon; i asina a sosodé tambe, manera boso sa."
3,5,"Pa e motibu aki, ora mi no por a soportá mas, mi tambe a trata di haña sa tokante di boso fe, pa miedu ku e tentadó por a hinka boso den tentashon, i nos trabou lo a resultá en bano."
3,6,"Ma awor ku Timoteo a bolbe for di boso serka nos, i a trese bon notisia pa nos di boso fe i amor, i ku boso semper ta kòrda nos ku kariño, anhelando pa mira nos, meskos ku nos tambe ta anhelá pa mira boso,"
3,7,"pa e motibu aki, rumannan, den tur nos angustia i aflikshon nos a wòrdu konsolá tokante di boso dor di boso fe,"
3,8,"pasobra awor nos ta biba, si boso para firme den Señor."
3,9,"Pasobra ki gradisimentu nos por duna Dios pa boso pa tur e goso ku kual nos ta regosihá dilanti di nos Dios pa boso motibu?"
3,10,"Di dia i anochi nos ta sigui hasi orashon pa boso, pa nos por mira boso kara i kompletá loke ta falta den boso fe."
3,11,"Awor, ku nos Dios i Tata mes i Jesus nos Señor dirigí nos kaminda serka boso;"
3,12,"i ku Señor hasi boso oumentá i abundá den amor pa otro, i pa tur hende, meskos ku nos tambe tin pa boso;"
3,13,"pa E stablesé boso kurason ireprochabel den santidat dilanti di nos Dios i Tata na binida di nos Señor Jesus ku tur Su santunan."
4,1,"Finalmente anto, rumannan, nos ta pidi i spièrta boso den Señor Jesus, pa, meskos ku boso a siña di nos kon boso mester kana i agradá Dios (meskos ku boso ta kana awor), boso sobresalí mas i mas."
4,2,"Pasobra boso sa ki mandamentunan nos a duna boso pa medio di Señor Jesus."
4,3,"Pasobra esaki ta e boluntat di Dios: boso santifikashon, esta, pa boso apstené boso di inmoralidat seksual,"
4,4,"pa kada un di boso sa kon pa tene su mes kurpa den santifikashon i onor,"
4,5,"no ku pashon di deseonan karnal, manera e paganonan ku no konosé Dios;"
4,6,"i ku ningun hende no transgresá ni defroudá su ruman den nada, pasobra Señor ta e vengadó den tur e kosnan aki, meskos ku nos tambe a bisa boso kaba i a spièrta boso."
4,7,"Pasobra Dios no a yama nos pa ta impuru, ma pa hiba un bida santu."
4,8,"Pesei, esun ku rechasá esaki, no ta hende e ta rechasá, sino e Dios ku ta duna Su Spiritu Santu na boso."
4,9,"Awor tokante di e amor di ruman no tin mester di skirbi boso, pasobra ta Dios ta siña boso stima otro;"
4,10,"pasobra di bèrdat boso ta hasi esaki ku tur e rumannan ku ta den henter Masedonia. Ma nos ta roga boso, rumannan, pa sobresalí mas i mas."
4,11,"Aspirá pa hiba un bida ketu i pa atendé boso ku boso mes asunto i pa traha ku boso man, meskos ku nos a ordená boso,"
4,12,"pa boso por komportá boso desentemente pa ku esnan di pafó, i pa boso no tin ningun nesesidat."
4,13,"Ma nos no kier, rumannan, pa boso keda den ignoransia tokante di esnan ku a muri, pa boso no ta tristu manera e otronan ku no tin speransa."
4,14,"Pasobra si nos ta kere ku Jesus a muri i a lanta atrobe, meskos tambe Dios lo trese huntu kunE esnan ku a muri den Jesus."
