chapter,verse,"text"
1,1,"Pablo, un apòstel di Cristo Jesus segun e mandamentu di Dios nos Salbador, i di Cristo Jesus, nos speransa;"
1,2,"Na Timoteo, mi yu bèrdadero den fe: Grasia, miserikòrdia i pas di Dios Tata i Cristo Jesus nos Señor."
1,3,"Manera mi a konsehábo ora mi tabata bai Masedonia, keda na Efeso, pa bo instruí sierto hòmbernan pa nan no siña hende doktrina straño,"
1,4,"ni paga atenshon na fábulanan i genealogianan sin fin, kualnan mas bien ta lanta spekulashon na lugá di e obra di Dios ku ta pa medio di fe."
1,5,"Ma e propósito di nos instrukshon ta amor for di un kurason puru i un bon konsenshi i un fe sinsero."
1,6,"Pasobra algun hende, dor di desviá for di e kosnan aki, a bira bai den diskushon bano,"
1,7,"kendenan kier ta siñadónan di Lei, maske nan no ta komprendé di kiko nan ta papia, ni e asuntonan ku nan ta konfirmá."
1,8,"Ma nos sa ku e Lei ta bon, si un hende uz'é legalmente,"
1,9,"siendo konsiente di e echo ku lei no ta trahá pa hende hustu, ma pa esnan ku ta sin lei i ku ta rebelde, pa e impionan i pekadónan, pa esnan impuru i profano, pa esnan ku ta mata nan tata i mama, pa matadónan"
1,10,"i fornikadónan, homoseksualnan, sekuestradónan, gañadónan, huradónan falsu, i kualkier otro kos ku ta kontrario na siñansa sano,"
1,11,"segun e evangelio glorioso di e Dios bendishoná, kual a wòrdu konfiá na mi."
1,12,"Mi ta gradisí Cristo Jesus nos Señor, Kende a fortalesémi, pasobra El a konsiderámi fiel dor di ponemi den e ministerio,"
1,13,"maske ku antes mi tabata un blasfemadó i un pèrsiguidó i masha agresivo mes. I tòg mi a haña miserikòrdia, pasobra mi a aktua ignorantemente den inkredulidat;"
1,14,"i e grasia di nos Señor tabata mas ku abundante, ku e fe i amor, kualnan ta den Cristo Jesus."
1,15,"Esaki ta un palabra fiel, ku ta meresé pa wòrdu aseptá kompletamente, ku Cristo Jesus a bin na mundu pa salba pekadó, entre kendenan ami ta esun di promé."
1,16,"I ta hustamente pa e motibu aki mi a haña miserikòrdia, pa asina den mi, komo esun di promé, Jesu-Cristo por a demostrá Su pasenshi perfekto, komo un ehèmpel pa esnan ku lo a kere den djE pa bida etèrno."
1,17,"Awor na e Rei etèrno, inmortal, invisibel, e úniko Dios, sea onor i gloria pa semper i semper. Amèn."
1,18,"E mandamentu aki mi ta konfiabo kuné, Timoteo, mi yu, konforme e profesianan ku a wòrdu tresí antes tokante di bo, ku pa medio di nan bo por lucha e bon lucha,"
1,19,"teniendo fe i un bon konsenshi, kualnan algun hende a rechasá i asina a noufragá enkuanto nan fe."
1,20,"Entre esakinan: Himeneo i Alehandro, kendenan mi a entregá na Satanás, pa siña nan di no blasfemá."
2,1,"Pesei, promé ku tur kos, mi ta eksortá pa súplika, orashon, petishon i gradisimentu wòrdu hasí pa tur hende,"
2,2,"pa reinan i tur esnan ku ta den outoridat, pa nos hiba un bida trankil i ketu den tur santidat i dignidat."
2,3,"Esaki ta bon i aseptabel den bista di Dios nos Salbador,"
2,4,"Kende ta deseá pa tur hende wòrdu salbá i yega na konosementu di e bèrdat."
2,5,"Pasobra ta ún Dios so tin, i ún Mediador tambe entre Dios i hende, e hende Cristo Jesus,"
2,6,"Kende a duna Su mes komo e preis di reskate pa tur hende--e testimonio duná na su debido tempu."
2,7,"I pa esaki mi a wòrdu nombrá komo predikadó i apòstel, (mi ta papia bèrdat, mi no ta gaña) komo siñadó di e paganonan den fe i bèrdat."
2,8,"Pesei mi kier pa e hòmbernan di tur lugá hasi orashon, hisando mannan santu, sin rabia i sin pleitu."
2,9,"Meskos, mi kier pa hende muhé dòrna nan mes ku bistí apropiá, desente i moderá, no ku kabei tur na flègt i oro òf pèrla òf bistí kostoso,"
2,10,"sino mas bien ku bon obra, manera ta pas pa muhénan ku ta teme Dios."
2,11,"Laga hende muhé risibí instrukshon den silensio ku tur sumishon."
2,12,"Ma mi no ta pèrmití hende muhé siña hende hòmber ni ehersé outoridat riba hende hòmber, ma pa keda ketu."
2,13,"Pasobra ta Adam a wòrdu formá promé, despues Eva."
2,14,"I no ta Adam a wòrdu gañá, ma e muhé, siendo gañá, a kai den transgreshon."
2,15,"Ma muhénan lo wòrdu salbá dor di e hañamentu di yu, si nan kontinuá den fe i amor i santidat ku modestia."
3,1,"Esaki ta un palabra fiel: si un hòmber aspirá na e puesto di ansiano, ta un bon trabou e ta deseá di hasi."
3,2,"Un ansiano anto mester ta sin reproche, esposo di ún esposa, moderá, prudente, respetabel, un hende ku ta gusta duna posada, ku kapasidat pa siña hende,"
3,3,"no bisiá na biña, no violento, sino amabel, no pleitadó, liber di amor pa plaka."
3,4,"E mester ta un hende ku ta manehá su mes kas bon, ku ta tene su yunan bou di kontrol ku tur dignidat"
3,5,"(ma si un hende no sa di manehá su mes kas, kon e lo por kuida e iglesia di Dios?);"
3,6,"no un resien kombèrtí, pa e no bira orguyoso i kai den e mesun kondenashon ku diabel a kai aden."
3,7,"I e mester tin un bon reputashon serka esnan pafó di iglesia, pa e no kai den reproche i den e trampa di diabel."
3,8,"Diákononan tambe mester ta hòmbernan digno, kendenan no ta papia ku dos lenga, ni ta bisiá na hopi biña, ni ta golos pa plaka,"
3,9,"kendenan ta warda e misterio di fe ku un konsenshi limpi."
3,10,"I laga esakinan tambe wòrdu probá promé; e ora ei, laga nan sirbi komo diákono, si nan ta sin reproche."
3,11,"Di e mesun manera, muhénan mester ta digno, no kalumniadó, sino moderá, fiel den tur kos."
3,12,"Laga diákononan ta esposo di ún esposa so, kendenan sa di manehá nan yunan i nan mes kas."
3,13,"Pasobra esnan ku a sirbi bon komo diákono ta optené pa nan mes un grado di onor i hopi konfiansa den e fe ku ta den Cristo Jesus."
3,14,"Mi ta skirbibo e kosnan aki, sperando di bin pronto serka bo;"
3,15,"ma si akaso mi tarda, mi ta skirbi pa bo sa kon bo mester komportá bo mes den e kas di Dios, ku ta e iglesia di e Dios bibu, e pilar i sosten di e bèrdat."
