chapter,verse,"text"
1,1,"E ansiano, Na Gayo, e ruman stimá, kende mi ta stima den bèrdat."
1,2,"Ruman stimá, mi ta hasi orashon pa den tur sentido bo prosperá i pa bo ta bon di salú, meskos ku bo alma ta prosperá."
1,3,"Pasobra mi a keda masha kontentu ora rumannan a bin i a duna testimonio di bo bèrdat, esta, kon bo ta kanando den bèrdat."
1,4,"No tin goso mas grandi pa mi ku di tende ku mi yunan ta kana den e bèrdat."
1,5,"Ruman stimá, bo ta aktua fielmente den tur loke bo ta hasi pa e rumannan, i spesialmente ora nan ta stranhero;"
1,6,"i nan ta duna testimonio di bo amor dilanti di e iglesia; i lo bo hasi bon di yuda nan pa sigui nan kaminda na un manera digno di Dios."
1,7,"Pasobra nan a sali bai pa kousa di e Nòmber, sin aseptá nada for di e paganonan."
1,8,"Pesei nos mester sostené hòmbernan asina, pa nos por ta kolaboradornan pa e bèrdat."
1,9,"Mi a skirbi algu na e iglesia; ma Diótrefes, kende ta gusta di ta e promé den nan, no ta aseptá loke nos bisa."
1,10,"Pa e motibu aki, si mi bin, lo mi hala atenshon riba su echonan ku e ta hasi, akusando nos inhustamente ku palabranan malisioso; i no satisfecho ku esaki, e mes no ta risibí e rumannan, i e ta prohibí esnan ku ta deseá di hasi esaki, i ta saka nan for di iglesia."
1,11,"Ruman stimá, no imitá loke ta malu, sino loke ta bon. Esun ku hasi bon ta di Dios; esun ku hasi malu no a mira Dios."
1,12,"Demetrio a risibí un bon testimonio for di tur hende, i for di e bèrdat mes; i nos tambe ta duna testimonio, i bo sa ku nos testimonio ta bèrdadero."
1,13,"Mi tabatin hopi kos di skirbibo, ma mi no kier skirbibo nan ku pèn i enk;"
1,14,"ma mi ta spera di mirabo pronto, i nos lo papia kara-kara. Pas sea ku bo. E amigunan ta saludábo. Saludá e amigunan kada un na nan nòmber."
