chapter,verse,"text"
1,1,"E vishon di Abdias. Asina Señor DIOS ta bisa tokante di Edòm-- Nos a tende un notisia di SEÑOR, i un mensahero a wòrdu mandá entre e nashonnan, bisando: \"Lanta i laga nos bai kontra djé den bataya\"--"
1,2,"\"Mira, lo Mi hasibo chikitu entre e nashonnan; bo ta masha despresiá."
1,3,"E arogansia di bo kurason a gañabo, abo ku ta biba den e spleitnan den baranka, den e haltura di bo lugá di biba, ku ta bisa den bo kurason: 'Ken lo bahami abou riba tera?'"
1,4,"Maske bo bula bai te na haltu manera águila, maske bo traha bo neishi meimei di e streanan, for di ayanan lo Mi bahabo abou,\" SEÑOR ta deklará."
1,5,"\"Si ladron bin serka bo, si sakeadó bin den anochi, ai, ki un ruina lo sperabo! Nan lo no hòrta te ora nan tin basta? Si pikidó di wendrùif bin serka bo, nan lo no laga maske ta algu atras?"
1,6,"Ai, kon Esau lo wòrdu sakeá, i su tesoronan skondí wòrdu rondiá!"
1,7,"Tur e hòmbernan ligá ku bo lo mandabo bai frontera, i e hòmbernan na pas ku bo lo gañabo i poderá di bo. Esnan ku ta kome bo pan lo skonde pa atakábo. No tin komprendementu den djé."
1,8,"\"Riba e dia ei,\" SEÑOR ta deklará, \"lo Mi no destruí hòmbernan sabí for di Edòm, i komprendementu for di e seru di Esau?"
1,9,"E ora ei bo hòmbernan poderoso lo desmayá, O Teman, pa tur hende wòrdu kòrtá kitá for di e seru di Esau pa medio di matansa."
1,10,"Pa motibu di violensia kontra bo ruman hòmber Jakòb lo bo wòrdu tapá ku bèrguensa, i lo bo wòrdu kòrtá kitá afó pa semper."
1,11,"Dia ku bo a keda para leu, dia ku deskonosínan a bai ku su rikesa, i stranheronan a drenta su porta i a tira lòt pa Jerusalèm, abo tambe tabata manera un di nan."
1,12,"No wak e dia di bo ruman hòmber ku goso malisioso, e dia di su kalamidat, i no regosihá ofer di e yunan di Juda den e dia di nan destrukshon; sí, no gaba den e dia di nan desaster."
1,13,"No drenta den e porta di Mi pueblo den e dia di nan desaster. Sí, abo, no wak nan kalamidat ku goso malisioso den e dia di nan desaster. I no mishi ku nan rikesa den e dia di nan desaster."
1,14,"I no para na krusada di kaminda pa mata nan fugitivonan; i no sera nan sobrebibientenan den prizon den e dia di nan desaster."
1,15,"\"Pasobra e dia di SEÑOR ta serka pa tur nashon. Manera bo a hasi, lo wòrdu hasí ku bo; bo echonan lo bolbe riba bo mes kabes."
1,16,"Pasobra meskos ku bo a bebe riba Mi seru santu, tur e nashonnan lo bebe kontinuamente. Nan lo bebe i guli, i bira komo si fuera nunka nan a eksistí."
1,17,"Ma riba Seru Sion lo tin liberashon, i lo tin santidat. I e kas di Jakòb lo poderá di nan propiedatnan."
1,18,"E ora ei e kas di Jakòb lo ta un kandela, i e kas di Jose un flam; ma e kas di Esau lo ta manera palu di mainshi seku. I nan lo sende nan na kandela i kaba ku nan, asina ku lo no tin ningun sobrebibiente di e kas di Esau,\" pasobra SEÑOR a papia."
1,19,"E ora ei e habitantenan di Negèv lo poderá di e seru di Esau, i e habitantenan di e serunan lo poderá di e sabana di e filisteonan. Tambe nan lo poderá di e teritorio di Efrain i di e teritorio di Samaria, i Benjamin lo poderá di Galaad."
1,20,"I e eksiliadonan di e ehérsito aki di e yunan di Israel ku ta meimei di e kananeonan te na Sarepta, i e eksiliadonan di Jerusalèm, ku ta na Sefarad, lo poderá di e statnan di Negèv."
1,21,"E libradónan lo subi Seru Sion pa huzga e seru di Esau, i e reino lo ta di SEÑOR."
