chapter,verse,"text"
1,1,"Den e di tres aña di e reinado di Joakim, rei di Juda, Nabukodonosor, rei di Babilonia, a bin Jerusalèm i a rondon'é."
1,2,"I Señor a entregá Joakim, rei di Juda, den su man, huntu ku algun di e artíkulonan-di-uzo di e kas di Dios; i el a hiba nan na tera di Sinar, na e kas di su dios, i a pone e artíkulonan-di-uzo den e lugá-di-warda-tesoro di su dios."
1,3,"E ora ei rei a ordená Aspenaz, hefe di su eunukonan, pa trese algun di e yunan di Israel i algun di e famia real i di e nobelnan,"
1,4,"hobennan ku no tabatin ningun defekto, ku tabata di bon aparensia, ku tabatin inteligensia den tur ramo di sabiduria, ku tabata yen di komprendementu i konosementu pa diserní, i ku tabatin abilidat pa sirbi den rei su korte; i el a orden'é pa siña nan e literatura i idioma di e kaldeonan."
1,5,"I rei a duna òrdu pa nan haña un provishon diario di e mihó kuminda di rei i di e biña ku rei tabata bebe, i tambe pa nan haña un edukashon di tres aña, na fin di kual nan mester a drenta e sirbishi personal di rei."
1,6,"Awor entre nan tabatin Daniel, Ananias, Misael i Azarias, di e yu hòmbernan di Juda."
1,7,"Anto e hefe di e eunukonan a duna nan un nòmber nobo; i Daniel el a duna e nòmber Beltsasar, Ananias Sadrak, Misael Mesak i Azarias Abed-nego."
1,8,"Ma Daniel a proponé den su kurason di no kontaminá su mes ku e mihó kuminda di rei, ni ku e biña ku rei tabata bebe; pesei el a pidi hefe di e eunukonan pèrmit pa e no tin mester di kontaminá su mes."
1,9,"Awor Dios a hasi ku Daniel a haña grasia i kompashon den bista di e hefe di e eunukonan,"
1,10,"i e hefe di e eunukonan a bisa Daniel: \"Mi tin miedu di señor mi rei, kende a duna òrdu tokante di boso kuminda i boso bibida; pasobra pakiko e mester mira boso kara ta mustra mas blek ku kara di e hobennan di boso edat? E ora ei boso lo pone mi kabes na peliger dilanti di rei.\""
1,11,"Ma Daniel a bisa e mayordomo ku e hefe di e eunukonan a nombra riba Daniel, Ananias, Misael i Azarias:"
1,12,"\"Pa fabor, pone bo sirbidónan na prueba pa dies dia, i laga nan duna nos bèrdura pa kome i awa pa bebe."
1,13,"E ora ei, laga nos aparensia wòrdu kompará ku aparensia di e hobennan ku ta kome e mihó kuminda di rei; i trata ku bo sirbidónan konforme loke bo ta mira.\""
1,14,"Asina el a skucha nan den e asunto aki i a pone nan na prueba pa dies dia."
1,15,"I na fin di dies dia nan aparensia tabata mustra mihó i nan tabata den mihó kondishon ku tur e hobennan ku tabata kome e mihó kuminda di rei."
1,16,"Pesei e mayordomo a sigui kita nan porshon di e mihó kuminda i e biña ku nan mester a bebe, i a sigui duna nan bèrdura."
1,17,"I na e kuater hobennan aki Dios a duna konosementu i inteligensia den tur ramo di literatura i sabiduria; i Daniel tabata komprendé tur sorto di vishon i soño."
1,18,"Anto na fin di e dianan, ora rei a bisa pa presentá nan, e hefe di e eunukonan a presentá nan dilanti di Nabukodonosor."
1,19,"I rei a papia ku nan, i den nan tur no a wòrdu hañá ni un manera Daniel, Ananias, Misael i Azarias; asina nan a drenta e sirbishi personal di rei."
1,20,"I den tur asunto di sabiduria i komprendementu ku rei tabata konsultá ku nan, e tabata haña nan dies bes mihó ku tur e magonan i astrólogonan ku tabatin den henter su reino."
1,21,"I Daniel a keda einan te na e promé aña di rei Siro."
