chapter,verse,"text"
1,1,"Esakinan ta e palabranan ku Moisés a papia ku henter Israel na e otro banda di Jordan den desierto, na Arabá enfrente di Suf, entre Paran i Tofel, Laban, Hazerot i Dizahab."
1,2,"For di Horèb, siguiendo e kaminda di Seru Seir pa Kades-barnea, ta un biahe di diesun dia."
1,3,"I a sosodé ku den e di kuarenta aña, riba e promé dia di e di diesun luna, Moisés a papia ku e yunan di Israel, konforme tur loke SEÑOR a orden'é pa duna nan,"
1,4,"despues ku el a derotá Sehon, rei di e amoreonan, kende tabata biba na Hesbon, i Og, rei di Basan, kende tabata biba na Astarot i Edrei."
1,5,"Na e otro banda di Jordan, na tera di Moab, Moisés a kuminsá splika e lei aki, bisando:"
1,6,"\"SEÑOR nos Dios a papia ku nos na Horèb, bisando: 'Boso a keda basta tempu kaba na e seru aki."
1,7,"Bira i sigui boso biahe, i bai na e serunan di e amoreonan i serka tur nan bisiñanan na Arabá, den e serunan i den vaye, na Negèv i na kosta di laman, e tera di e kananeonan, i Líbano, te na e riu grandi, Riu Eufrates."
1,8,"Mira, mi a pone e tera boso dilanti; drenta i poderá di e tera ku SEÑOR a hura di duna na boso tatanan, na Abraham, Isaak i Jakòb, na nan i na nan desendientenan despues di nan.'"
1,9,"\"I mi a papia ku boso e tempu ei, bisando: 'Ami so no por karga e responsabilidat aki pa boso."
1,10,"SEÑOR boso Dios a multipliká boso, i mira, awe boso ta manera e streanan di shelu den kantidat."
1,11,"Ku SEÑOR, e Dios di boso tatanan, oumentá boso mil biaha mas tantu di loke boso ta, i bendishoná boso, meskos ku El a primintí boso!"
1,12,"Kon ami so por karga e peso i e responsabilidat pa boso i boso pleitunan?"
1,13,"Skohe for di boso tribunan hòmbernan sabí ku tin disernimentu i eksperensia, i ami lo nombra nan komo boso kabesantenan.'"
1,14,"\"I boso a kontestámi i a bisa: 'Loke bo a bisa pa hasi ta bon.'"
1,15,"\"Asina mi a tuma e kabesantenan di boso tribunan, hòmbernan sabí i ku eksperensia, i a nombra nan komo kabesante riba boso, lidernan di milnan i di shennan, di sinkuentanan i di diesnan, i ofisialnan pa boso tribunan."
1,16,"I e tempu ei mi a enkargá boso huesnan, bisando: 'Tende e kasonan entre boso paisanonan, i huzga hustamente entre un hòmber i su paisano, òf e stranhero ku ta biba serka djé."
1,17,"No hasi distinshon di persona den huzgamentu; tende chikitu i grandi igual. No tene miedu di hende, pasobra huzgamentu ta di Dios. I e kaso ku ta muchu difisil pa boso, tres'é serka mi i lo mi tende esei.'"
1,18,"I e tempu ei mi a ordená boso tur loke boso mester a hasi."
1,19,"\"Anto nos a sali for di Horèb i a pasa dor di henter e desierto grandi i teribel ei ku boso a mira, na kaminda pa e serunan di e amoreonan, meskos ku SEÑOR nos Dios a ordená nos; i nos a yega Kades-barnea."
1,20,"I mi a bisa boso: 'Boso a yega na e serunan di e amoreonan ku SEÑOR nos Dios ta bai duna nos."
1,21,"Mira, SEÑOR boso Dios a pone e tera boso dilanti; bai, poderá di djé, manera SEÑOR, e Dios di boso tatanan, a papia ku boso. No tene miedu ni desmayá.'"
1,22,"\"E ora ei boso tur a aserkámi i a bisa: 'Laga nos manda hòmbernan nos dilanti, pa nan spioná e tera pa nos, i trese informashon pa nos di e kaminda pa kual nos tin ku sigui, i di e statnan ku nos lo drenta.'"
1,23,"\"I esaki a parsemi bon i mi a tuma diesdos di boso hòmbernan, un hòmber pa kada tribu."
1,24,"I nan a bira i a subi bai den e serunan i a yega na e vaye di Eskol i a spion'é."
1,25,"E ora ei nan a kohe di e fruta di e tera den nan man i a trese esaki pa nos, i nan a trese un reportahe pa nos i a bisa: 'E tera ku SEÑOR nos Dios ta bai duna nos ta bon.'"
1,26,"\"Sinembargo, boso no tabata kier a bai, ma a rebeldiá kontra e òrdu di SEÑOR boso Dios;"
1,27,"i boso tabata murmurá den boso tèntnan i a bisa: 'Ta pasobra SEÑOR ta odia nos El a saka nos for di tera di Egipto pa entregá nos den man di e amoreonan pa destruí nos."
1,28,"Unda nos por subi bai? Nos rumannan a hasi nos kurason dirti, bisando: \"E hendenan ta mas grandi i mas haltu ku nos; e statnan ta grandi i fortifiká te na shelu. I ademas, nos a mira e yu hòmbernan di e anakeonan ayanan.\"'"
1,29,"\"E ora ei mi a bisa boso: 'No spanta ni tene miedu di nan."
1,30,"SEÑOR boso Dios, Kende ta bai boso dilanti, E mes lo bringa pa boso, meskos ku El a hasi pa boso na Egipto dilanti di boso bista,"
1,31,"i den desierto, kaminda boso a mira kon SEÑOR boso Dios a karga boso, meskos ku un hòmber ta karga su yu, riba henter e kaminda ku boso a kana, te ora boso a yega na e lugá aki.'"
1,32,"\"Ma apesar di tur esaki boso no a konfia den SEÑOR boso Dios,"
1,33,"Kende ta bai boso dilanti riba boso kaminda pa buska un lugá pa boso kampa: anochi den un kandela i di dia den un nubia, pa mustra boso e kaminda ku boso mester pasa."
1,34,"\"E ora ei SEÑOR a tende boso palabranan i E tabata rabiá i a hasi un huramentu, bisando:"
1,35,"'Ni un di e hòmbernan aki, e generashon malbado aki, lo no mira e bon tera ku Mi a hura di duna boso tatanan,"
1,36,"ku eksepshon di Kalèb, yu hòmber di Jefone; é sí lo mir'é, i é ku su yu hòmbernan lo Mi duna e tera ku el a pone su pia ariba, pasobra el a sigui SEÑOR kompletamente.'"
