chapter,verse,"text"
1,1,"E promé relato mi a skirbi, O Teófilo, tokante di tur loke Jesus a kuminsá hasi i siña,"
1,2,"te na e dia ku El a wòrdu tumá den shelu, despues ku pa medio di Spiritu Santu El a duna òrdu na e apòstelnan ku El a skohe."
1,3,"Na esakinan El a presentá Su mes tambe bibu, despues di Su sufrimentu, pa medio di hopi prueba konvinsente, i a paresé na nan durante kuarenta dia, papiando tokante di e kosnan di e reino di Dios."
1,4,"I ora ku E tabata huntu ku nan, El a duna nan e òrdu aki: \"No bai for di Jerusalèm, ma spera riba e promesa di e Tata, ku boso a tendeMi papia di djé;"
1,5,"pasobra Juan tabata batisá ku awa, ma boso lo wòrdu batisá ku Spiritu Santu no muchu dia despues di e dia aki.\""
1,6,"Pesei, ora nan a bin huntu, nan tabata hasiE pregunta, bisando: \"Señor, ta na e tempu aki Bo ta bai restorá e reino pa Israel?\""
1,7,"El a bisa nan: \"No ta toka boso pa sa e tempu ni e époka ku e Tata a fiha pa medio di Su mes outoridat,"
1,8,"ma boso lo risibí poder ora Spiritu Santu bin riba boso, i boso lo ta Mi testigunan na Jerusalèm i na henter Judea i Samaria, i te na e parti mas alehá di mundu.\""
1,9,"I ora ku El a kaba di bisa e kosnan aki, El a wòrdu tumá na shelu, mientras ku nan tabata para mira, i un nubia a kit'E for di nan bista."
1,10,"I mientras ku nan tabata fiha nan bista na shelu segun ku E tabata subi bai, ata dos hòmber bistí na blanku a bin para banda di nan,"
1,11,"kendenan tambe a bisa: \"Hòmbernan di Galilea, pakiko boso ta para wak na shelu? E Jesus aki, Kende a wòrdu tumá for di boso na shelu, lo bolbe di e mesun manera ku boso a mir'E ta bai shelu.\""
1,12,"E ora ei nan a bolbe bai Jerusalèm for di e seru ku ta wòrdu yamá Seru di Oleifi, ku ta keda pegá ku Jerusalèm, na un distansia ku ta pèrmití pa kana riba dia di Sabat."
1,13,"I ora nan a drenta stat, nan a subi bai na e sala ariba, kaminda nan tabata keda; esta, Pedro i Juan, Santiago i Andres, Felipe i Tomas, Bartolomeo i Mateo, Santiago, yu hòmber di Alfeo, i Simon e Zelote i Judas, yu hòmber di Santiago."
1,14,"Esakinan tur, di ún akuèrdo, a keda pèrseverá den orashon, huntu ku e muhénan i Maria, mama di Jesus, i huntu ku Su ruman hòmbernan."
1,15,"I den e dianan ei Pedro a lanta para meimei di e rumannan (tabatin un grupo di mas o menos shent'i binti persona huntu einan), i a bisa:"
1,16,"\"Rumannan, e Skritura mester a wòrdu kumplí, kual Spiritu Santu a papia di antemano pa medio di boka di David tokante di Judas, kende a bira un guiadó di esnan ku a arestá Jesus."
1,17,"Pasobra el a wòrdu kontá huntu ku nos i a risibí su parti den e ministerio aki.\""
1,18,"(Awor e hòmber aki a atkirí pida tereno ku e pago di su maldat; i el a kai di kabes i a rementá habri na dos, i tur su shirishirinan a bash'afó."
1,19,"I tur esnan ku tabata biba na Jerusalèm a haña sa esaki, asina ku e pida tereno ei, den nan mes idioma, a wòrdu yamá Akeldama, esta, Tereno di Sanger.)"
1,20,"\"Pasobra ta pará skirbí den e buki di Salmonan: 'Laga su lugá di biba bira desolá, i no laga ningun hende biba den djé'; i: 'Laga un otro hende tuma su puesto.'"
1,21,"Pesei ta nesesario ku di e hòmbernan aki ku tabata huntu ku nos tur e tempu ku Señor Jesus tabata drenta i sali serka nos--"
1,22,"kuminsando for di e boutismo di Juan te na e dia ku El a wòrdu tumá for di nos--un di nan bira testigu huntu ku nos di Su resurekshon.\""
1,23,"I nan a proponé dos hòmber: Jose, kende tabata wòrdu yamá Barsabas, kende tambe tabata wòrdu yamá Justu, i Matias."
1,24,"I nan a hasi orashon i a bisa: \"Abo, Señor, Kende konosé kurason di tur hende, mustra kual di e dosnan aki Abo a skohe"
1,25,"pa okupá e ministerio i apostolado aki ku Judas a laga pa bai na su mes lugá.\""
1,26,"Nan a tira lòt pa nan, i lòt a kai pa Matias; i el a wòrdu kontá huntu ku e diesun apòstelnan."
2,1,"I ora ku e dia di Pentekòste a yega, nan tur tabata huntu na ún lugá."
2,2,"I direpiente a bin un zonidu for di shelu, manera un bientu violento i fuerte, i esaki a yena henter e kas kaminda nan tabata sintá."
2,3,"I nan a mira loke tabata parse lenganan di kandela, kualnan a separá for di otro, i a bai para riba kada un di nan."
2,4,"I nan tur a wòrdu yená ku Spiritu Santu i a kuminsá papia den otro lenganan, manera e Spiritu tabata duna nan pa papia."
2,5,"Awor tabatin hudiu ta biba na Jerusalèm, hòmbernan deboto, for di tur nashon bou di shelu."
2,6,"I ora nan a tende e zonidu aki, e multitut a kore bin huntu i a keda tur turdí, pasobra kada un tabata tende nan papia den su mes lenga."
2,7,"I nan a keda asombrá i strañá, bisando: \"Mira, tur esakinan ku ta papia, no ta galileo nan ta?"
2,8,"I kon anto nos kada un ta tende nan papia den nos mes lenga den kual nos a nase?"
2,9,"Partonan i medonan i elamitanan i habitantenan di Mesopotamia, Judea i Kapadosia, Ponto i Asia,"
2,10,"Frigia i Pamfilia, Egipto i e distriktonan di Libia, pegá ku Sirene, i bishitantenan for di Roma, tantu hudiu komo prosélito,"
2,11,"kretense i arabir--nos ta tende nan den nos mes lenga ta papia di e echonan poderoso di Dios.\""
2,12,"I nan tur a keda strañá i babuká i tabata bisa otro: \"Ta kiko esaki kier men?\""
2,13,"Ma otronan tabata hasi bofon i tabata bisa: \"Nan a bebe muchu biña dushi.\""
