chapter,verse,"text"
1,1,"Pablo, un apòstel di Cristo Jesus pa e boluntat di Dios, Na e santunan ku ta na Efeso i kendenan ta fiel den Cristo Jesus:"
1,2,"Grasia sea ku boso i pas di Dios nos Tata i di Señor Jesu-Cristo."
1,3,"Bendishoná sea e Dios i Tata di nos Señor Jesu-Cristo, Kende a bendishoná nos ku tur bendishon spiritual den e lugánan selestial den Cristo,"
1,4,"meskos ku El a skohe nos den djE promé ku fundashon di mundu, pa nos por ta santu i sin kulpa dilanti di djE."
1,5,"Den amor El a predestiná nos pa wòrdu adoptá komo Su yunan pa medio di Jesu-Cristo, segun e bon intenshon di Su boluntat,"
1,6,"pa e alabansa di e gloria di Su grasia, ku El a duna nos na abundansia den Esun stimá."
1,7,"Den djE nos tin redenshon pa medio di Su sanger, e pordon di nos pikánan, segun e rikesa di Su grasia,"
1,8,"ku El a drama na abundansia riba nos. Den tur sabiduria i prudensia"
1,9,"El a hasi konosí na nos e misterio di Su boluntat, segun Su bon intenshon ku El a proponé den Su mes,"
1,10,"pa, komo preparashon di e kumplimentu di e tempunan, E reuní huntu tur kos den Cristo, tantu loke ta den e shelunan komo loke ta riba tera. Den djE"
1,11,"tambe nos a optené un erensia, siendo predestiná konforme e propósito di Esun ku ta obra tur kos segun e konseho di Su boluntat,"
1,12,"pa nos ku a konfia den Cristo promé por ta pa e alabansa di Su gloria."
1,13,"Den djE boso a konfia tambe, despues di a tende e mensahe di bèrdat, e evangelio di boso salbashon; den Kende tambe, despues di a kere, boso a wòrdu seyá ku e Spiritu Santu di promesa,"
1,14,"Kende ta e garantia di nos erensia, te na e redenshon di e poseshon di Dios, pa e alabansa di Su gloria."
1,15,"Pa e motibu aki ami tambe, despues di a tende di e fe den Señor Jesus ku tin meimei di boso, i boso amor pa tur e santunan,"
1,16,"no ta stòp di duna gradisimentu pa boso, kòrdando boso den mi orashonnan;"
1,17,"pa e Dios di nos Señor Jesu-Cristo, e Tata di gloria, por duna boso un spiritu di sabiduria i di revelashon den e konosementu di djE."
1,18,"Pa e wowonan di boso kurason wòrdu iluminá, pa asina boso por sa kual ta e speransa di Su yamada, kiko ta e rikesa di e gloria di Su erensia den e santunan,"
