chapter,verse,"text"
1,1,"Awor esakinan ta e nòmbernan di e yunan di Israel ku a bin Egipto huntu ku Jakòb; kada un di nan a bin ku e hendenan di su kas:"
1,2,"Ruben, Simeon, Leví i Juda;"
1,3,"Isakar, Zabulon i Benjamin;"
1,4,"Dan i Nèftalí, Gad i Aser."
1,5,"I e personanan ku a sali for di lomo di Jakòb tabata setenta na tur, ma Jose tabata na Egipto kaba."
1,6,"I Jose a muri, i tur su ruman hòmbernan i henter e generashon ei."
1,7,"Awor e yunan di Israel tabata fruktífero i a oumentá mashá i a multipliká bira masha poderoso mes, asina ku e tera a keda yen-yen di nan."
1,8,"I a lanta un rei nobo na Egipto ku no tabata konosé Jose."
1,9,"I el a bisa su pueblo: \"Mira, e pueblo di e yunan di Israel ta mas tantu i mas poderoso ku nos."
1,10,"Ban, laga nos trata nan ku sabiduria pa nan no multipliká, i den kaso di guera nan tambe uni nan mes ku esnan ku ta odia nos, i bringa kontra nos i bai for di e tera.\""
1,11,"Pesei e egipsionan a pone kapatasnan riba nan pa afligí nan ku trabou pisá. I nan a traha pa Farao statnan di depósito, Piton i Ramesés."
1,12,"Ma mas nan tabata afligí nan, mas nan tabata multipliká i mas nan tabata plama, asina ku e egipsionan tabata teme e yunan di Israel."
1,13,"I e egipsionan tabata obligá e yunan di Israel pa traha rigorosamente;"
1,14,"i nan tabata amargá nan bida ku trabou pisá di trahamentu ku klei i klenku i ku tur sorto di trabou den kunuku, tur e trabou ku rigorosamente nan tabata imponé riba nan."
1,15,"E ora ei rei di Egipto a papia ku e parteranan hebreo, di kualnan esun tabata yama Sifra i e otro Púa;"
1,16,"i el a bisa: \"Ora boso ta yuda e muhénan hebreo haña yu i boso ta mira nan riba banki di parto, e ora ei si ta yu hòmber, boso mester mat'é, ma si ta yu muhé, e mester keda na bida.\""
1,17,"Ma e parteranan tabata teme Dios i no tabata hasi manera rei di Egipto a ordená nan, ma a laga e mucha hòmbernan keda na bida."
1,18,"Pesei rei di Egipto a manda yama e parteranan i a bisa nan: \"Pakiko boso a hasi e kos aki i a laga e mucha hòmbernan keda na bida?\""
1,19,"I e parteranan a bisa Farao: \"Pasobra e muhénan hebreo no ta manera e muhénan egipsio; nan ta balente, i nan ta duna lus promé ku partera yega serka nan.\""
1,20,"Asina Dios a trata bon ku e parteranan, i e pueblo a multipliká bira masha poderoso."
1,21,"I a sosodé ku pasobra e parteranan tabata teme Dios, El a duna nan un famia."
1,22,"E ora ei Farao a ordená henter su pueblo, bisando: \"Tur yu hòmber ku nase boso mester tira den Neil, i tur yu muhé boso mester laga keda na bida.\""
2,1,"Awor un hòmber di kas di Leví a kasa ku un yu muhé di Leví."
2,2,"I e muhé a sali na estado i a haña un yu hòmber; i ora ku el a mira ku e yu tabata bunita, el a skond'é tres luna largu."
2,3,"Ma ora ku e no por a skond'é mas, el a kohe un makutu di rit i a klafati'é ku asfalt i breu. E ora ei el a pone e yu aden i a pon'é meimei di e richinan kantu di Neil."
2,4,"I su ruman muhé tabata pará na un distansia pa wak kiko lo a bai pasa kuné."
2,5,"E ora ei yu muhé di Farao a bin pa baña den Neil. I su sirbientenan tabata kana kantu di Neil; i el a mira e makutu meimei di e richinan i a manda su sirbiente bai koh'é."
2,6,"Ora ku el a habrié, el a mira e mucha, i at'e mucha tabata yora. I el a haña duele di djé i a bisa: \"Esaki ta un di e muchanan hebreo.\""
2,7,"E ora ei e mucha su ruman muhé a bisa yu muhé di Farao: \"Bo kier mi bai yama un menchi pa bo serka e muhénan hebreo, pa e kria e yu na pechu pa bo?\""
2,8,"I yu muhé di Farao a bis'é: \"Sí, bai.\" Asina e mucha muhé a bai yama mama di e mucha."
