chapter,verse,"text"
1,1,"Awor den e promé aña di Siro, rei di Persia, pa kumpli ku e palabra di SEÑOR duná pa medio di boka di Jeremias, SEÑOR a animá e spiritu di Siro, rei di Persia, asina ku el a manda un proklamashon den henter su reino, i tambe a skirbi esaki, bisando:i"
1,2,"\"Asina Siro, rei di Persia, ta bisa: 'SEÑOR, e Dios di shelu, a dunami tur e reinonan di tera, i El a nombrami pa traha un kas p'E na Jerusalèm ku ta keda na Juda."
1,3,"Ken ku tin entre boso ku ta pertenesé na Su pueblo, ku su Dios sea kuné! Lagu'é bai Jerusalèm ku ta keda na Juda, i rekonstruí e kas di SEÑOR, e Dios di Israel; E ta e Dios ku ta na Jerusalèm."
1,4,"I tur sobrebibiente, na kualke lugá ku e ta biba, laga e hendenan di e lugá ei sosten'é ku plata i oro, ku biennan i ku bestianan di kria, huntu ku un ofrenda boluntario pa e kas di Dios ku ta keda na Jerusalèm.'\""
1,5,"E ora ei e kabesnan di e kasnan di e tatanan di Juda i Benjamin, i e saserdotenan i e levitanan, huntu ku tur esnan ku Dios a animá nan spiritu, a lanta pa bai rekonstruí e kas di SEÑOR ku ta keda na Jerusalèm."
1,6,"I tur esnan ku tabata rònt di nan a yuda nan ku artíkulonan di plata, ku oro, ku biennan, ku bestianan di kria, i ku kosnan di balor, fuera di tur loke a wòrdu duná komo un ofrenda boluntario."
1,7,"Tambe rei Siro a saka e artíkulonan di e kas di SEÑOR, ku Nabukodonosor a saka for di Jerusalèm bai kuné, i a pone nan den e kas di su diosnan;"
1,8,"i Siro, rei di Persia, a laga saka nan pa medio di man di Mitrídates, e tesorero, i el a konta nan pa Sesbasar, prens di Juda."
1,9,"Awor esaki tabata nan kantidat: 30 skalchi di oro, 1.000 skalchi di plata, 29 kuchú,"
1,10,"30 kòmchi di oro, 410 kòmchi di plata di un otro klase, i 1.000 otro artíkulo."
1,11,"Tur e artíkulonan di oro i di plata tabata 5.400. Sesbasar a trese nan tur huntu ku e eksiliadonan ku a subi bai for di Babilonia pa Jerusalèm."
2,1,"Awor esakinan ta e hendenan di e provinsia ku a sali for di e koutiverio di e eksiliadonan, ku Nabukodonosor, rei di Babilonia, a hiba Babilonia, i ku a bolbe Jerusalèm i Juda, kada un na su stat."
2,2,"Esakinan a bin huntu ku Zorobabel, Jesúa, Nehemias, Seraias, Reelaias, Mardokeo, Bilsan, Mispar, Bigvai, Rehum i Baana.i E kantidat di e hòmbernan di e pueblo di Israel tabata:"
2,3,"E yu hòmbernan di Paros, 2.172;"
2,4,"e yu hòmbernan di Sefatias, 372;"
2,5,"e yu hòmbernan di Ara, 775;"
2,6,"e yu hòmbernan di Pahat-moab di e yu hòmbernan di Jesúa i Joab, 2.812;"
2,7,"e yu hòmbernan di Elam, 1.254;"
2,8,"e yu hòmbernan di Zatu, 945;"
2,9,"e yu hòmbernan di Zakai, 760;"
2,10,"e yu hòmbernan di Bani, 642;"
2,11,"e yu hòmbernan di Bebai, 623;"
2,12,"e yu hòmbernan di Azgad, 1.222;"
2,13,"e yu hòmbernan di Adonikam, 666;"
2,14,"e yu hòmbernan di Bigvai, 2.056;"
2,15,"e yu hòmbernan di Adin, 454;"
2,16,"e yu hòmbernan di Ater di Ezekias, 98;"
2,17,"e yu hòmbernan di Bezai, 323;"
2,18,"e yu hòmbernan di Jora, 112;"
2,19,"e yu hòmbernan di Hasum, 223;"
2,20,"e yu hòmbernan di Gibar, 95."
2,21,"E hòmbernan di Bètlehèm, 123;"
2,22,"e hòmbernan di Netofa, 56;"
2,23,"e hòmbernan di Anatot, 128;"
2,24,"e yu hòmbernan di Azmavet, 42;"
2,25,"e yu hòmbernan di Kiriat-jearim, Kafira i Beerot, 743;"
2,26,"e yu hòmbernan di Rama i Geba, 621;"
2,27,"e hòmbernan di Mikmas, 122;"
2,28,"e hòmbernan di Bèt-èl i Ai, 223;"
2,29,"e yu hòmbernan di Nebo, 52;"
2,30,"e yu hòmbernan di Magbis, 156;"
2,31,"e yu hòmbernan di e otro Elam, 1.254;"
2,32,"e yu hòmbernan di Harim, 320;"
2,33,"e yu hòmbernan di Lod, Hadid i Ono, 725;"
2,34,"e hòmbernan di Jeriko, 345;"
2,35,"e yu hòmbernan di Senaa, 3.630.i"
2,36,"E saserdotenan: e yu hòmbernan di Jedaias di e kas di Jesúa, 973;"
2,37,"e yu hòmbernan di Imer, 1.052;"
2,38,"e yu hòmbernan di Pasur, 1.247;"
2,39,"e yu hòmbernan di Harim, 1.017.i"
2,40,"E levitanan: e yu hòmbernan di Jesúa i Kadmiel, di e yu hòmbernan di Hodavias, 74.i"
2,41,"E kantadónan: e yu hòmbernan di Asaf, 128.i"
2,42,"E yu hòmbernan di e wardadónan-di-porta: e yu hòmbernan di Salum, e yu hòmbernan di Ater, e yu hòmbernan di Talmon, e yu hòmbernan di Akub, e yu hòmbernan di Hatita, e yu hòmbernan di Sobai, na tur 139.i"
2,43,"E sirbidónan di tèmpel: e yu hòmbernan di Ziha, e yu hòmbernan di Hasufa, e yu hòmbernan di Tabaot,"
2,44,"e yu hòmbernan di Keros, e yu hòmbernan di Siaha, e yu hòmbernan di Padon,"
2,45,"e yu hòmbernan di Lebana, e yu hòmbernan di Hagaba, e yu hòmbernan di Akub,"
2,46,"e yu hòmbernan di Hagab, e yu hòmbernan di Salmai, e yu hòmbernan di Hanan,"
2,47,"e yu hòmbernan di Gidel, e yu hòmbernan di Gahar, e yu hòmbernan di Reaia,"
2,48,"e yu hòmbernan di Rezin, e yu hòmbernan di Nekoda, e yu hòmbernan di Gazam,"
2,49,"e yu hòmbernan di Uza, e yu hòmbernan di Paseah, e yu hòmbernan di Besai,"
2,50,"e yu hòmbernan di Asena, e yu hòmbernan di Meunim, e yu hòmbernan di Nefusim,"
2,51,"e yu hòmbernan di Bakbuk, e yu hòmbernan di Hakufa, e yu hòmbernan di Harhur,"
2,52,"e yu hòmbernan di Bazlut, e yu hòmbernan di Mehida, e yu hòmbernan di Harsa,"
2,53,"e yu hòmbernan di Barkos, e yu hòmbernan di Sísara, e yu hòmbernan di Tema,"
2,54,"e yu hòmbernan di Nezia, e yu hòmbernan di Hatifa.i"
2,55,"E yu hòmbernan di e sirbidónan di Salomon: e yu hòmbernan di Sotai, e yu hòmbernan di Soferet, e yu hòmbernan di Peruda,"
2,56,"e yu hòmbernan di Jaala, e yu hòmbernan di Darkon, e yu hòmbernan di Gidel,"
2,57,"e yu hòmbernan di Sefatias, e yu hòmbernan di Hatil, e yu hòmbernan di Pokeret-hazebaim, e yu hòmbernan di Ami."
2,58,"Tur e sirbidónan di tèmpel i e yu hòmbernan di e sirbidónan di Salomon tabata 392."
2,59,"Awor esakinan ta esnan ku a bin for di Tel-mela, Tel-harsa, Kerub, Adan i Imer, ma nan no por a proba ku e kasnan di nan tatanan i nan desendensia tabata pertenesé na Israel:"
2,60,"e yu hòmbernan di Delaia, e yu hòmbernan di Tobias, e yu hòmbernan di Nekoda, 652.i"
2,61,"I di e yu hòmbernan di e saserdotenan: e yu hòmbernan di Habaia, e yu hòmbernan di Kos, e yu hòmbernan di Barzilai, kende a tuma un esposa for di e yu muhénan di Barzilai e galaadita; i el a wòrdu yamá na nan nòmber."
2,62,"Esakinan a buska den e registro di nan antepasadonan, ma no por a haña nan; pesei nan a wòrdu konsiderá impuru i a keda ekskluí for di e saserdosio."
2,63,"I e gobernadó a bisa nan pa no kome for di e kosnan di mas santu te ora ku un saserdote a konsultá Urim i Tumim."
2,64,"Henter e asamblea tabata suma 42.360,"
2,65,"fuera di nan sirbidónan hòmber i muhé, kendenan tabata suma 7.337; i nan tabatin 200 kantadó hòmber i muhé."
2,66,"Nan kabainan tabata 736; nan mulanan, 245;"
2,67,"nan kamelnan, 435; nan burikunan, 6.720."
2,68,"I ora nan a yega na e kas di SEÑOR ku ta keda na Jerusalèm, algun di e kabesnan di e kasnan di e tatanan a hasi ofrenda boluntario pa e kas di Dios, pa rekonstruí esaki riba su fundeshi."
2,69,"Segun nan tabata por nan a duna na e lugá-di-warda-tesoro pa e trabou aki: 61.000 drakma di oro, 5.000 mina di plata i 100 paña di saserdote."
2,70,"Awor e saserdotenan i e levitanan, algun hende di e pueblo, e kantadónan, e wardadónan-di-porta i e sirbidónan di tèmpel, tabata biba den nan statnan, i henter Israel den nan statnan."
3,1,"Awor ora ku e di shete luna a yega, i e yunan di Israel tabata den e statnan, e pueblo a reuní komo un solo hòmber na Jerusalèm."
3,2,"E ora ei Jesúa, yu hòmber di Josadak, ku su ruman hòmbernan, e saserdotenan, i Zorobabel, yu hòmber di Salatiel, ku su ruman hòmbernan, a lanta i a traha e altar di e Dios di Israel, pa ofresé ofrendanan kimá riba djé, manera ta pará skirbí den e lei di Moisés, e hòmber di Dios."
3,3,"Asina nan a lanta e altar riba su fundeshi, pasobra nan tabatin hopi miedu di e pueblonan di e teranan; i nan a ofresé riba djé ofrendanan kimá na SEÑOR, ofrendanan kimá, mainta i atardi."
3,4,"I nan a selebrá e Fiesta di Tabernakelnan, manera ta pará skirbí. I diariamente nan tabata ofresé e kantidat stipulá di ofrendanan kimá, konforme e ordenansa, manera esaki tabata rekerí pa kada dia;"
3,5,"i despues tabatin un ofrenda kimá kontinuo, tambe pa e lunanan nobo i pa tur e fiestanan stipulá di SEÑOR, ku tabata konsagrá, i pa tur hende ku a ofresé un ofrenda boluntario na SEÑOR."
3,6,"For di e promé dia di e di shete luna nan a kuminsá ofresé ofrendanan kimá na SEÑOR; ma e fundeshi di e tèmpel di SEÑOR no a wòrdu poní ainda."
3,7,"E ora ei nan a duna plaka na e mèslánan i karpinténan, i kuminda, bibida i zeta na e sidonionan i na e tirionan, pa trese palu di seda for di Líbano na e laman di Jope, konforme e pèrmiso ku nan a haña di Siro, rei di Persia."
3,8,"Awor den e di dos aña di nan yegada na e kas di Dios na Jerusalèm, den e di dos luna, Zorobabel, yu hòmber di Salatiel, i Jesúa, yu hòmber di Josadak, i e restu di nan ruman hòmbernan, e saserdotenan i e levitanan, i tur esnan ku a bin Jerusalèm for di koutiverio, a kuminsá e trabou i a nombra e levitanan di binti aña p'ariba pa dirigí e trabou di e kas di SEÑOR."
3,9,"Anto Jesúa ku su yu hòmbernan i ruman hòmbernan a para uní, huntu ku Kadmiel i su yu hòmbernan, e yu hòmbernan di Juda i e yu hòmbernan di Henadad ku nan yu hòmbernan i ruman hòmbernan, e levitanan, pa dirigí e trahadónan den e tèmpel di Dios."
3,10,"Awor ora ku e trahadónan a kaba di pone e fundeshi di e tèmpel di SEÑOR, e saserdotenan, bistí na paña seremonial, a bai para ku tròmpèt, i e levitanan, e yu hòmbernan di Asaf, ku simbal, pa duna alabansa na SEÑOR, konforme e ordenansa di rei David di Israel."
3,11,"I nan a kanta, i a duna alabansa i gradisimentu na SEÑOR, bisando: \"Pasobra E ta bon, pasobra Su miserikòrdia ta riba Israel pa semper.\" I henter e pueblo a grita na bos haltu ora nan tabata alabá SEÑOR, pasobra fundeshi di e kas di SEÑOR a wòrdu poní."
3,12,"Ma hopi di e saserdotenan, levitanan i kabesnan di e kasnan di e tatanan, e ansianonan ku a mira e promé tèmpel, a yora na bos haltu ora fundeshi di e kas aki a wòrdu poní dilanti di nan bista, mientras ku hopi tabata grita duru di goso,"
3,13,"asina ku e pueblo no por a distinguí e zonidu di gritamentu di goso for di e zonidu di yoramentu di e pueblo, pasobra e pueblo tabata grita duru, i te leu aya por a tende e zonidu."
4,1,"Awor ora ku e enemigunan di Juda i Benjamin a tende ku e hendenan di e eksilio tabata traha un tèmpel pa e SEÑOR Dios di Israel,"
4,2,"nan a bin serka Zorobabel i e kabesnan di e kasnan di e tatanan, i a bisa nan: \"Laga nos traha huntu ku boso, pasobra nos, meskos ku boso, ta buska boso Dios; i nos tabata sakrifiká na djE for di e dianan di Esarhadon, rei di Asiria, kende a trese nos akinan.\""
4,3,"Ma Zorobabel i Jesúa i e restu di e kabesnan di e kasnan di e tatanan di Israel a bisa nan: \"Boso no tin nada di hasi ku nos den trahamentu di un kas pa nos Dios, ma nos mes lo traha huntu pa e SEÑOR Dios di Israel, manera rei Siro, rei di Persia, a ordená nos.\""
4,4,"E ora ei e pueblo di e tera a deskurashá e pueblo di Juda, i a hinka miedu den nan pa traha,"
4,5,"i a kontratá konseheronan kontra nan pa hasi nan plan frakasá durante di tur e dianan di Siro, rei di Persia, te na e reinado di Darío, rei di Persia."
4,6,"Awor durante di e reinado di Asuero, na kuminsamentu di su reinado, nan a skirbi un akusashon kontra e habitantenan di Juda i Jerusalèm."
4,7,"I den e dianan di Artaherhes, rei di Persia, Bislam, Mitrídates, Tabeel i e restu di su kompañeronan a skirbi Artaherhes; i e teksto di e karta tabata skirbí na arameo i tradusí for di arameo."
4,8,"Rehum, e komandante, i Simsai, e eskriba, a skirbi rei Artaherhes un karta kontra Jerusalèm asin'aki:i"
4,9,"Rehum, e komandante, i Simsai, e eskriba, i e restu di nan kompañeronan, e huesnan i e gobernadónan menor, e ofisialnan, e sekretarionan, e hòmbernan di Erek, e babilonionan, e hòmbernan di Susa, esta, e elamitanan,"
4,10,"i e restu di e nashonnan ku e gran i onorabel Asnapar a deportá i a stablesé den e stat di Samaria, i den e restu di e region na e otro banda di Riu Eufrates."
4,11,"I awor esaki ta kopia di e karta ku nan a manda p'é.i \"Na rei Artaherhes:i \"Di Bo sirbidónan, e hòmbernan den e region na e otro banda di Riu Eufrates:"
4,12,"\"I awor laga esaki ta konosí na rei, ku e hudiunan ku a sali for di bo a yega serka nos na Jerusalèm; nan ta rekonstruí e stat rebelde i malbado, i ta tèrminando e murayanan i ta drechando e fundeshinan."
4,13,"\"Awor, laga esaki ta konosí na rei, ku si e stat ei wòrdu rekonstruí i e murayanan keda kla, nan lo no paga ni tributo, ni impuesto, ni tòl mas; i esaki lo kousa daño na e reinan."
4,14,"Awor pasobra nos ta haña manteneshon di palasio, i no ta pas pa nos mira rei wòrdu desonrá, pesei nos a manda pone rei na haltura,"
4,15,"pa un investigashon por wòrdu hasí den e bukinan di registro di bo tatanan. I lo bo deskubrí den e bukinan di registro, i haña sa ku e stat ei ta un stat rebelde i ku e ta hasi daño na reinan i na provinsianan, i ku den pasado nan a lanta revolushon den djé. Pesei e stat ei a wòrdu destruí."
4,16,"Nos ta pone rei na haltura ku si e stat ei wòrdu rekonstruí i e murayanan keda kla, lo resultá ku e provinsia na e otro banda di Riu Eufrates lo no keda di bo.\""
4,17,"E ora ei rei a manda un kontesta:i \"Pa Rehum, e komandante, pa Simsai, e eskriba, i pa e restu di nan kompañeronan ku ta biba na Samaria, i pa e restu di e provinsianan na e otro banda di Riu Eufrates:i \"Pas."
4,18,"\"I awor e dokumento ku boso a manda pa nos a wòrdu lesá na un manera bon kla mi dilanti."
4,19,"I mi a saka un dekreto, i un investigashon a wòrdu hasí, i a wòrdu deskubrí ku den pasado e stat ei a lanta kontra e reinan, i ku tabatin rebeldia i lantamentu kontinuamente den djé,"
4,20,"ku reinan poderoso a goberná riba Jerusalèm, ku a goberná tur e provinsianan na e otro banda di Riu Eufrates, i ku tributo, impuesto i tòl a wòrdu pagá na nan."
4,21,"Asina, saka awor un dekreto pa hasi e hendenan aki stòp di traha, pa e stat no wòrdu rekonstruí te ora ami saka un dekreto."
4,22,"I tene kuidou pa boso no neglishá di kumpli ku esaki; pakiko daño mester resultá den pièrdè pa e reinan?\""
4,23,"E ora ei asina ku e kopia di e dokumento di rei Artaherhes a wòrdu lesá dilanti di Rehum i Simsai, e skriba, i nan kompañeronan, nan a bai purá serka e hudiunan na Jerusalèm, i a stòp nan ku poder di arma."
4,24,"Anto e trabou na e kas di Dios na Jerusalèm a stòp, i esaki a keda para te na e di dos aña di e reinado di Darío, rei di Persia."
5,1,"Ora ku e profetanan, profeta Hageo i Zakarias, yu hòmber di Ido, a profetisá na e hudiunan ku tabata na Juda i Jerusalèm, den e nòmber di e Dios di Israel, Kende tabata riba nan,"
5,2,"Zorobabel, yu hòmber di Salatiel, i Jesúa, yu hòmber di Josadak, a lanta i a kuminsá rekonstruí e kas di Dios ku ta keda na Jerusalèm; i e profetanan di Dios tabata huntu ku nan pa apoyá nan."
5,3,"E tempu ei Tatnai, gobernadó di e provinsia na e otro banda di Riu Eufrates, i Setar-boznai i nan kompañeronan, a bin serka nan i a papia ku nan asin'aki: \"Ta ken a saka un dekreto pa boso rekonstruí e tèmpel aki i pa kaba e konstrukshon aki?\""
5,4,"E ora ei nos a bisa nan e nòmbernan di e hòmbernan ku tabata rekonstruí e edifisio aki."
5,5,"Ma wowo di nan Dios tabata riba e ansianonan di e hudiunan, i nan no a stòp nan te ora Darío a haña un relato di e asunto, i e ora ei un kontesta por eskrito tokante di esaki a wòrdu mandá."
5,6,"Esaki ta kopia di e karta ku Tatnai, gobernadó di e provinsia na e otro banda di Riu Eufrates, i Setar-boznai i su kompañeronan, e ofisialnan ku tabata na e otro banda di Riu Eufrates, a manda pa rei Darío."
