chapter,verse,"text"
1,1,"Awor a sosodé ku den e dianan di Asuero--e Asuero ku tabata reina for di India te na Etiopia riba shent'i bint'i shete provinsia--"
1,2,"den e dianan ei ku rei Asuero tabata sinta riba su trono real ku tabata keda na e kapital Susa,"
1,3,"den e di tres aña di su reinado, el a tene un bankete pa tur su prensnan i sirbidónan, e ofisialnan di ehérsito di Persia i Media, e nobelnan i e prensnan di su provinsianan ku tabata den su presensia."
1,4,"I el a mustra e rikesanan di e gloria di su reino i e splendor di su gran mahestat durante di hopi dia, shent'i ochenta dia."
1,5,"I ora ku e dianan aki a pasa, rei a tene un bankete, ku a dura shete dia, riba e plenchi di e hòfi di palasio di rei, pa henter e pueblo ku tabata presente na e kapital Susa, for di esun di mas haltu te na esun di mas umilde."
1,6,"Tabatin kortinanan di lino fini koló blanku i lila, tení ku kordonnan di lino fini koló púrpura, pasá na renchinan di plata i kolumnanan di marmer, i sofánan di oro i plata riba un flur di mosaiko di pórfido, marmer, parelmur i piedranan presioso."
1,7,"Bibida tabata wòrdu sirbí den kopa di oro, tur diferente for di otro, i e biña real tabata abundante, di akuèrdo ku rei su generosidat."
1,8,"I e bebementu tabata sosodé konforme e lei. No tabatin obligashon, pasobra t'asina rei a duna tur ofisial di su kas òrdu pa nan hasi segun deseo di kada persona."
1,9,"Reina Vasti tambe a tene un bankete pa e muhénan den e palasio di rei Asuero."
1,10,"Riba e di shete dia, ora kurason di rei tabata alegre di biña, el a ordená Mehuman, Bizta, Harbona, Bigta, Abagta, Zetar i Karkas, e shete eunukonan ku tabata sirbi den presensia di rei Asuero,"
1,11,"pa trese reina Vasti dilanti di rei, ku su korona real bistí pa e pueblo i e prensnan mira su bunitesa, pasobra e tabata masha bunita."
1,12,"Ma reina Vasti a nenga di bin riba e òrdu di rei ku e eunukonan a dun'é. E ora ei rei a rabia mashá i su furia tabata kima den djé."
1,13,"E ora ei rei a bisa e hòmbernan sabí ku tabata konosé e tempunan--pasobra tabata kustumber di rei pa papia asina dilanti di tur esnan ku tabata konosé lei i hustisia,"
1,14,"i ku tabata hopi yegá na djé: Karsena, Setar, Admata, Tarsis, Meres, Marsena i Memukan, e shete prensnan di Persia i Media, kendenan tabatin entrada serka rei i ku tabata okupá e promé lugá den reino."
