chapter,verse,"text"
1,1,"Awor a sosodé den e di trinta aña, riba e di sinku dia di e di kuater luna, mientras ku mi tabata banda di Riu Kebar meimei di e eksiliadonan, ku e shelunan a habri i mi a mira vishonnan di Dios."
1,2,"Riba e di sinku dia di e luna, den e di sinku aña di eksilio di rei Joakin,"
1,3,"e palabra di SEÑOR a wòrdu dirigí spesífikamente na saserdote Ezekiel, yu hòmber di Buzi, na e tera di e kaldeonan, banda di Riu Kebar. I ayanan e man di SEÑOR tabata riba djé."
1,4,"I mientras ku mi tabata wak, ata un bientu di tempestat tabata bin for di nòrt, un nubia pisá ku kandela manera lamper ku tabata kòrta kontinuamente, i un lus briyante rònt di djé. I den djé, meimei di e kandela, tabatin algu manera metal ku ta lombra."
1,5,"I meimei di djé tabatin figuranan ku tabata parse kuater ser bibu. I nan aparensia tabata asina: nan tabatin forma di hende;"
1,6,"kada un di nan tabatin kuater kara i kuater hala."
1,7,"I nan pianan tabata stret i nan plant'i pia tabata manera huf di bishé, i nan tabata briya manera bròns lombrá."
1,8,"Bou di nan halanan, na nan kuater bandanan, tabatin man di hende. Pa loke ta e karanan i e halanan di nan tur kuater,"
1,9,"nan halanan tabata mishi ku otro. Ora nan tabata move, nan no tabata bira nan karanan; kada un tabata bai stret su dilanti."
1,10,"Pa loke ta forma di nan karanan: kada un tabatin kara di hende; na banda drechi tur kuater tabatin kara di leon, i na banda robes, kara di bishé machu; i tur kuater tabatin kara di águila."
1,11,"Asina nan karanan tabata. Nan halanan tabata habrí mandá ariba. Kada un tabatin dos hala ku tabata mishi ku otro i dos ku tabata tapa nan kurpa."
1,12,"I kada un tabata bai stret su dilanti. Kaminda e spiritu kier a bai, nan tabata bai, sin bira segun ku nan tabata bai."
1,13,"Meimei di e sernan bibu tabatin algu ku ta parse karbon sendí, manera flambeu ku ta bai bin entre e sernan bibu. E kandela tabata briya, i lamper tabata kòrta for di e kandela."
1,14,"E sernan bibu tabata kore bai bin manera rayo di lamper."
1,15,"Awor, mientras ku mi tabata wak e sernan bibu, mira, tabatin un wil abou na suela banda di kada ser bibu ku su kuater karanan."
1,16,"E aparensia di e wilnan i e moda ku nan tabata trahá tabata manera e koló di berilo, i nan tur kuater tabatin e mesun forma. Nan aparensia i e moda ku nan tabata trahá tabata komo si fuera un wil tabata hinká den un otro wil."
1,17,"Ki ora ku nan tabata move, nan tabata move den kualke di nan kuater direkshonnan, sin bira segun nan tabata move."
1,18,"Nan rimnan tabata haltu i impreshonante, i e rimnan di nan tur kuater tabata yen di wowo tur rònt."
1,19,"I ki ora ku e sernan bibu tabata move, e wilnan tabata move huntu ku nan. I ki ora ku e sernan bibu tabata lanta for di suela, e wilnan tambe tabata lanta."
1,20,"Kaminda ku e spiritu kier a bai, den e mesun direkshon ei nan tabata bai. I e wilnan tabata lanta pegá-pegá banda di nan, pasobra e spiritu di e sernan bibu tabata den e wilnan."
1,21,"Ki ora ku esayanan tabata bai, esakinan tabata bai; i ki ora ku esayanan tabata keda para, esakinan tabata keda para. I ki ora ku esayanan tabata lanta for di suela, e wilnan tabata lanta pegá-pegá banda di nan, pasobra e spiritu di e sernan bibu tabata den e wilnan."
1,22,"I ofer di e kabesnan di e sernan bibu tabatin algu ku tabata parse un firmamentu, manera e briyo impreshonante di kristal, ku tabata ekstendí ofer di nan kabes."
1,23,"I bou di e firmamentu nan halanan tabata gespan stret, un kontra otro; tambe kada un tabatin dos hala ku tabata tapa nan kurpa na esun banda i na e otro banda."
1,24,"Tambe mi tabata tende e zonidu di nan halanan ora nan tabata bai, manera e zonidu di hopi awanan, manera e bos di e Todopoderoso, un zonidu di tumulto manera e zonidu di un kampamentu di ehérsito. Ki ora ku nan tabata keda para, nan tabata baha nan halanan."
1,25,"I a sali un bos for di riba e firmamentu ku tabata ofer di nan kabes. Ki ora ku nan tabata keda para, nan tabata baha nan halanan."
1,26,"Awor riba e firmamentu ku tabata ofer di nan kabes tabatin algu ku tabata parse un trono, ku aparensia di piedra di safiro, i aya riba, riba loke tabata parse un trono, tabatin un figura ku aparensia di hende."
1,27,"Anto mi a mira ku for di loke ta parse Su hep bai ariba tabatin algu manera bròns ku ta lombra, ku tabata parse kandela tur rònt den djé; i for di loke ta parse Su hep bai abou, mi a mira algu manera kandela; i tabatin un splendor rònt di djE."
1,28,"Manera e aparensia di regenbog den nubia riba un dia di awaseru, asina e aparensia di e splendor tur rònt tabata. Asina e aparensia di e semehansa di e gloria di SEÑOR tabata. I ora mi a mira esaki, mi a tira mi kurpa abou ku mi kara te na suela, i mi a tende un bos ta papia."
2,1,"E ora ei El a bisami: \"Yu di hende, lanta para riba bo pia pa Mi papia ku bo!\""
2,2,"I ora ku E tabata papia ku mi, e Spiritu a drenta den mi i a ponemi para riba mi pia; i mi a tend'E ta papia ku mi."
2,3,"I El a bisami: \"Yu di hende, Mi ta mandabo serka e yunan di Israel, serka un pueblo rebelde ku a rebeldiá kontra Mi. Nan i nan tatanan a transgresá kontra Mi te dia djawe."
2,4,"Mi ta mandabo serka e yunan ku ta kabesura i sobèrbè. I lo bo bisa nan: 'Asina Señor DIOS ta bisa.'"
2,5,"Pa loke ta nan, sea ku nan skucha òf laga di skucha--pasobra nan ta un kas rebelde--nan lo sa ku tabatin un profeta meimei di nan."
2,6,"I abo, yu di hende, no tene miedu di nan, ni tene miedu di nan palabranan, maske bo hañabo meimei di kadushi i mata di sumpiña i maske bo biba meimei di skòrpion; no tene miedu di nan palabranan, ni desmayá den nan presensia, pasobra nan ta un kas rebelde."
2,7,"Ma abo, bisa nan Mi palabranan, sea ku nan skucha òf laga di skucha, pasobra nan ta rebelde."
2,8,"I abo, yu di hende, skucha loke Mi ta bisabo. No sea rebelde manera e kas rebelde ei. Habri bo boka i kome loke Mi dunabo.\""
2,9,"E ora ei mi a wak, i ata, tabatin un man ekstendí na mi; i mira, den djé tabatin un ròl."
2,10,"Anto El a habrié mi dilanti, i e tabata skirbí na tur dos banda. I riba djé tabatin skirbí lamentashon, kehamentu i yoramentu."
3,1,"I El a bisami: \"Yu di hende, kome loke ta bo dilanti, kome e ròl aki, i bai papia ku e kas di Israel.\""
3,2,"E ora ei mi a habri mi boka, i El a dunami e ròl aki kome."
3,3,"I El a bisami: \"Yu di hende, kome e ròl aki ku Mi ta dunabo i yena bo barika kuné.\" E ora ei mi a kom'é, i e tabata dushi manera miel den mi boka."
3,4,"Despues El a bisami: \"Yu di hende, bai serka e kas di Israel i papia ku nan ku Mi palabranan."
3,5,"Pasobra bo no ta wòrdu mandá serka un pueblo ku ta papia un lenga straño i un idioma difisil, ma serka e kas di Israel;"
3,6,"no serka hopi pueblo ku ta papia un lenga straño i un idioma difisil, kende nan palabranan bo no por komprendé. Si Mi a mandabo serka eseinan, nan lo a skucha na bo."
3,7,"Ma e kas di Israel lo no ta dispuesto pa skucha na bo, pasobra nan no ta dispuesto pa skucha na Mi. Pasobra henter e kas di Israel ta kabesura i sobèrbè."
3,8,"Mira, Mi a hasi bo kara mes duru ku nan kara, i bo frenta mes duru ku nan frenta."
3,9,"Manera djamanta, mas duru ku piedra, Mi a hasi bo frenta. No tene miedu di nan, ni desmayá den nan presensia, maske nan ta un kas rebelde.\""
3,10,"Ademas El a bisami: \"Yu di hende, risibí den bo kurason tur Mi palabranan ku lo Mi papia ku bo, i skucha bon."
3,11,"I bai serka e eksiliadonan, serka e yunan di bo pueblo, i papia ku nan i bisa nan, sea ku nan skucha òf laga di skucha: 'Asina Señor DIOS ta bisa.'\""
3,12,"E ora ei e Spiritu a hisami, i mi a tende e zonidu di un boroto tremendo mi tras, bisando: \"Bendishoná sea e gloria di SEÑOR for di Su lugá di biba.\""
3,13,"I mi a tende e zonidu di e halanan di e sernan bibu, kualnan tabata mishi ku otro, i e zonidu di e wilnan banda di nan, e zonidu di un boroto tremendo."
3,14,"Asina e Spiritu a hisami i a bai ku mi; i mi a bai amargá, den e furia di mi spiritu, i e man di SEÑOR tabata fuerte riba mi."
3,15,"E ora ei mi a yega serka e eksiliadonan ku tabata biba na Tel-abib, banda di Riu Kebar. I einan, kaminda nan tabata biba, mi a keda sinta pa shete dia meimei di nan, tur babuká."
3,16,"I a sosodé ku na fin di e shete dianan e palabra di SEÑOR a yega na mi, bisando:"
3,17,"\"Yu di hende, Mi a hasibo guardia di e kas di Israel. Ki ora ku bo tende un palabra for di Mi boka, spièrta nan pa Mi."
3,18,"Ora Mi bisa e malbado: 'Lo bo muri sigur', i abo no spièrt'é, ni papia pa spièrta e malbado pa laga su mal kaminda pa e biba, e malbado ei lo muri den su inikidat, ma su sanger lo Mi eksigí for di bo man."
3,19,"Ma si bo spièrta e malbado i e no bira for di su maldat ni for di su mal kaminda, e lo muri den su inikidat, ma abo a libra bo mes."
3,20,"\"Awor, ora ku un hende hustu bira for di su hustisia i kometé inikidat, i Mi pone un opstákulo su dilanti, e lo muri. Pasobra abo no a spièrt'é, e lo muri den su piká, i su echonan di hustisia ku el a hasi lo no wòrdu rekòrdá, ma su sanger lo Mi eksigí for di bo man."
3,21,"Ma si bo spièrta e hende hustu pa e hende hustu ei no hasi piká, i e no hasi piká, e lo biba sigur, pasobra el a wòrdu spièrtá, i abo a libra bo mes.\""
3,22,"I ayanan e man di SEÑOR tabata riba mi, i El a bisami: \"Lant'ariba, bai den sabana, i ayanan lo Mi papia ku bo.\""
3,23,"Anto mi a lanta i a sali bai den sabana. I mira, e gloria di SEÑOR tabata pará ayanan, manera e gloria ku mi a mira banda di Riu Kebar, i mi a tira mi kurpa abou ku mi kara te na suela."
3,24,"E ora ei e Spiritu a drenta den mi i a hasimi para riba mi pia. I El a papia ku mi i a bisami: \"Bai sera bo mes den bo kas."
3,25,"I abo, yu di hende, nan lo pasa kabuya rònt di bo i marabo ku nan, asina ku bo no por sali bai meimei di e pueblo."
3,26,"Ademas, lo Mi hasi bo lenga pega na bo shel'i boka, asina ku lo bo keda mudo i no por ta e hende pa reprendé nan, pasobra nan ta un kas rebelde."
3,27,"Ma ora Mi papia ku bo, lo Mi habri bo boka i lo bo bisa nan: 'Asina Señor DIOS ta bisa.' Esun ku tende, lagu'é tende, i esun ku nenga di tende, lagu'é nenga, pasobra nan ta un kas rebelde."
4,1,"\"Awor abo, yu di hende, kohe un klenku pon'é bo dilanti i graba un stat riba djé, esta, Jerusalèm."
4,2,"Despues rondon'é, traha un muraya-di-atake, lanta un baluarte, lanta kampamentunan i pone bara-pa-kibra-muraya kontra djé tur rònt."
4,3,"Kohe tambe un plachi di heru i lant'é komo un muraya di heru entre abo i e stat, i fiha bo bista riba djé, asina ku e ta rondoná, i rondon'é. Esaki ta un señal pa e kas di Israel."
4,4,"\"I abo, kai drumi riba bo banda robes i pone e inikidat di e kas di Israel riba djé. Bo mester karga nan inikidat segun e kantidat di dia ku bo keda drumí riba bo banda robes."
4,5,"Pasobra Mi a stipulá pa bo un kantidat di dia ku ta korespondé ku e añanan di nan inikidat, tres shent'i nobenta dia; asina lo bo karga e inikidat di e kas di Israel."
4,6,"\"Ora bo a kumpli ku esakinan, kai drumi pa di dos biaha, e biaha aki riba bo banda drechi, i karga e inikidat di e kas di Juda. Mi a stipulá esaki pa bo pa kuarenta dia, un dia pa kada aña."
4,7,"E ora ei, ku brasa sunú, fiha bo bista riba Jerusalèm ku ta rondoná, i profetisá kontra djé."
4,8,"I mira, lo Mi pasa kabuya rònt di bo, asina ku bo no por bira di un banda pa otro, te ora ku bo a kaba di kompletá e dianan ku bo a rondoná Jerusalèm."
4,9,"\"I abo, kohe trigo, puspas, bonchi, lenteha, milo i avena, pone nan den un kòmchi i traha pan ku nan pa bo mes. Bo mester kom'é di akuèrdo ku e kantidat di dia ku bo ta keda drumí riba bo banda drechi, tres shent'i nobenta dia."
4,10,"E kuminda ku bo ta bai kome mester wòrdu pisá: binti siklo pa dia; bo mester kom'é na oranan stipulá."
4,11,"I e awa ku bo ta bai bebe mester ta segun midí: un di seis parti di un hin; bo mester beb'é na oranan stipulá."
4,12,"I bo mester kome esei manera pan buskuchi trahá di puspas, ku bo a hòrna nan dilanti riba sushi di hende.\""
4,13,"Anto SEÑOR a bisa: \"Asina e yunan di Israel lo kome nan pan na manera impuru meimei di e nashonnan pa unda Mi lo deportá nan.\""
