chapter,verse,"text"
1,1,"Pablo, un prizonero di Cristo Jesus, i Timoteo nos ruman, Na Filemon, nos ruman stimá i kolaborador,"
1,2,"i na Apia, nos ruman muhé, i na Arkipo, nos kompañero sòldá, i na e iglesia ku ta den bo kas:"
1,3,"Grasia na boso i pas di Dios nos Tata i di Señor Jesu-Cristo."
1,4,"Mi ta gradisí mi Dios semper, rekòrdando bo den mi orashonnan,"
1,5,"pasobra mi ta tende di bo amor, i di e fe ku bo tin pa ku Señor Jesus i pa ku tur e santunan,"
1,6,"pa e komunion di bo fe bira efikas pa medio di e konosementu di tur kos bon ku ta den boso pa kousa di Cristo."
1,7,"Pasobra mi a sinti gran goso i konsuelo den bo amor, pasobra e kurasonnan di e santunan a wòrdu refreská dor di bo, ruman."
1,8,"Pesei, maske den Cristo mi tin basta konfiansa pa ordenábo pa hasi loke ta bo deber,"
1,9,"tòg, pa kousa di amor, mi ta mas bien suplikábo--siendo ku ami, Pablo, ta manera mi ta, un hòmber di edat, i awor, ademas, un prizonero di Cristo Jesus--"
1,10,"mi ta suplikábo pa mi yu Onésimo, kende mi a engendrá tempu ku mi tabata enkadená,"
1,11,"kende un tempu tabata inútil pa bo, ma awor ta útil, tantu pa bo komo pa mi."
1,12,"I mi a mand'é bèk serka bo en persona, esta, mi mes kurason,"
1,13,"kende mi kier a tene serka mi, pa na lugá di abo e por a sirbimi tanten ku mi tabata enkadená pa kousa di evangelio;"
1,14,"ma sin bo konsentimentu mi no kier a hasi nada, pa bo bondat no parse komo si fuera ta algu obligatorio e ta, sino algu di bo propio boluntat."
1,15,"Pasobra podisé ta pa e motibu aki el a wòrdu separá for di bo pa un tempu, pa bo por hañ'é bèk pa semper,"
1,16,"no mas komo esklabu, sino mas ku esklabu, un ruman stimá, spesialmente pa mi, ma kuantu mas pa bo, tantu den karni komo den Señor."
1,17,"Si bo ta konsiderámi anto komo un kompañero, asept'é meskos ku lo bo a aseptámi."
1,18,"Ma si el a ofendébo den kualkier forma, òf si e debebo kualkier kos, pone esei riba mi kuenta;"
1,19,"ami, Pablo, ta skirbi esaki ku mi mes man; lo mi paga p'é--pa mi no tin mester di bisabo ku abo ta debemi asta bo mes tambe."
1,20,"Sí, ruman, lagami benefisiá di bo den Señor; refreská mi kurason den Cristo."
1,21,"Teniendo konfiansa den bo obedensia, mi ta skirbibo, komo ku mi sa ku lo bo hasi asta mas ku loke mi ta bisa."
1,22,"I na mesun tempu tambe prepará un posada pa mi, pasobra mi ta spera ku, pa medio di boso orashonnan, lo mi wòrdu entregá na boso."
1,23,"Epafras, mi kompañero di prizon den Cristo Jesus, ta saludábo,"
1,24,"meskos Marko, Aristarko, Demas, Lukas, mi kolaboradornan."
1,25,"Grasia di Señor Jesu-Cristo sea ku bo spiritu. Amèn."
