chapter,verse,"text"
1,1,"Pablo i Timoteo, sirbidónan di Cristo Jesus, Na tur e santunan den Cristo Jesus ku ta na Filipos, huntu ku e ansianonan i diákononan:"
1,2,"Grasia sea ku boso i pas di Dios nos Tata i di Señor Jesu-Cristo."
1,3,"Mi ta gradisí mi Dios kada bes ku mi kòrda riba boso,"
1,4,"pidiendo semper ku goso den tur mi orashonnan pa boso tur,"
1,5,"pa motibu di boso partisipashon den e evangelio for di e promé dia te awor."
1,6,"Pasobra mi ta sigur di esaki, ku Esun ku a kuminsá un bon obra den boso lo perfekshon'é te na e dia di Cristo Jesus."
1,7,"Pasobra ta mas ku hustu pa mi pa sinti asina tokante di boso tur, pasobra mi tin boso den mi kurason, ya ku tantu den prizon komo den mi defensa i konfirmashon di e evangelio, boso tur ta partisipante di grasia huntu ku mi."
1,8,"Pasobra Dios ta mi testigu, kon mi ta anhelá na boso tur ku e amor di Cristo Jesus."
1,9,"I esaki ta mi orashon, ku boso amor por abundá mas i mas ainda den konosementu bèrdadero i tur disernimentu,"
1,10,"pa boso por aprobá e kosnan ku ta ekselente, pa ta sinsero i sin kulpa te na e dia di Cristo,"
1,11,"siendo yená ku e fruta di hustisia ku ta bin dor di Jesu-Cristo, pa e gloria i alabansa di Dios."
1,12,"Awor mi kier pa boso sa, rumannan, ku loke a sosodé ku mi a resultá mas bien pa progreso di evangelio,"
1,13,"asina ku mi kadenanan pa e kousa di Cristo a bira bon konosí den henter e guardia di palasio i na tur otro hende,"
1,14,"i ku mayoria di e rumannan, konfiando den Señor pa motibu di mi kadenanan, tin muchu mas kurashi pa papia e palabra di Dios sin miedu."
1,15,"Algun, di bèrdat, ta prediká Cristo pa motibu di envidia i pleitu, ma algun tambe for di bon boluntat;"
1,16,"e últimonan aki ta hasié ku tur amor, sabiendo ku mi a wòrdu poní pa defensa di evangelio;"
1,17,"e proménan ta proklamá Cristo pa motibu di interes personal i no ku sinseridat, i ta pensa di hasi mi kadenanan mas pisá."
1,18,"Kiko anto? Solamente ku di tur manera, sea pa pretenshon òf den bèrdat, Cristo ta wòrdu proklamá; i den esaki mi ta regosihá. Sí, lo mi sigui regosihá,"
1,19,"pasobra mi sa ku esaki lo resultá den mi liberashon pa medio di boso orashonnan i e provishon di e Spiritu di Jesu-Cristo,"
