chapter,verse,"text"
1,1,"Pablo, un apòstel (no mandá for di hende, ni dor di hende, ma dor di Jesu-Cristo, i Dios Tata, Kende a lant'E for di e mortonan),"
1,2,"i tur e rumannan ku ta huntu ku mi, Na e iglesianan di Galasia:"
1,3,"Grasia sea ku boso i pas di Dios nos Tata, i di Señor Jesu-Cristo,"
1,4,"Kende a duna Su mes pa nos pikánan, pa E por a libra nos di e siglo malu djawor aki, konforme e boluntat di nos Dios i Tata,"
1,5,"na Kende sea gloria pa semper i semper. Amèn."
1,6,"Mi ta keda asombrá ku asina lihé boso a bandoná Esun ku a yama boso pa e grasia di Cristo, pa un evangelio diferente,"
1,7,"ku realmente no ta un otro; solamente tin algun hende ku ta hasi boso bira intrankil i ku kier trose e evangelio di Cristo."
1,8,"Ma maske nos, òf un angel for di shelu, lo a prediká na boso un evangelio kontrario na esun ku nos a prediká na boso, ku é sea maldishoná."
1,9,"Manera nos a bisa kaba, asina mi ta bolbe bisa awor: si kualkier hende prediká na boso un evangelio kontrario na esun ku boso a risibí, ku é sea maldishoná."
1,10,"Pasobra ta fabor di hende mi ta buska awor, òf di Dios? Of ta hende mi ta trata di agradá? Si ainda ta hende mi tabata trata di agradá, lo mi no tabata un sirbidó di Cristo."
1,11,"Pasobra mi kier pa boso sa, rumannan, ku e evangelio ku mi a prediká no ta segun hende."
1,12,"Pasobra mi no a risibié for di hende, ni ningun hende no a siñami esaki, ma mi a risibié pa medio di un revelashon di Jesu-Cristo."
1,13,"Pasobra boso a tende di mi manera di biba di antes den hudaismo, kon mi tabata pèrsiguí e iglesia di Dios sin miserikòrdia i tabata trata di destruié;"
1,14,"i mi tabata mas avansá den hudaismo ku hopi di mi kontemporáneonan entre mi paisanonan, siendo muchu mas zeloso pa e tradishonnan di mi antepasadonan."
1,15,"Ma ora ku a agradá Dios, Kende a apartámi for di den barika di mi mama i a yamami pa medio di Su grasia,"
1,16,"pa revelá Su Yu den mi, pa mi predik'E entre e paganonan, mi no a konsultá mesora ku karni i sanger,"
1,17,"ni mi no a bai Jerusalèm serka esnan ku tabata apòstel promé ku mi, ma mi a bai Arabia, i a bolbe atrobe na Damasko."
1,18,"Anto tres aña despues mi a bai Jerusalèm pa sera konosí ku Pedro, i a keda diesinku dia serka djé."
1,19,"Ma mi no a mira ni un di e otro apòstelnan ku eksepshon di Santiago, ruman hòmber di Señor."
