chapter,verse,"text"
1,1,"E profesia ku profeta Habakuk a mira."
1,2,"Te ki tempu, O SEÑOR, lo mi sklama pa yudansa, i Abo no ta tende? Mi ta sklama na Bo: \"Violensia!\" Tòg Bo no ta salba."
1,3,"Pakiko Bo ta hasimi mira inikidat, i ta hasimi mira maldat? Sí, destrukshon i violensia ta mi dilanti; tin desunion i pleitu ta lanta."
1,4,"Pesei lei ta wòrdu ignorá, i hustisia nunka ta wòrdu hasí. Pasobra e malbado ta rondoná e hustu, pesei hustisia ta wòrdu pèrvèrtí."
1,5,"\"Mira entre e nashonnan! Opservá! Keda strañá! Keda asombrá! Pasobra Mi ta hasiendo algu den boso dianan-- boso lo no kere ni maske nan konta boso."
1,6,"Pasobra mira, mi ta bai lanta e kaldeonan, e pueblo kruel i violento ei ku ta marcha dor di henter mundu pa gara lugánan di biba ku no ta di nan."
1,7,"Nan ta teribel i spantoso. Nan hustisia i outoridat ta prosedé for di nan mes."
1,8,"Nan kabainan ta mas rápido ku leopardo i mas sabí ku lobo den oranan di atardi. Nan koredónan di kabai ta bin na kareda, nan koredónan di kabai ta bin for di leu; nan ta bula manera un águila ku ta baha rápidamente pa devorá."
1,9,"Nan tur ta bin pa violensia. Nan multitut di karanan ta avansá. Nan ta kolektá katibu manera ta kolektá santu."
1,10,"Nan ta hasi chèrcha di reinan; i pa nan, gobernantenan ta kos di hari. Nan ta hari tur lugá fortifiká, i ta montoná tera pa traha baluarte pa kaptur'é."
1,11,"E ora ei nan lo pasa bai manera bientu i sigui nan kaminda. Ma nan lo keda kulpabel, esnan ku nan forsa ta nan dios.\""
1,12,"No ta for di etèrnidat Bo ta, O SEÑOR, mi Dios, mi Santu? Nos lo no muri. Abo, O SEÑOR, a nombra nan pa huzga; i Abo, O Baranka, a stablesé nan pa koregí."
1,13,"Bo wowonan ta muchu puru pa aprobá maldat, i Bo no por wak maldat ku toleransia. Pakiko Bo ta wak ku toleransia riba esnan ku ta trata ku traishon? Pakiko Bo ta keda ketu ora ku e malbadonan ta traga esnan ku ta mas hustu ku nan?"
1,14,"Pakiko Bo a traha hende manera piská di laman, manera bestia ku ta lastra, sin un gobernante riba nan?"
1,15,"E kaldeonan ta saka nan tur ku anzué, ta kohe nan den nan reda, i ta hunta nan den nan reda ku nan ta uza pa trèk piská hiba kantu. Pesei nan ta regosihá i ta kontentu."
1,16,"Pesei nan ta ofresé sakrifisio na nan reda, i ta kima sensia na nan reda ku nan ta uza pa trèk piská hiba kantu; pasobra pa kousa di e kosnan aki nan ta kohe masha hopi mes, i nan kuminda ta abundante."
1,17,"Ta pesei nan mester hasi nan reda bashí i sigui mata nashonnan, sin miserikòrdia?"
2,1,"Lo mi para tene warda i stashoná mi mes riba e baluarte; i lo mi spera pa mira kiko E lo papia ku mi, i kiko mi mester kontestá ora mi wòrdu reprendí."
2,2,"E ora ei SEÑOR a kontestámi i a bisa: \"Skirbi e vishon i grab'é riba tablanan, pa esun ku les'é por kore."
2,3,"Pasobra e vishon lo ta pa e tempu stipulá; e ta pura yega na e fin, i e lo no faya. Maske e ta tarda, sper'é; pasobra e lo bin sigur, e lo no tarda."
2,4,"\"Mira, pa loke ta e hende orguyoso, su alma no ta rekto den djé; ma e hustu lo biba pa medio di su fe."
2,5,"Ademas, biña ta traishoná e hòmber arogante, asina ku e no ta keda kas. E ta habri su apetit manera Seol, i e ta manera morto, nunka satisfecho. Tambe e ta reuní tur nashon serka djé i ta trese tur e pueblonan serka djé."
2,6,"\"Tur esakinan lo no entoná un proverbio di menospresio kontra djé, sí, bofon i insinuashonnan kontra djé, i bisa: 'Ai di esun ku ta oumentá loke no ta di djé, i ta hasi su mes riku ku kosnan fiá! Te ki tempu esaki mester sigui asina?'"
2,7,"Esnan ku ta dunabo fiansa lo no lanta direpiente, i esnan ku ta kobrabo lo no spièrta? Di bèrdat, lo bo bira botín pa nan."
2,8,"Pasobra bo a plùnder hopi nashon, tur e pueblonan ku a keda lo plùnder bo-- pa kousa di dramamentu di sanger humano i violensia hasí na e tera, na e stat i na tur su habitantenan."
2,9,"\"Ai di esun ku ta haña mal ganashi pa su kas, pa pone su neishi na haltu, pa wòrdu librá for di e man di kalamidat!"
2,10,"Bo a plania un kos bèrgonsoso pa bo kas dor di ruiná hopi pueblo; asina bo ta peka kontra bo mes."
2,11,"Siguramente e piedra lo sklama for di muraya, i e biga lo kontest'é for di e span di dak."
2,12,"\"Ai di esun ku ta traha un stat ku dramamentu di sanger i ku ta funda un stat ku violensia!"
2,13,"No ta e SEÑOR di ehérsitonan a determiná ku e trabou duru di e pueblonan ta solamente kombustibel pa kandela, i ku e nashonnan ta kansa nan kurpa pòrnada?"
2,14,"Pasobra tera lo wòrdu yená ku konosementu di e gloria di SEÑOR, manera e awanan ta tapa laman."
2,15,"\"Ai di bo ku ta hasi bo bisiñanan bebe, ku ta meskla bo veneno den djé pa hasi nan burachi, pa asina wak nan desnudes!"
2,16,"Lo bo wòrdu yená ku bèrguensa enbes di onor. Awor abo mes bebe i eksponé bo mes desnudes. E kopa den e man drechi di SEÑOR lo pasa rònt bin pa bo, i bèrguensa grandi lo tapa bo gloria."
2,17,"Pasobra e violensia ku bo a hasi kontra Líbano lo poderá di bo, i e destrukshon di e bestianan lo terorisábo, pa motibu di e dramamentu di sanger di hende i e violensia hasí na e tera, na e stat i na tur su habitantenan."
2,18,"\"Ki probecho e ídolo tin, ora esun ku a trah'é a kaba di grab'é, òf un imagen, un siñadó di mentira? Pasobra esun ku a trah'é ta konfia den loke e mes a krea ora ku e ta traha ídolonan ku no por papia."
2,19,"Ai di esun ku ta bisa na un pida palu: 'Spièrta!' Na un piedra mudo: 'Lanta!' I esei ta bo siñadó? Mira, e ta kubrí ku oro i plata, i no tin rosea mes den djé."
2,20,"Ma SEÑOR ta den Su tèmpel santu. Laga henter tera keda ketu Su dilanti.\""
3,1,"Orashon di profeta Habakuk, segun Sigionot."
3,2,"SEÑOR, mi a tende e notisia tokante di Bo i mi tin miedu. O SEÑOR, rebibá Bo obra den kurso di e añanan, den kurso di e añanan, hasié konosí; den furia kòrda miserikòrdia."
3,3,"Dios ta bin for di Teman, i Esun Santu for di Seru Paran. Su splendor ta tapa e shelunan, i tera ta yen di Su alabansa."
3,4,"Su splendor ta manera e lus di solo; E tin rayonan briyante ku ta sali for di Su man, i eiden Su poder ta skondí."
3,5,"Pestilensia ta bai Su dilanti, i plaga ta sigui Su tras."
3,6,"El a para i a midi tera; El a wak i a spanta e nashonnan. Sí, e serunan perpetuo a keda garná na pida-pida; e seritunan antiguo a kai den otro. Su kamindanan ta etèrno."
3,7,"Mi a mira e tèntnan di Kusan den aflikshon; e kortinanan di tènt di e tera di Madian tabata tembla."
3,8,"SEÑOR Su furia a lanta kontra e riunan, òf Bo rabia tabata kontra e riunan, òf Bo furia tabata kontra laman, ku Bo a kore riba Bo kabainan, den Bo garoshinan di salbashon?"
3,9,"Bo a saka Bo bog, e baranan di kastigu tabata prepará. Bo a spleit e tera pa medio di riunan."
3,10,"E serunan a miraBo i a tembla; e awaserunan pisá a pasa bai. E profundidat a halsa su bos, el a hisa su mannan na haltu."
3,11,"Solo i luna a keda para na nan lugá; nan a pasa bai pareu ku e lus di Bo flechanan, pareu ku e splendor di Bo lansa lombrante."
3,12,"Ku indignashon Bo a marcha pasa dor di e tera; ku rabia Bo a trapa e nashonnan."
3,13,"Bo a sali pa e salbashon di Bo pueblo, pa e salbashon di Bo ungí. Bo a dal e kabes di kas di e malbado pa habrié for di hep te na nèk."
3,14,"Bo a bora kabes di su guereronan ku su mes lansanan. Nan a bin manera un warwarú pa plama nos; nan húbilo tabata manera di esnan ku ta devorá e oprimínan na sekreto."
3,15,"Bo a trapa riba laman ku Bo kabainan, riba olanan di hopi awanan."
3,16,"Mi a tende i mi paden a tembla; na e zonidu mi lepnan a tembla. Putrimentu ta drenta mi wesunan, i mi ta tembla kaminda mi ta pará. Pasobra mi mester spera ketu asina pa e dianan di angustia, pa e pueblo ku ta bin invadí nos lanta."
3,17,"Maske e palu di figo no floria, i e matanan di wendrùif no karga fruta, maske e kosecha di e palu di oleifi faya, i e kunukunan no produsí kuminda, maske e tou wòrdu kòrtá kitá for di e kurá, i no tin baka den e stalnan,"
3,18,"tòg lo mi alegrá den SEÑOR, lo mi regosihá den e Dios di mi salbashon."
3,19,"Señor DIOS ta mi fortalesa, i El a hasi mi pianan manera pianan di biná, i ta hasimi kana riba mi lugánan haltu. Pa e direktor di kor, riba mi instrumèntnan di kuèrdè."
