chapter,verse,"text"
1,1,"Santiago, un sirbidó di Dios i di Señor Jesu-Cristo, Na e diesdos tribunan ku ta plamá den stranheria, Saludo."
1,2,"Konsiderá esaki komo puru goso, mi rumannan, ora boso haña boso mes den diferente pruebanan,"
1,3,"sabiendo ku e prueba di boso fe ta produsí pèrseveransia."
1,4,"I laga pèrseveransia tin su resultado perfekto, pa boso por ta perfekto i kompleto, sin falta di nada."
1,5,"Ma si kualkier di boso falta sabiduria, lagu'é pidi Dios, Kende ta duna na tur hende generosamente i sin reproche, i esaki lo wòrdu duná na djé."
1,6,"Ma lagu'é pidi den fe sin ningun duda, pasobra esun ku duda ta manera un ola di laman ku ta wòrdu lastrá i tirá dor di bientu."
1,7,"Pasobra no laga e hende ei spera ku e lo risibí algu di Señor,"
1,8,"siendo un hende di kurason dòbel, inkonstante den tur su kamindanan."
1,9,"Ma laga e ruman ku ta den sirkumstansia umilde gloria den su posishon haltu;"
1,10,"i laga e hende riku gloria den su umiyashon, pasobra manera yerba ku ta floria e lo muri bai."
1,11,"Pasobra solo ta sali ku un bientu kayente i ta seka e yerba; i su flor ta kai, i e bunitesa di su aparensia ta keda destruí; asina tambe e hende riku lo marchitá den su empeñonan."
1,12,"Bendishoná ta un hende ku ta pèrseverá den prueba; pasobra unabes ku el a pasa e prueba, e lo risibí e korona di bida, ku Señor a primintí na esnan ku ta stim'E."
1,13,"No laga ningun hende bisa ora ku e wòrdu tentá: \"Mi ta wòrdu tentá dor di Dios\"; pasobra Dios no por wòrdu tentá dor di maldat, i E mes no ta tenta ningun hende."
1,14,"Ma kada un ta wòrdu tentá ora ku e wòrdu atraí i sedusí dor di su mes pashon."
1,15,"Anto ora pashon konsebí, e ta duna lus na piká; i ora piká keda kumplí, e ta produsí morto."
1,16,"No sea gañá, mi rumannan stimá."
1,17,"Tur bon regalo i tur don perfekto ta for di ariba, i ta baha bin for di e Tata di lusnan, serka Kende no tin variashon ni sombra di kambio."
