chapter,verse,"text"
1,1,"Dios, despues ku El a papia hopi tempu pasá ku e tatanan pa medio di e profetanan, na hopi okashon i na varios manera,"
1,2,"den e último dianan aki a papia ku nos pa medio di Su Yu, Kende El a nombra komo eredero di tur kos, pa medio di Kende tambe El a traha mundu."
1,3,"I E ta e resplandor di Su gloria i e representashon eksakto di Su naturalesa, i ta sostené tur kos pa medio di e palabra di Su poder. Despues ku El a hasi purifikashon pa pikánan, El a sinta na man drechi di e Mahestat den halturanan,"
1,4,"ya ku El a bira muchu mas superior ku e angelnan, komo ku El a eredá un nòmber mas ekselente ku nan."
1,5,"Pasobra na kual di e angelnan El a yega di bisa: \"Bo ta Mi Yu, awe Mi a engendráBo\"? I atrobe: \"Lo Mi ta un Tata p'E, i E lo ta un Yu pa Mi\"?"
1,6,"I ora ku E trese e primogénito atrobe den mundu, E ta bisa: \"I laga tur e angelnan di Dios ador'E.\""
1,7,"I di e angelnan E ta bisa: \"Kende ta hasi Su angelnan bientu, i Su sirbidónan flam di kandela.\""
1,8,"Ma di e Yu E ta bisa: \"Bo trono, O Dios, ta pa semper i semper, i e sèpter di hustisia ta e sèpter di Bo reino."
1,9,"Bo a stima hustisia i a odia maldat; pesei Dios, Bo Dios, a ungiBo ku e zeta di alegria mas ku Bo kompañeronan.\""
1,10,"Tambe: \"Abo, SEÑOR, den prinsipio a pone e fundeshi di tera, i e shelunan ta e obranan di Bo mannan;"
1,11,"nan lo peresé, ma Abo ta keda; i nan tur lo bira bieu manera un bistí,"
1,12,"i manera un mantel lo Bo lora nan; manera un bistí nan lo wòrdu kambiá tambe, ma Abo ta keda meskos, i Bo añanan lo no tin fin.\""
1,13,"Ma na kual di e angelnan El a yega di bisa: \"Sinta na Mi man drechi, te ora Mi hasi Bo enemigunan un banki pa Bo pianan\"?"
1,14,"Nan tur no ta spiritunan ku ta sirbi, mandá pa sirbi esnan ku lo eredá salbashon?"
2,1,"Pa e motibu aki nos mester paga muchu mas atenshon na loke nos a tende, pa nos no apartá nos for di e kaminda."
2,2,"Pasobra si e palabra papiá pa medio di angelnan a keda probá di ta firme, i tur transgreshon i desobedensia a risibí pago hustu,"
2,3,"kon nos lo skapa si nos neglishá un salbashon asina grandi ku na promé lugá a wòrdu papiá dor di Señor, i a wòrdu konfirmá na nos dor di esnan ku a tende,"
2,4,"mientras ku Dios tambe tabata duna testimonio huntu ku nan, tantu pa medio di señalnan komo pa medio di maraviyanan i pa medio di varios sorto di milagernan i pa medio di donnan di Spiritu Santu segun Su mes boluntat."
2,5,"Pasobra no ta na angelnan El a someté e mundu ku ta bin, di kual nos ta papiando."
2,6,"Ma un hende a testifiká un kaminda, bisando: \"Kiko hende ta, ku Bo ta kòrda riba djé? Of yu di hende, ku Bo ta hasi kaso di djé?"
2,7,"Pa un poko tempu Bo a hasié menos ku e angelnan; Bo a koron'é ku gloria i onor, i Bo a pon'é riba e obranan di Bo mannan;"
2,8,"tur kos Bo a someté bou di su pianan.\" Pasobra dor di someté tur kos na djé, E no a laga nada ku no ta keda sometí na djé. Ma awor nos no ta mira tur kos sometí na djé ainda."
2,9,"Ma nos ta mira Esun ku pa un poko tempu a wòrdu hasí menos ku e angelnan, esta Jesus, pa motibu di e sufrimentu di morto koroná ku gloria i onor, ku pa medio di e grasia di Dios E por eksperensiá morto pa tur hende."
2,10,"Pasobra tabata kumbiní Esun, pa Kende tur kos ta eksistí i pa medio di Kende tur kos ta eksistí, dor di trese hopi yu na gloria, pa perfekshoná e outor di nan salbashon pa medio di sufrimentunan."
2,11,"Pasobra tantu Esun ku ta santifiká komo esnan ku ta wòrdu santifiká, tur ta bin di ún Tata, pa kual motibu E no tin bèrguensa di yama nan ruman,"
2,12,"bisando: \"Lo Mi proklamá Bo nòmber na Mi rumannan, meimei di e kongregashon lo Mi kanta Bo alabansa.\""
2,13,"I atrobe: \"Lo Mi pone Mi konfiansa den djE.\" I atrobe: \"Mira, Ami i e yunan ku Dios a dunaMi.\""
2,14,"Asina anto, komo ku e yunan ta kompartí den karni i sanger, E mes tambe a tuma parti na e mesun manera, asina ku pa medio di morto E por a destruí esun ku tabatin poder riba morto, esta, diabel,"
2,15,"i por a libra esnan ku pa miedu di morto tabata sometí na sklabitut henter nan bida."
2,16,"Pasobra siguramente no ta na angelnan E ta duna yudansa, ma E ta duna yudansa na e desendientenan di Abraham."
2,17,"Pesei E mester a wòrdu hasí igual ku Su rumannan den tur kos, pa E por a bira un sumosaserdote miserikòrdioso i fiel den kosnan ku tin di hasi ku Dios, pa hasi ekspiashon pa e pikánan di e pueblo."
2,18,"Pasobra komo ku E mes a wòrdu tentá den loke El a sufri, E por bin na yudansa di esnan ku ta wòrdu tentá."
3,1,"Pesei, rumannan santu, partisipantenan den un yamada selestial, fiha boso pensamentunan riba Jesus, e Apòstel i Sumosaserdote di nos konfeshon."
