chapter,verse,"text"
1,1,"E palabra di SEÑOR ku a yega na Oseas, yu hòmber di Beeri, durante di e dianan di Uzias, Jotam, Akaz i Ezekias, reinan di Juda, i durante di e dianan di Jeroboam, yu hòmber di Joas, rei di Israel."
1,2,"Tempu ku SEÑOR a kuminsá papia pa medio di Oseas, SEÑOR a bisa Oseas: \"Bai, tuma pa bo mes un esposa prostituta i haña yunan di prostitushon, pasobra e tera a kometé prostitushon na gran manera i a bandoná SEÑOR.\""
1,3,"Asina el a bai i a tuma Gomer, yu muhé di Diblaim, i Gomer a konsebí i a haña un yu hòmber p'é."
1,4,"I SEÑOR a bis'é: \"Yam'é Jezreel, pasobra pronto lo Mi kastigá e kas di Jehú pa e dramamentu di sanger di Jezreel, i lo Mi pone un fin na e reino di e kas di Israel."
1,5,"I lo sosodé ku riba e dia ei lo Mi kibra e bog di Israel den e vaye di Jezreel.\""
1,6,"Anto Gomer a konsebí atrobe i a duna lus na un yu muhé. I SEÑOR a bisa Oseas: \"Yam'é Lo-ruhama, pasobra lo Mi no tin kompashon mas ku e kas di Israel, pa Mi no pordoná nan nunka mas."
1,7,"Ma lo Mi tin kompashon ku e kas di Juda i libra nan pa medio di SEÑOR nan Dios, i lo Mi no libra nan pa medio di bog, spada, bataya, kabai òf koredó di kabai.\""
1,8,"Ora Gomer a kita Lo-ruhama for di pechu, el a konsebí i a duna lus na un yu hòmber."
1,9,"I SEÑOR a bisa: \"Yam'é Lo-ammi, pasobra boso no ta Mi pueblo, i Ami no ta boso Dios.\""
1,10,"Tòg e kantidat di e yunan di Israel lo ta manera e santu di laman, ku no por wòrdu midí ni kontá. I lo sosodé ku na e lugá na unda ta wòrdu bisá na nan: \"Boso no ta Mi pueblo,\" lo wòrdu bisá na nan: \"Boso ta e yunan di e Dios bibu.\""
1,11,"E ora ei e yunan di Juda i e yunan di Israel lo wòrdu reuní huntu. I nan lo nombra un lider pa nan mes; i nan lo sali bai for di e tera, pasobra grandi lo ta e dia di Jezreel!"
2,1,"Bisa boso ruman hòmbernan: \"Ammi,\" i boso ruman muhénan: \"Ruhama.\""
2,2,"\"Pleita ku boso mama, sí, pleita, pasobra e no ta Mi esposa, i Ami no ta su Esposo; i lagu'é kita su prostitushon for di su kara, i su adulterio for di meimei di su pechunan,"
2,3,"pa Mi no kit'é sunú i ekspon'é manera riba e dia ku el a nase. Lo Mi hasié manera un desierto, hasié manera tera seku, i mat'é ku set."
2,4,"Lo Mi no tin kompashon ku su yunan, pasobra nan ta yunan di prostitushon."
2,5,"Pasobra nan mama a bira prostituta; esun ku a konsebí nan a aktua na manera bèrgonsoso. Pasobra el a bisa: 'Lo mi bai tras di mi amantenan, kendenan ta dunami mi pan i mi awa, mi lana i mi lino, mi zeta i mi bibida.'"
2,6,"Pesei mira, lo Mi sera su kaminda ku sumpiña; i lo Mi traha un muraya kontra djé, asina ku e no por haña su berehanan."
2,7,"I e lo kore tras di su amantenan, ma e lo no alkansá nan; i e lo buska nan, ma lo no haña nan. E ora ei e lo bisa: 'Lo mi bai bèk serka mi promé esposo, pasobra e tempu ei tabata mihó pa mi ku awor!'"
2,8,"Pasobra e no sa ku ta Ami a dun'é e mainshi, e biña nobo i e zeta, i ku ta Ami a kubrié ku plata i oro, ku nan a uza pa Baal."
2,9,"\"Pesei lo Mi tuma Mi mainshi bèk na e tempu di kosecha i Mi biña nobo ora ku e ta kla. Tambe lo Mi tuma Mi lana i Mi lino, duná pa tapa su sunú."
2,10,"I e ora ei lo Mi eksponé su bèrguensa den bista di su amantenan, i ningun hende lo no reskat'é for di Mi man."
