chapter,verse,"text"
1,1,"Na prinsipio tabata e Palabra, i e Palabra tabata ku Dios, i e Palabra tabata Dios."
1,2,"E tabata na prinsipio ku Dios."
1,3,"Tur kos a bin na eksistensia pa medio di djE, i fuera di djE nada di loke ta eksistí no a bin na eksistensia."
1,4,"Den djE bida tabata, i e bida tabata e lus di hende."
1,5,"I e lus ta lusa den e skuridat, i e skuridat no a komprendé esaki."
1,6,"Tabatin un hòmber, mandá di Dios, ku tabata yama Juan."
1,7,"El a bin komo testigu pa e duna testimonio di e lus, pa tur kere pa medio di djé."
1,8,"E no tabata e lus, ma el a bin pa duna testimonio di e lus."
1,9,"Esaki tabata e lus bèrdadero, ku ta lusa tur hende ku ta bin den mundu."
1,10,"E tabata den mundu, i e mundu a wòrdu trahá dor di djE, i e mundu no tabata konos'E."
1,11,"El a bin serka esnan ku tabata di djE, i esnan ku tabata di djE no a risibiE."
1,12,"Ma tur esnan ku a risibiE, na nan El a duna e derecho pa bira yunan di Dios, esnan ku ta kere den Su nòmber,"
1,13,"ku no a nase di sanger, ni di e boluntat di karni, ni di e boluntat di hende, ma di Dios."
1,14,"I e Palabra a bira karni i a biba meimei di nos, i nos a mira Su gloria, gloria manera di e unigénito di e Tata, yen di grasia i bèrdat."
1,15,"Juan a duna testimonio di djE i a grita, bisando: \"Esaki tabata Esun di Kende mi a bisa: 'Esun ku ta bin despues di mi ta mas ku mi, pasobra E tabata eksistí promé ku mi.'\""
1,16,"Pasobra di Su plenitut nos tur a risibí, i grasia riba grasia."
1,17,"Pasobra e Lei a wòrdu duná pa medio di Moisés; ma grasia i bèrdat a bin pa medio di Jesu-Cristo."
1,18,"Ningun hende no a mira Dios nunka; e Yu unigénito, Kende ta den skochi di e Tata, ta E a hasiE konosí."
1,19,"I esaki ta e testimonio di Juan, ora ku e hudiunan a manda saserdotenan i levitanan for di Jerusalèm serka djé pa puntr'é: \"Ta ken bo ta?\""
1,20,"El a konfesá i no a nenga, i el a konfesá: \"Ami no ta e Cristo.\""
1,21,"I nan a puntr'é: \"Kiko anto? T'abo ta Elias?\" I el a bisa: \"Ami no ta.\" \"T'abo ta e Profeta?\" I el a kontestá: \"Nò.\""
1,22,"E ora ei nan a puntr'é: \"Ta ken bo ta anto, pa nos por duna kontesta na esnan ku a manda nos? Kiko bo ta bisa di bo mes?\""
1,23,"El a bisa: \"Ami ta e bos di un ku ta grita den desierto: 'Hasi e kaminda di SEÑOR stret,' manera profeta Isaias a bisa.\""
1,24,"Awor nan a wòrdu mandá dor di e fariseonan."
1,25,"I nan a puntr'é i a bis'é: \"Pakiko anto bo ta batisá, si bo no ta e Cristo, ni Elias, ni e Profeta?\""
1,26,"Juan a kontestá nan, bisando: \"Mi ta batisá ku awa, ma meimei di boso tin Un ku boso no konosé."
1,27,"E ta Esun ku ta bin despues di mi, Kende mi no ta digno pa lòs strèp di Su sandalia.\""
1,28,"E kosnan aki a tuma lugá na Betania na e otro banda di Jordan, kaminda Juan tabata batisá."
1,29,"E siguiente dia Juan a mira Jesus ta bin serka djé i a bisa: \"Ata e Lamchi di Dios ku ta kita piká di mundu!"
1,30,"Esaki ta Esun di kende mi a bisa: 'Despues di mi ta bin un Hòmber ku ta promé ku mi, pasobra E tabata eksistí promé ku mi.'"
1,31,"I mi no tabata konos'E, ma pa E por wòrdu manifestá na Israel, mi a bin ta batisá ku awa.\""
1,32,"I Juan a duna testimonio, bisando: \"Mi a mira e Spiritu ta baha for di shelu manera un palomba, i El a keda riba djE."
1,33,"Mi no tabata konos'E, ma Esun ku a mandami batisá ku awa a bisami: 'Esun ku bo mira e Spiritu baha i keda riba djE, ta esaki ta Esun ku ta batisá ku Spiritu Santu.'"
1,34,"I mi a mira i a duna testimonio ku esaki ta e Yu di Dios.\""
1,35,"I e siguiente dia Juan tabata pará einan atrobe ku dos di su disipelnan."
1,36,"I ora ku el a mira Jesus ta pasa, el a bisa: \"Ata e Lamchi di Dios!\""
1,37,"I e dos disipelnan a tend'é papia i nan a sigui Jesus."
1,38,"I Jesus a drai wak i a mira ku nan tabata siguiE, i a bisa nan: \"Ta kiko boso ta buska?\" I nan a kontest'E: \"Rabi (ku tradusí ta nifiká Maestro), na unda Bo ta keda?\""
1,39,"El a bisa nan: \"Bin i boso lo mira.\" Asina nan a bai i a mira na unda E tabata keda. I nan a keda e dia ei serka djE, pasobra tabata mas o menos kuat'or di atardi."
1,40,"Un di e dosnan ku a tende Juan papia, i ku a siguiE, tabata Andres, ruman hòmber di Simon Pedro."
1,41,"Promé el a topa su mes ruman hòmber Simon i a bis'é: \"Nos a haña e Mesias\" (ku tradusí ta nifiká Cristo)."
1,42,"El a hib'é serka Jesus. Jesus a wak é i a bisa: \"Abo ta Simon, yu hòmber di Jonas; lo bo wòrdu yamá Sefas\" (ku tradusí ta nifiká Pedro)."
1,43,"E siguiente dia Jesus a disidí di bai Galilea, i El a haña Felipe i a bis'é: \"SiguiMi!\""
1,44,"Awor Felipe tabata di Bètsaida, e stat di Andres i Pedro."
1,45,"Felipe a haña Natanael i a bis'é: \"Nos a haña Esun di Kende Moisés a skirbi den e Lei i di Kende e Profetanan tambe a skirbi-- Jesus di Nazarèt, yu di Jose.\""
1,46,"I Natanael a puntr'é: \"Por sali algu bon for di Nazarèt?\" Felipe a bis'é: \"Bin i mira.\""
1,47,"Jesus a mira Natanael ta bin serka djE i a bisa di djé: \"Ata un bèrdadero israelita, den kende no tin mentira!\""
1,48,"Natanael a puntr'E: \"Di unda Bo konosémi?\" Jesus a kontestá i a bis'é: \"Promé ku Felipe a yamabo, ora bo tabata bou di e palu di figo, Mi a mirabo.\""
1,49,"Natanael a kontest'E: \"Rabi, Abo ta e Yu di Dios; Abo ta e Rei di Israel.\""
1,50,"Jesus a kontestá i a bis'é: \"Ta pasobra Mi a bisabo ku Mi a mirabo bou di e palu di figo, bo ta kere? Lo bo mira kosnan mas grandi ku esakinan.\""
1,51,"I El a bis'é: \"Di bèrdat, di bèrdat, Mi ta bisa boso, boso lo mira e shelunan habrí i e angelnan di Dios ta subi baha riba e Yu di Hende.\""
