chapter,verse,"text"
1,1,"Judas, un sirbidó di Jesu-Cristo, i ruman di Santiago, Na esnan ku ta e yamánan, stimánan den Dios Tata, i konservá pa Jesu-Cristo:"
1,2,"Ku miserikòrdia i pas i amor sea multipliká na boso."
1,3,"Rumannan stimá, mientras ku mi tabata hasi tur esfuerso pa skirbi boso di nos salbashon komun, mi a sinti e nesesidat di skirbi boso i spièrta boso pa lucha seriamente pa e fe ku un bes i pa semper a wòrdu entregá na e santunan."
1,4,"Pasobra sierto personanan a slùip drenta sin ku ningun hende a ripará, esta, esnan ku for di hopi tempu kaba a wòrdu destiná pa e kondenashon aki, hendenan impio, kendenan ta kambia e grasia di nos Dios den libertinahe i ta nenga nos úniko Maestro i Señor, Jesu-Cristo."
1,5,"Awor, apesar ku ya boso sa tur kos un bes i pa semper, mi kier rekòrdá boso ku ounke un tempu Señor a salba un pueblo for di tera di Egipto, despues El a destruí esnan ku no a kere."
1,6,"I angelnan ku no a warda nan mes posishon, ma a bandoná nan propio lugá di biba, El a tene na kadena etèrno den skuridat pa e huisio di e gran dia."
1,7,"Meskos ku Sodoma i Gomora i e statnan rònt di nan, ku na e mesun manera ku esakinan a entregá nan mes na fornikashon i a bai tras di pashonnan ku ta kontra naturalesa, a wòrdu poní komo un ehèmpel, dor di sufri e kastigu di kandela etèrno."
1,8,"Tòg di e mesun manera e hendenan aki, dor di soñamentu tambe, ta kontaminá e karni i ta rechasá outoridat, i ta blasfemá mahestatnan angelikal."
1,9,"Ma e arkangel Miguel, ora ku e tabata pleita ku diabel i tabata diskutí tokante di e kurpa di Moisés, no a tribi pronunsiá un huisio di maldishon kontra djé, ma a bisa: \"SEÑOR reprendébo.\""
1,10,"Ma e hòmbernan aki ta papia malu di tur loke nan no ta komprendé; i e kosnan ku dor di instinto nan sa di djé, manera bestia ku no por rasoná, den e kosnan aki nan ta korumpí nan mes."
1,11,"Ai di nan! Pasobra nan a sigui e kaminda di Kain, i pa ganashi nan a kore bai den e eror di Balaam, i a peresé den e rebelion di Kore."
1,12,"E hòmbernan aki ta manchanan na boso fiestanan di amor, ora nan ta fiesta huntu ku boso sin miedu, pèrkurando pa nan mes; nubianan sin awa, hibá pa bientunan, palunan di hèrfst sin fruta, dos biaha morto, ranká ku rais ku tur;"
1,13,"olanan brutu di laman ku ta saka nan mes bèrguensa manda ariba manera skuma; streanan ku ta dwal, pa kualnan e skuridat profundo a wòrdu reservá pa semper."
1,14,"I tokante di esakinan Enok tambe, den e di shete generashon for di Adam, a profetisá, bisando: \"Mira, Señor a bin ku hopi miles di Su santunan,"
1,15,"pa ehekutá huisio kontra tur, i pa kondená tur e hendenan impio pa tur nan echonan di impiedat ku nan a kometé den impiedat, i pa tur e kosnan duru ku pekadónan impio a papia kontra djE.\""
1,16,"Esakinan ta murmuradónan ku ta gusta keha, ku ta sigui tras di nan mes pashonnan; nan ta papia ku arogansia, i ta labia hende pa nan saka probecho."
1,17,"Ma boso, rumannan stimá, mester kòrda e palabranan ku a wòrdu papiá di antemano dor di e apòstelnan di nos Señor Jesu-Cristo,"
1,18,"ku nan tabata bisa boso: \"Den e último tempu lo tin bofonadónan ku ta sigui tras di nan mes pashonnan pèrvèrso.\""
1,19,"Esakinan ta esnan ku ta kousa divishon, hendenan sensual, ku no tin e Spiritu."
1,20,"Ma boso, rumannan stimá, edifikando boso mes den boso santísimo fe, hasiendo orashon den Spiritu Santu,"
1,21,"konservá boso mes den e amor di Dios, sperando ku gran antisipashon e miserikòrdia di nos Señor Jesu-Cristo pa bida etèrno."
1,22,"I tene miserikòrdia di algun ku tin duda;"
1,23,"salba otronan, rankando nan for di e kandela; i di otronan, tene miserikòrdia ku temor, aboresiendo asta e paña kontaminá dor di e karni."
1,24,"Awor na Esun ku ta poderoso pa warda boso di trompeká, i pa hasi boso para sin kulpa den e presensia di Su gloria ku gran alegria,"
1,25,"na e úniko Dios nos Salbador, pa medio di Jesu-Cristo nos Señor, sea gloria, mahestat, dominio i outoridat, promé ku tur tempu i awor i pa semper. Amèn."
