chapter,verse,"text"
1,1,"Awor a sosodé ku despues di e morto di Josué e yunan di Israel a puntra SEÑOR, bisando: \"Ken mester bai promé pa nos kontra e kananeonan, pa bringa kontra nan?\""
1,2,"I SEÑOR a bisa: \"Juda mester bai; mira, Mi a entregá e tera den su man.\""
1,3,"E ora ei Juda a bisa su ruman Simeon: \"Ban ku mi den e teritorio ku a wòrdu duná na mi pa medio di lòt, pa nos bringa kontra e kananeonan; anto ami tambe lo bai ku bo den e teritorio ku a wòrdu duná na bo pa medio di lòt.\" Asina Simeon a bai kuné."
1,4,"I Juda a subi bai, i SEÑOR a entregá e kananeonan i e ferezeonan den nan man; i nan a derotá dies mil hòmber na Bezek."
1,5,"I nan a haña Adoni-bezek na Bezek i a bringa kontra djé, i nan a derotá e kananeonan i e ferezeonan."
1,6,"Ma Adoni-bezek a hui; i nan a pèrsiguié i a koh'é prezo, i a kòrta su dùimnan i su dede grandinan di pia kit'afó."
1,7,"I Adoni-bezek a bisa: \"Setenta rei ku nan dùimnan i nan dede grandinan di pia kòrtá afó tabatin kustumber di piki sobrá di kuminda bou di mi mesa; manera mi a hasi, asina Dios a pagami.\" Asina nan a hib'é Jerusalèm i el a muri ayanan."
1,8,"E ora ei e yu hòmbernan di Juda a bringa kontra Jerusalèm i a kaptur'é; nan a dal é ku filo di spada i a pega e stat na kandela."
1,9,"I despues e yunan di Juda a baha bai bringa kontra e kananeonan ku tabata biba den e serunan, den Negèv i den sabana."
1,10,"Asina Juda a bai kontra e kananeonan ku tabata biba na Hebròn (awor nòmber di Hebròn antes tabata Kiriat-arba); i nan a mata Sesai i Ahiman i Talmai."
1,11,"I for di ayanan el a bai kontra e habitantenan di Debir (awor nòmber di Debir antes tabata Kiriat-sefer)."
1,12,"I Kalèb a bisa: \"Esun ku ataká Kiriat-sefer i kaptur'é, esei lo mi duna mi yu muhé Aksa komo esposa.\""
1,13,"I Otoniel, yu hòmber di Kenas, Kalèb su ruman hòmber mas chikitu, a kaptur'é; asina el a dun'é su yu muhé Aksa komo esposa."
1,14,"E ora ei a sosodé ku ora Aksa a bin serka djé, el a konvens'é pa pidi su tata un kunuku. Anto Aksa a baha for di su buriku, i Kalèb a bis'é: \"Kiko bo kier?\""
1,15,"I Aksa a bis'é: \"Dunami un bendishon; unabes ku bo a dunami tera di Negèv, dunami tambe fuentenan di awa.\" Asina Kalèb a dun'é e fuentenan ariba i e fuentenan abou."
1,16,"I e desendientenan di e keneo, Moisés su suegro, a bai for di e stat di palma, huntu ku e yu hòmbernan di Juda, na e desierto di Juda ku ta keda den sùit di Arad; i nan a bai i a keda biba serka e pueblo."
