chapter,verse,"text"
1,1,"E vishon ku Isaias, yu hòmber di Amos, a mira tokante di Juda i Jerusalèm, durante di e dianan di Uzias, Jotam, Akaz i Ezekias, reinan di Juda."
1,2,"Skucha, O shelunan, i tende, O tera; pasobra SEÑOR ta papia: \"Mi a kria i a kuida yunan, ma nan a rebeldiá kontra Mi."
1,3,"Buey konosé su doño, i buriku konosé pesebre di su shon, ma Israel no sa, Mi pueblo no ta komprendé.\""
1,4,"O nashon pekaminoso, pueblo kargá ku inikidat, desendientenan di malbadonan, yunan ku ta komportá nan mes na un manera korupto! Nan a bandoná SEÑOR, nan a despresiá Esun Santu di Israel, nan a bira lomba p'E."
1,5,"Pakiko mester sigui batibo? Pakiko bo ta sigui rebeldiá? Henter e kabes ta malu, i henter e kurason ta desmayá."
1,6,"For di plant'i pia te na kabes no tin nada bon den djé, sino solamente herida, gòlpi i yaga habrí ku no a wòrdu primí, ni mará ku verbant, ni suavisá ku zeta."
1,7,"Boso tera ta desolá, boso statnan ta kimá ku kandela; i boso kunukunan, stranheronan ta destruí nan den boso presensia; e ta un desolashon, komo si fuera ta stranheronan a destruié."
1,8,"I e yu muhé di Sion a keda manera un kabaña den un kunuku di wendrùif, manera un chosa den un kunuku di kònkòmber, manera un stat rondoná."
1,9,"Si e SEÑOR di ehérsitonan no a laga algun sobrebibiente pa nos, nos lo tabata manera Sodoma, nos lo tabata manera Gomora."
1,10,"Tende e palabra di SEÑOR, boso, gobernantenan di Sodoma; skucha e instrukshon di nos Dios, boso, pueblo di Gomora."
1,11,"\"Di kiko e multitut di boso sakrifisionan ta sirbiMi?\" SEÑOR ta puntra. \"Mi ta hartá di boso ofrendanan kimá di chubatu i di e vèt di bestianan gòrdá. Mi no ta hiba gustu den e sanger di bishé machu, lamchi òf kabritu."
1,12,"Ora boso bin pa presentá Mi dilanti, ta ken ta eksigí di boso pa trapa Mi pationan?"
1,13,"No trese ofrendanan bano mas, sensia ta un abominashon pa Mi. Luna nobo i sabat, e yamamentu di asambleanan-- Mi no por soportá inikidat, ni e asamblea solèm."
1,14,"Mi ta odia boso festivalnan di luna nobo i boso fiestanan stipulá; nan a bira un karga pa Mi. Mi ta kansá di soportá nan."
1,15,"Pesei, ora boso habri boso mannan den orashon, lo Mi skonde Mi wowonan pa boso; sí, maske boso hasi hopi orashon, lo Mi no skucha. Boso mannan ta yen di sanger."
1,16,"Laba boso mes, hasi boso mes limpi; kita e maldat di boso echonan for di Mi bista. Stòp di hasi maldat,"
1,17,"siña di hasi bon, buska huisio, reprendé e hende kruel, defendé e wérfano, pleita kaso di e biuda."
1,18,"\"Bin awor, i laga nos rasoná huntu,\" SEÑOR ta bisa. \"Maske boso pikánan ta manera skarlata, nan lo bira blanku manera sneu; maske nan ta kòrá manera skarlata, nan lo bira manera lana."
1,19,"Si boso ta dispuesto i ta obedesé, boso lo kome e mihó di e tera;"
