chapter,verse,"text"
1,1,"Tabatin un hòmber na tera di Uz ku yama Jòb. I e hòmber ei tabata perfekto i rekto, un hende ku tabata teme Dios i ku tabata apartá su mes for di maldat."
1,2,"I e tabatin shete yu hòmber i tres yu muhé."
1,3,"Su propiedatnan tabata shete mil karné, tres mil kamel, sinku shen yugo di buey, sinku shen buriku yewa i masha hopi sirbidó; i e hòmber ei tabata esun di mas grandi di tur e hòmbernan di oriente."
1,4,"I su yu hòmbernan tabatin kustumber di hasi fiesta na nan kas, kada un riba su dia, i nan tabata manda kombidá nan tres ruman muhénan pa bin kome i bebe huntu ku nan."
1,5,"I a sosodé ku kada bes ku e dianan di fiesta a pasa, Jòb tabata manda buska nan i konsagrá nan; e tabata lanta mainta tempran i ofresé ofrendanan kimá pa kada un di nan, pasobra Jòb tabata bisa: \"Por ta ku mi yu hòmbernan a peka i a maldishoná Dios den nan kurason.\" Asina Jòb tabata hasi kontinuamente."
1,6,"Awor a yega un dia ku e yu hòmbernan di Dios a bin pa presentá nan mes dilanti di SEÑOR, i Satanás tambe a bin den nan."
1,7,"I SEÑOR a bisa Satanás: \"For di unda bo ta bin?\" E ora ei Satanás a kontestá SEÑOR i a bisa: \"For di bai-bin riba tera i di kana pariba-pabou den djé.\""
1,8,"I SEÑOR a bisa Satanás: \"Bo a konsiderá Mi sirbidó Jòb? Pasobra no tin ningun hende manera é riba tera, un hende perfekto i rekto, ku ta teme Dios i ku ta apartá su mes for di maldat.\""
1,9,"E ora ei Satanás a kontestá SEÑOR: \"Ta pòrnada Jòb ta teme Dios?"
1,10,"Bo no a traha un trankera rònt di djé, rònt di su kas, i rònt di tur loke e tin na tur banda? Bo a bendishoná e trabou di su man, i su propiedatnan a oumentá den e tera."
1,11,"Ma saka Bo man awor i mishi ku tur loke e tin; siguramente e lo maldishonáBo den Bo kara.\""
1,12,"E ora ei SEÑOR a bisa Satanás: \"Ata, tur loke e tin ta den bo poder; solamente, no pone bo man riba djé.\" Asina Satanás a bai for di e presensia di SEÑOR."
1,13,"Awor a sosodé ku riba e dia ku su yu hòmbernan i su yu muhénan tabata kome i bebe biña den kas di nan ruman hòmber mayó,"
1,14,"un mensahero a yega serka Jòb i a bisa: \"E bueynan tabata plug i e burikunan tabata kome banda di nan,"
1,15,"i e sabeonan a ataká i a kohe nan bai kuné. Tambe nan a mata e sirbidónan ku filo di spada, i ami so a skapa pa kontabo.\""
1,16,"Mientras ku esaki tabata papia ainda, un otro mas a yega i a bisa: \"E kandela di Dios a kai for di shelu i a kima e karnénan i e sirbidónan i a kaba ku nan; i ami so a skapa pa kontabo.\""
1,17,"Mientras ku esaki tabata papia ainda, un otro mas a yega i a bisa: \"E kaldeonan a forma tres trupa i a ataká e kamelnan i a kohe nan bai kuné, i a mata e sirbidónan ku filo di spada; i ami so a skapa pa kontabo.\""
1,18,"Mientras ku esaki tabata papia ainda, un otro mas a yega i a bisa: \"Bo yu hòmbernan i bo yu muhénan tabata kome i bebe biña den kas di nan ruman hòmber mayó,"
1,19,"i mira, un bientu fuerte a pasa ofer di e desierto bin, i a suta e kuater skinanan di e kas, i e kas a kai riba e hobennan i nan a muri; i ami so a skapa pa kontabo.\""
1,20,"E ora ei Jòb a lanta, a sker su pañanan i a feita su kabes; i el a tira su kurpa abou ku su kara te na suela i a adorá."
1,21,"I el a bisa: \"Sunú mi a sali for di barika di mi mama, i sunú lo mi bolbe einan. SEÑOR a duna i SEÑOR a kita. Bendishoná sea e nòmber di SEÑOR.\""
1,22,"Den tur esaki Jòb no a peka ni e no a kulpa Dios."
2,1,"A yega un otro dia ku e yu hòmbernan di Dios a bin pa presentá nan mes dilanti di SEÑOR, i Satanás tambe a bin den nan pa presentá su mes dilanti di SEÑOR."
2,2,"I SEÑOR a bisa Satanás: \"For di unda bo ta bin?\" I Satanás a kontestá SEÑOR i a bisa: \"For di bai-bin riba tera i di kana pariba-pabou den djé.\""
2,3,"I SEÑOR a bisa Satanás: \"Bo a konsiderá Mi sirbidó Jòb? Pasobra no tin ningun hende manera é riba tera, un hòmber perfekto i rekto, ku ta teme Dios i ku ta apartá su mes for di maldat. I ainda e ta mantené su integridat, maske ku bo a poneMi kontra djé, pa ruin'é sin motibu.\""
2,4,"I Satanás a kontestá SEÑOR i a bisa: \"Kueru pa kueru! Sí, tur loke un hende tin e lo duna pa su bida."
2,5,"Ma saka Bo man awor i mishi ku su wesu i ku su karni; e lo maldishonáBo den Bo kara.\""
2,6,"Asina SEÑOR a bisa Satanás: \"Mira, e ta den bo poder; solamente, spar su bida.\""
2,7,"E ora ei Satanás a sali bai for di e presensia di SEÑOR, i a suta Jòb ku blufein ku ta hasi masha doló, for di su plant'i pia te na su korona di kabes."
2,8,"I el a kohe un pida di wea di klei kibrá pa raspa su kurpa kuné, mientras ku e tabata sinta den shinishi."
2,9,"E ora ei su esposa a bis'é: \"Ainda bo ta mantené bo integridat? Maldishoná Dios i muri!\""
2,10,"Ma Jòb a bis'é: \"Bo ta papia manera un di e muhénan bobo ta papia. Akaso nos tin ku aseptá loke ta bon for di Dios i no aseptá atversidat?\" Den tur esaki Jòb no a peka ku su lepnan."
2,11,"Awor ora e tres amigunan di Jòb a tende di henter e atversidat aki ku a pasa kuné, kada un di nan a bin for di su mes lugá: Elifaz e temanita, Bildad e suhita, i Sofar e naamatita; i nan a palabrá ku otro pa nan bin kondoler Jòb i konsol'é."
2,12,"I ora nan a hisa kara wak é djaleu i no a rekonos'é, nan a grita yora. Anto kada un di nan a sker su pañanan, i nan a tira tera den laira lagu'é kai riba nan kabes."
2,13,"E ora ei nan a sinta abou na suela huntu kuné pa shete dia i shete anochi, sin ku ningun di nan a papia ún palabra kuné, pasobra nan a mira ku su doló tabata masha pisá."
3,1,"Despues Jòb a habri su boka i a maldishoná e dia ku el a nase."
3,2,"I Jòb a bisa:"
3,3,"\"Laga e dia riba kual mi a nase peresé, i e anochi ku a bisa: 'Un yu hòmber ta konsebí.'"
3,4,"Laga e dia ei ta skuridat; laga Dios aya riba no pèrkurá p'é, ni lus briya riba djé."
3,5,"Laga skuridat i sombra di morto poderá di djé; laga un nubia reposá riba djé; laga e skuridat di e dia ei teroris'é."
3,6,"I e anochi ei, laga skuridat gar'é; no lagu'é wòrdu kontá den e dianan di aña; no lagu'é ta den e kantidat di lunanan."
3,7,"Mira, laga e anochi ei ta steril; no laga ningun gritu di alegria resoná den djé."
3,8,"Laga esnan ku ta maldishoná dia, maldishon'é, esnan ku tin e abilidat pa spièrta Leviatan."
3,9,"Laga su streanan di mainta bira skur; lagu'é spera lus, sin haña; tampoko no lagu'é mira e habrimentu di dia,"
3,10,"pasobra e no a sera boka di matris di mi mama, ni a skonde miseria pa mi wowonan."
3,11,"\"Pakiko mi no a muri na ora di mi nasementu, sali for di barika di mi mama i peresé?"
3,12,"Pakiko e rudianan a risibími, i pakiko e pechunan, pa mi bebe?"
3,13,"Sino awor lo mi tabata sosegá na pas; lo mi tabata drumí e ora ei, lo mi tabata sosegá"
3,14,"huntu ku reinan i konseheronan di e tera, ku a rekonstruí ruinanan pa nan mes;"
3,15,"òf huntu ku prensnan ku tabatin oro, ku tabata yena nan kasnan ku plata."
3,16,"Of derá manera un meskram, lo mi no tabat'ei, manera yuchi ku nunka a mira lus."
3,17,"Ayanan e malbadonan ta stòp di molestiá; i ayanan esnan kansá tin sosiegu."
3,18,"E prezonan ta sosegá huntu; nan no ta tende bos di e kapatas."
3,19,"Chikitu i grandi ta ayanan, i e esklabu ta liber di su shon."
3,20,"\"Pakiko lus ta wòrdu duná na esun ku ta sufri, i bida na esun ku tin amargura di alma,"
3,21,"ku ta deseá morto, ma morto no ta bin, i ta koba busk'é mas ku tesoronan skondí;"
3,22,"ku ta alegrá grandemente, i ta regosihá ora ku nan haña e graf?"
3,23,"Pakiko lus ta wòrdu duná na un hòmber, kende su kaminda ta skondí, i kende Dios a enserá na tur banda?"
3,24,"Pasobra asina mi mira mi kuminda, mi ta kuminsá suspirá, i mi kehamentunan ta bash'afó manera awa."
3,25,"Pasobra loke mi ta teme ta bin riba mi, i loke mi tin miedu di djé ta sosodé ku mi."
3,26,"Mi no tin pas, ni trankilidat, i mi no tin sosiegu, ma ta problema so ta bin.\""
4,1,"E ora ei Elifaz e temanita a kontestá:"
4,2,"\"Si un hende riska papia un palabra ku bo, lo bo keda desanimá? Ma ken por keda sin papia?"
4,3,"Mira, bo a spièrta hopi hende, i bo a fortalesé mannan debil."
4,4,"Bo palabranan a yuda esnan ku ta trompeká pa nan keda para, i bo a fortalesé rudianan debil."
4,5,"Ma awor esaki a pasa ku bo i bo ta keda desanimá; e ta afektábo i bo ta keda desmayá."
4,6,"No ta bo temor pa Dios ta bo konfiansa, i e integridat di bo kamindanan bo speransa?"
4,7,"\"Pensabo bon awor: ken a yega di peresé, siendo inosente? Of unda e hustunan a wòrdu destruí?"
4,8,"Konforme loke mi a mira: esnan ku plug inikidat i esnan ku sembra problema, ta kosechá esei."
4,9,"Dor di e rosea di Dios nan ta peresé, i dor di e suplamentu di Su rabia nan ta yega na un fin."
4,10,"E gruñamentu di leon i e gritu di leon feros, i e djentenan di leon chikitu ta wòrdu kibrá."
4,11,"Leon bieu ta peresé pa falta di proi, i e yunan di leon muhé ta wòrdu plamá."
4,12,"\"Awor na sekreto un palabra a wòrdu tresí pa mi, i mi orea a kapta algu di djé."
4,13,"Durante di pensamentunan intrankil for di vishonnan di anochi, ora ku soño profundo ta baha riba hende,"
4,14,"spantu i temblamentu a bin riba mi i a hasi tur mi wesunan sakudí."
4,15,"E ora ei un spiritu a pasa dilanti di mi kara; kabei di mi kueru a reis."
4,16,"El a keda para, ma mi no por a diserní su aparensia; un figura tabata dilanti di mi wowo; tabatin silensio, e ora ei mi a tende un bos:"
4,17,"'Humanidat por ta hustu dilanti di Dios? Un hende por ta puru dilanti di Esun ku a trah'é?"
4,18,"E no ta pone konfiansa ni sikiera den Su sirbidónan, i E ta kulpa Su angelnan di eror."
4,19,"Kuantu mas esnan ku ta biba den kasnan di klei, kende nan fundeshi ta den stòf, kendenan ta keda plèchá manera mòt!"
4,20,"Entre mainta i atardi nan ta wòrdu kibrá na pida-pida; nan ta peresé pa semper, sin ku ningun hende ta ripará."
4,21,"Kabuya di nan tènt no ta wòrdu ranká? Nan ta muri, ma sin sabiduria.'"
5,1,"\"Yama awor, tin un hende ku lo kontestábo? I serka kual di e santunan lo bo bai?"
5,2,"Pasobra rabia ta mata e hende bobo, i envidia ta mata e hende simpel."
5,3,"Mi a mira e bobo saka rais, i mi a maldishoná su lugá di biba mesora."
5,4,"Su yu hòmbernan ta leu di siguridat; den e porta nan ta wòrdu plèchá, sin ningun hende pa libra nan."
5,5,"Esnan ku tin hamber ta kome su kosecha, i asta ta saka esei for di meimei di sumpiña, i e hendenan ku set ta anhelá na nan rikesa."
5,6,"Pasobra aflikshon no ta sali for di stòf, ni molèster no ta spreit for di tera;"
5,7,"pasobra hende a nase pa molèster, manera chispa di kandela ta bula bai den laira."
5,8,"\"Ma pa loke t'ami, lo mi a buska Dios, i lo mi a presentá mi kaso dilanti di Dios,"
5,9,"Kende ta hasi kosnan grandi i inskudriñabel, maraviyanan ku no por wòrdu kontá."
5,10,"E ta duna awaseru riba tera, i ta manda awa riba e kunukunan,"
