chapter,verse,"text"
1,1,"Pablo, un apòstel di Jesu-Cristo pa e boluntat di Dios, i Timoteo nos ruman,"
1,2,"Na e santunan i rumannan fiel den Cristo ku ta na Kolosas: Grasia na boso i pas di Dios nos Tata."
1,3,"Nos ta duna gradisimentu na Dios, Tata di nos Señor Jesu-Cristo, semper hasiendo orashon pa boso,"
1,4,"komo ku nos a tende di boso fe den Cristo Jesus i e amor ku boso tin pa tur e santunan,"
1,5,"pa motibu di e speransa ku ta wardá pa boso den shelu, di kual boso a tende kaba den e palabra di bèrdat, e evangelio"
1,6,"ku a yega serka boso, meskos ku den henter mundu tambe e ta duna fruta i ta sigui krese konstantemente, meskos ku el a hasi den boso tambe for di dia ku boso a tende di djé i a komprendé den bèrdat e grasia di Dios;"
1,7,"meskos ku boso a siña esaki for di Epafras, nos ko-sirbidó stimá, kende ta un fiel sirbidó di Cristo pa nos motibu;"
1,8,"i tambe el a pone nos na haltura di boso amor den e Spiritu."
1,9,"Pa e motibu aki tambe, for di e dia ku nos a tende di esaki, nos no a stòp di hasi orashon pa boso i di pidi pa boso por wòrdu yená ku e konosementu di Su boluntat den tur sabiduria spiritual i komprendementu."
1,10,"I nos ta pidi pa boso kana na un manera digno di Señor, pa agrad'E den tur sentido, dunando fruta den tur bon obra i kresiendo den e konosementu di Dios,"
1,11,"siendo fortifiká ku tur poder, segun Su forsa glorioso, pa haña tur pèrseveransia i pasenshi, i ku goso"
1,12,"dunando gradisimentu na e Tata, Kende a kualifiká nos pa tuma parti den e erensia di e santunan den e lus."
1,13,"Pasobra El a libra nos di e poder di skuridat, i a trasladá nos pa e reino di Su Yu stimá,"
1,14,"den Kende nos tin redenshon, e pordon di pikánan."
1,15,"I E ta e imagen di e Dios invisibel, e primogénito di henter kreashon."
1,16,"Pasobra pa medio di djE tur kos a wòrdu kreá, tantu den e shelunan komo riba tera, visibel i invisibel, sea trononan òf dominionan òf gobernantenan òf outoridatnan--tur kos a wòrdu kreá pa medio di djE i p'E."
1,17,"I E ta promé ku tur kos, i den djE tur kos ta konsistí."
1,18,"E ta tambe kabes di e kurpa, e iglesia; i E ta e prinsipio, e primogénito for di e mortonan; pa E mes por bin haña e promé lugá den tur kos."
1,19,"Pasobra a agradá e Tata pa henter e plenitut biba den djE,"
1,20,"i dor di djE rekonsiliá tur kos kunE mes, siendo ku El a hasi pas kaba dor di e sanger di Su krus; dor di djE, mi ta bisa, tantu kosnan riba tera komo kosnan den shelu."
1,21,"I maske anteriormente boso tabata stranhero i enemigu den mente, okupá ku mal echonan,"
1,22,"tòg awor El a rekonsiliá boso den e kurpa di Su karni dor di morto, pa presentá boso Su dilanti santu i sin kulpa i sin ningun reproche--"
1,23,"si di bèrdat boso ta sigui den e fe, firmemente fundá i stabil, i no ta wòrdu moví for di e speransa di e evangelio ku boso a tende, kual a wòrdu proklamá den henter kreashon bou di shelu, i di kual ami, Pablo, a wòrdu hasí un sirbidó."
1,24,"Awor mi ta regosihá den mi sufrimentunan pa boso kousa, i den mi karni mi ta hasi mi parti pa kousa di Su kurpa (kual ta e iglesia), dor di yena loke ta falta den e aflikshonnan di Cristo."
1,25,"Di e iglesia aki mi a wòrdu hasí un sirbidó segun e mayordomia di Dios duná na mi pa boso benefisio, pa mi por kumpli debidamente ku e predikamentu di e palabra di Dios,"
1,26,"esta, e misterio ku tabata skondí for di e siglonan i generashonnan pasá, ma ku awor a wòrdu manifestá na Su santunan,"
1,27,"na kendenan Dios kier a hasi konosí kual ta e rikesanan di e gloria di e misterio aki den e paganonan, ku ta Cristo den boso, e speransa di gloria."
1,28,"I nos ta proklam'E, spièrtando tur hende i siñando tur hende ku tur sabiduria, pa nos presentá tur hende perfekto den Cristo."
1,29,"I pa e propósito aki tambe mi ta traha, luchando segun Su poder ku ta obra poderosamente den mi."
2,1,"Pasobra mi kier pa boso sa ki un lucha grandi mi ta lucha pa boso, i pa esnan ku ta na Laodisea, i pa tur esnan ku no a mira mi kara personalmente,"
2,2,"pa nan kurason wòrdu enkurashá, siendo uní ku otro den amor, i alkansando tur e rikesa ku ta bin di e siguransa kompleto di komprendementu, ku ta resultá den un konosementu bèrdadero di e misterio di Dios, esta, Cristo mes,"
2,3,"den Kende tur e tesoronan di sabiduria i konosementu ta skondí."
2,4,"Mi ta bisa esaki pa ni un hende no gaña boso ku argumento ku ta zona bunita."
2,5,"Pasobra maske mi ta ousente den kurpa, sinembargo, mi ta ku boso den spiritu, kontentu pa mira boso bon disiplina i e stabilidat di boso fe den Cristo."
2,6,"Pesei, meskos ku boso a risibí Cristo Jesus e Señor, asina kana den djE,"
2,7,"siendo firmemente araigá i awor edifiká den djE i stablesí den boso fe, meskos ku boso a wòrdu instruí, i ta abundá den gradisimentu."
2,8,"Mira pa ni un hende no kohe boso prezo dor di filosofia i engaño bano, segun tradishon di hende, segun e prinsipionan elemental di mundu, i no segun Cristo."
2,9,"Pasobra den djE henter e plenitut di e Deidat ta biba korporalmente,"
2,10,"i den djE boso a wòrdu hasí kompleto, i E ta e kabes riba tur gobierno i outoridat;"
2,11,"i den djE boso a wòrdu sirkumsidá tambe ku un sirkumsishon no hasí ku man, dor di e kitamentu di e naturalesa pekaminoso pa medio di e sirkumsishon di Cristo,"
2,12,"siendo derá kunE den boutismo, den kual boso a wòrdu lantá tambe huntu kunE dor di fe den e poder di Dios, Kende a lant'E for di e mortonan."
2,13,"I tempu boso tabata morto den boso transgreshonnan i e insirkumsishon di boso karni, El a hasi boso bibu huntu kunE, dor di a pordoná nos tur nos transgreshonnan,"
2,14,"dor di kanselá e sertifikado di debe ku tabata konsistí di dekretonan kontra nos i ku tabata hostil pa ku nos; i El a kit'é for di kaminda dor di klab'é na krus."
2,15,"Ora ku El a desarmá e gobernantenan i outoridatnan, El a eksponé nan públikamente, dor di triunfá riba nan pa medio di djE."
2,16,"Pesei, no laga ni un hende aktua komo boso hues enkuanto komementu òf bebementu, òf enkuanto un dia di fiesta òf luna nobo òf dia di Sabat--"
2,17,"kosnan ku ta djis sombra di loke mester bin; ma e realidat ta pertenesé na Cristo."
2,18,"No laga ni un hende sigui defroudá boso di boso premio dor di hiba gustu den umildat falsu i adorashon di angelnan, konfiando riba vishonnan ku el a mira, arogante sin motibu pa kousa di su mente karnal,"
2,19,"sin tene na e Kabes, for di kual henter e kurpa, siendo sostení i tení huntu pa medio di e skarnirnan i kabuyanan, ta krese ku un kresementu ku ta di Dios."
2,20,"Si boso a muri ku Cristo pa e prinsipionan básiko di mundu, pakiko, komo si fuera boso tabata biba den mundu, boso ta someté boso mes na dekretonan, manera,"
2,21,"\"No toka, no purba, no mishi!\""
2,22,"kualnan tur ta referí na kosnan destiná pa kaba dor di uzo--konforme e mandamentunan i siñansanan di hende?"
2,23,"Esakinan ta asuntonan ku di bèrdat tin aparensia di sabiduria den religion ku hende mes a traha, i den umildat falsu i den trato severo di e kurpa, ma ku no ta di ningun balor kontra satisfakshon di e karni."
3,1,"Si boso a wòrdu lantá ku Cristo anto, sigui buska e kosnan djariba, kaminda Cristo ta, sintá na man drechi di Dios."
