chapter,verse,"text"
1,1,"Esta solitario e ta keda, e stat ku un tempu tabata yen di hende! E stat ku un tempu tabata grandi entre e nashonnan a bira manera un biuda! E stat ku tabata un prensès entre e provinsianan a bira un pagadó di tributo!"
1,2,"E ta yora amárgamente den anochi, i tin lágrima riba su kara; e no tin ningun hende pa konsol'é entre tur su amantenan. Tur su amigunan a traishon'é; nan a bira su enemigu."
1,3,"Bou di aflikshon i sklabitut pisá Juda a bai den eksilio; e ta biba entre e nashonnan, ma e no a haña sosiegu; tur su pèrsiguidónan a alkans'é meimei di su angustia."
1,4,"E kamindanan di Sion ta lamentá, pasobra ningun hende no ta bin na e fiestanan stipulá. Tur su portanan ta keda desolá; su saserdotenan ta suspirá, su birgennan ta afligí i e mes ta den amargura."
1,5,"Su atversarionan a bira su maestronan, su enemigunan ta prosperá; pasobra SEÑOR a hasié sufri pa motibu di e multitut di su transgreshonnan; su yu chikitunan a wòrdu hibá komo katibu dilanti di e atversario."
1,6,"I for di e yu muhé di Sion tur su splendor a disparsé; su prensnan a bira manera biná machu ku no a haña lugá di yerba bèrdè; i sin forsa nan a hui dilanti di e pèrsiguidó."
1,7,"Den e dianan di su aflikshon i dwalmentu Jerusalèm ta kòrda tur su kosnan presioso ku tabata di dianan di promé aya, tempu ku su hendenan a kai den man di e atversario, i ningun hende no a yud'é. E atversarionan a mir'é; nan a hasi bofon di su ruina."
1,8,"Jerusalèm a peka grandemente; pesei el a bira un kos impuru. Tur esnan ku tabata onr'é ta despresi'é pasobra nan a mira su sunú; sí, e mes ta suspirá i ta bira kara."
1,9,"Su impuresa tabata den su sayanan; e no a tene kuenta ku su futuro; pesei su kaída tabata asombroso; e no tin konsoladó. \"Mira mi aflikshon, O SEÑOR, pasobra e enemigu a engrandesé su mes!\""
1,10,"E atversario a tira man riba tur su kosnan presioso; el a mira e nashonnan drenta su santuario, esnan ku Abo a ordená pa nan no drenta Bo kongregashon."
1,11,"Henter su pueblo ta suspirá, nan ta buska pan; nan a kambia nan kosnan presioso pa kuminda, pa tene nan mes na bida. \"Wak, O SEÑOR, i mira, pasobra mi ta wòrdu despresiá.\""
1,12,"\"No ta importá boso, boso tur ku ta pasa aki banda? Wak i mira si tin doló manera e doló ku a bin pisá riba mi, ku SEÑOR a afligími kuné den e dia di Su rabia ardiente."
1,13,"\"For di ariba El a manda kandela den mi wesunan, i esei a penetrá te den nan; El a habri un reda pa mi pianan; El a hasimi bolbe; El a lagami desolá, debilitá henter dia."
1,14,"\"E yugo di mi transgreshonnan ta mará; ta Su mes man ta wef nan na otro; nan a bin riba mi nèk; El a hasi mi forsa faya; Señor a entregámi den man di esnan kontra ken mi no por keda para."
1,15,"\"Señor a rechasá tur mi hòmbernan fuerte meimei di mi; El a anunsiá un tempu stipulá kontra mi pa plècha mi hobennan; Señor a trapa e yu muhé birgen di Juda, manera ta trapa den baki-di-pèrs-wendrùif."
1,16,"\"Pa e kosnan aki mi ta yora; awa ta basha for di mi wowo, pasobra un konsoladó, un ku ta restorá mi alma, ta leu for di mi; mi yunan ta keda desolá pasobra e enemigu a prevalesé.\""
1,17,"Sion ta saka su mannan; no tin ningun hende pa konsol'é; SEÑOR a ordená tokante di Jakòb pa esnan rònt di djé bira su atversario; Jerusalèm a bira un kos impuru meimei di nan."
1,18,"\"SEÑOR ta hustu, pasobra t'ami a rebeldiá kontra Su mandamentu; tende awor, tur pueblo, i mira mi doló; mi birgennan i mi hobennan a bai den koutiverio."
1,19,"\"Mi a yama mi amantenan, ma nan a gañami; mi saserdotenan i mi ansianonan a peresé den e stat, mientras ku nan tabata buska kuminda pa tene nan mes na bida."
1,20,"\"Mira, O SEÑOR, pasobra mi ta den angustia; mi spiritu ta masha intrankil; mi kurason ta tur reboltiá den mi, pasobra mi tabata masha rebelde. Den kaya spada ta mata; den kas morto ta reina."
1,21,"\"Nan a tendemi ta suspirá; no tin ningun hende pa konsolámi; tur mi enemigunan a tende di mi kalamidat; nan ta kontentu ku Bo a hasi esei. O ku Abo lo a trese e dia ku Bo a proklamá, asina ku nan por a bira meskos ku mi."
1,22,"\"Laga tur nan maldat bin Bo dilanti; i trata ku nan manera Bo a trata ku mi pa motibu di tur mi transgreshonnan; pasobra mi kehamentunan ta hopi i mi kurason ta desmayá.\""
2,1,"Mira kon Señor den Su rabia a tapa e yu muhé di Sion ku un nubia! For di shelu El a tira e gloria di Israel riba tera, i no a kòrda riba e banki pa Su pia den e dia di Su rabia."
2,2,"Señor a traga tur; E no a spar ningun di e habitashonnan di Jakòb. Den Su furia El a tira e lugánan fortifiká di e yu muhé di Juda abou; El a baha nan te na suela; El a profaná e reino i su prensnan."
2,3,"Den rabia ardiente El a kòrta henter e forsa di Israel kit'afó; El a hala Su man drechi bèk for di dilanti di e enemigu. I El a kima kontra Jakòb manera un kandela tur na flam ku ta kaba ku tur kos ku tin rònt di djé."
2,4,"Manera un enemigu El a span Su bog; Su man drechi El a lanta manera un atversario, i a mata tur loke tabata agradabel pa bista; den e tènt di e yu muhé di Sion El a drama Su furia manera kandela."
2,5,"Señor a bira manera un enemigu. El a traga Israel; El a traga tur su palasionan; El a destruí su lugánan fortifiká, i a multipliká yoramentu i kehamentu den e yu muhé di Juda."
2,6,"I El a trata Su tabernakel ku violensia, komo si fuera esaki tabata djis un kunuku di wendrùif; El a destruí Su lugá pa reuní; SEÑOR a hasi ku e fiesta stipulá i e dia di sabat a wòrdu lubidá na Sion, i El a despresiá tantu rei komo saserdote den e indignashon di Su rabia."
2,7,"Señor a rechasá Su altar, El a bandoná Su santuario; El a entregá e murayanan di su palasionan den man di e enemigu. Nan a hasi desòrdu den e kas di SEÑOR, manera riba dia di un fiesta stipulá."
2,8,"SEÑOR a determiná pa destruí e muraya di e yu muhé di Sion. El a span un liña-di-midi, E no a wanta Su man pa no destruí; i El a hasi baluarte i muraya lamentá; huntu nan a para kaba na nada."
2,9,"Su portanan a senk den tera, El a destruí i kibra su baranan. Su rei i su prensnan ta meimei di e nashonnan; no tin lei mas; tampoko su profetanan no ta haña vishon for di SEÑOR."
2,10,"E ansianonan di e yu muhé di Sion ta sint'abou na suela, nan ta ketu. Nan a tira tera riba nan kabes; nan a faha nan mes ku paña-di-saku. E birgennan di Jerusalèm a baha nan kabes te na suela."
2,11,"Mi wowonan ta faya pa motibu di lágrima, mi tripanan ta trose di angustia; den mi amargura mi hal ta bashá riba suela, pa motibu di e destrukshon di e yu muhé di mi pueblo, pasobra mucha chikitu i bebi ta desmayá den e kayanan di e stat."
2,12,"Nan ta puntra nan mama: \"Unda tin mainshi i biña?\" mientras nan ta desmayá manera un hòmber heridá den e kayanan di e stat, mientras nan ta hala nan último rosea riba pechu di nan mama."
2,13,"Kon lo mi spièrtabo? Ku kiko lo mi komparábo, O yu muhé di Jerusalèm? Ku kiko lo mi komparábo ora mi konsolábo, O yu muhé birgen di Sion? Pasobra bo ruina ta mes grandi ku laman; ken por kurabo?"
2,14,"Bo profetanan a mira vishonnan falsu i bashí pa bo; i nan no a eksponé bo inikidat, pa trese esnan di bo ku ta den koutiverio, bèk, ma nan a mira profesianan falsu i engañoso pa bo."
2,15,"Tur hende ku ta pasa bai ta bati man pa hasi chèrcha di bo; nan ta flùit i ta sakudí kabes pa e yu muhé di Jerusalèm: \"Ta esaki ta e stat di kual nan a bisa: 'E perfekshon di bunitesa, e goso di henter mundu'?\""
2,16,"Tur bo enemigunan a habri boka hanchu kontra bo; nan ta flùit i ta morde riba djente. Nan ta bisa: \"Nos a gulié mand'abou! Siguramente esaki ta e dia riba kual nos a spera; nos a biba te ku nos a mira esaki.\""
2,17,"SEÑOR a hasi loke El a proponé; El a kumpli ku Su palabra ku El a ordená for di dianan di promé aya. El a bent'abou sin spar nada, i El a hasi e enemigu regosihá ofer di bo; El a halsa e kachu di bo atversarionan."
2,18,"Nan kurason a sklama na Señor: \"O muraya di e yu muhé di Sion, laga bo lágrima kore manera riu, di dia i anochi; no duna bo mes deskanso; no laga bo wowonan haña sosiegu."
2,19,"\"Lanta, sklama duru den anochi, na kuminsamentu di e wardanan di anochi; basha bo kurason manera awa den e presensia di Señor; halsa bo mannan na djE pa bida di bo mucha chikitunan, ku pa motibu di hamber ta kai flou na skina di tur kaya.\""
2,20,"Wak, O SEÑOR, i mira! Ku ken Bo a trata asina? Muhénan mester kome nan mes yu-- e mucha chikitunan ku a nase salú? Saserdote i profeta mester wòrdu matá den e santuario di Señor?"
2,21,"Tantu hende yòn komo hende bieu ta keda bentá abou na suela den e kayanan; mi birgennan i mi hobennan a kai pa medio di spada. Bo a mata nan den e dia di Bo rabia, Bo a mata sin tene miserikòrdia."
2,22,"Manera pa un dia di fiesta stipulá, asina Bo a invitá e terornan ku ta rondonámi; i no tabatin ningun hende ku a skapa òf sobrebibí den e dia di e rabia di SEÑOR. Esnan ku mi a haña i a kria, mi enemigu a kaba ku nan."
3,1,"Ami ta e hòmber ku a mira aflikshon pa motibu di e bara di Su furia."
3,2,"El a guiami i a hasimi kana den skuridat, i no den lus."
3,3,"Siguramente El a bira Su man kontra mi bes tras bes, henter dia."
3,4,"El a hasi mi karni i mi kueru kaba na mi kurpa, El a kibra mi wesunan."
3,5,"El a lanta baluarte kontra mi i a rondonámi ku amargura i kontratiempo."
3,6,"El a hasimi biba den lugánan skur, manera esnan ku ta morto pa hopi tempu kaba."
3,7,"El a changami pa asina mi no skapa; El a hasi mi kadena pisá."
3,8,"Asta ora mi sklama i yama pa yudansa, E ta rechasá mi orashon."
3,9,"El a blòkia mi kamindanan ku piedra kòrtá; El a hasi mi berehanan tur trosí."
3,10,"E ta pa mi manera un ber ku ta skonde lur pa ataká, manera un leon den lugánan sekreto."
3,11,"El a lastrami for di kaminda i a habrimi tur for di otro; El a lagami sin yudansa."
3,12,"El a span Su bog i a ponemi komo mekpùnt pa Su flecha."
3,13,"El a hasi e flechanan for di Su muchila penetrá mi partinan paden."
3,14,"Mi a bira un kos di hari pa henter mi pueblo, nan kantika di bofon henter dia."
3,15,"El a yenami ku amargura, El a hasimi burachi ku apsintus."
3,16,"I El a kibra mi djentenan ku greis; El a hasimi lastra den stòf."
3,17,"I Abo a hala mi alma kit'é leu for di pas; mi a lubidá kiko ta felisidat."
3,18,"Pesei mi ta bisa: \"Mi forsa a peresé, i tambe mi speransa for di SEÑOR.\""
3,19,"Kòrda mi aflikshon i mi dwalmentu, e apsintus i amargura."
3,20,"Siguramente mi alma ta kòrda riba nan i ta keda abatí den mi."
3,21,"Riba esaki mi ta pensa, pesei mi tin speransa."
3,22,"Di bèrdat, e miserikòrdia di SEÑOR no ta kaba nunka, pasobra Su kompashon nunka no ta faya."
3,23,"Tur mainta nan ta nobo; grandi ta Bo fieldat."
3,24,"Mi alma ta bisa: \"SEÑOR ta mi porshon, pesei ta den djE mi ta spera.\""
3,25,"SEÑOR ta bon pa esnan ku ta warda riba djE, pa e alma ku ta busk'E."
3,26,"Ta bon pa warda den silensio riba e salbashon di SEÑOR."
3,27,"Ta bon pa un hòmber karga yugo den su hubentut."
3,28,"Lagu'é sinta su so i keda ketu, pasobra El a pone esei riba djé."
3,29,"Lagu'é pone su boka den stòf, kisas tin speransa."
3,30,"Lagu'é duna su band'i kara na esun ku ta dal é; lagu'é wòrdu yená ku reproche."
3,31,"Pasobra Señor lo no rechasá pa semper."
3,32,"Maske E kousa tristesa, tòg E lo tin kompashon segun Su miserikòrdia abundante."
3,33,"Pasobra E no ta afligí boluntariamente, ni ta hasi yunan di hende bira tristu."
3,34,"E asunto di trapa tur prezo di e tera bou di Su pia,"
3,35,"di nenga hustisia na un hòmber den presensia di e Haltísimo,"
3,36,"di gaña un hende den su kaso di lei-- kosnan asina Señor no ta aprobá."
3,37,"Ken ta esun ku ta papia, i esaki ta sosodé, si no ta Señor a ordená esaki?"
3,38,"No ta for di boka di e Haltísimo tantu bon komo malu ta sali?"
