chapter,verse,"text"
1,1,"E ora ei SEÑOR a yama Moisés i a papia kuné for di e tènt di reunion, bisando:"
1,2,"\"Papia ku e yunan di Israel i bisa nan: 'Ora ku un di boso hiba un ofrenda pa SEÑOR, boso mester hiba boso ofrenda di bestia for di e kria di baka òf for di e kria di bestia chikitu."
1,3,"'Si su ofrenda ta un ofrenda kimá for di e kria di baka, e mester ofresé un bestia machu sin defekto; e mester ofresé esaki na entrada di e tènt di reunion, pa e wòrdu aseptá dilanti di SEÑOR."
1,4,"I e mester pone su man riba kabes di e ofrenda kimá, pa esaki wòrdu aseptá p'é, pa hasi ekspiashon p'é."
1,5,"I e mester mata e bishé machu dilanti di SEÑOR, i Aaron su yu hòmbernan, e saserdotenan, mester ofresé e sanger i sprèngu e sanger tur rònt riba e altar ku tin na entrada di e tènt di reunion."
1,6,"E ora ei e mester soya e ofrenda kimá i kòrt'é na su diferente pidanan."
1,7,"I e yu hòmbernan di saserdote Aaron mester pone kandela riba e altar i prepará palu riba e kandela."
1,8,"E ora ei Aaron su yu hòmbernan, e saserdotenan, mester prepará e diferente pidanan, e kabes i e sebu, riba e palu ku tin riba e kandela ku ta riba e altar."
1,9,"Ma su shirishiri i su patanan e mester laba ku awa. I e saserdote mester kima tur riba e altar komo un ofrenda kimá, un ofrenda di kandela di un holó dushi na SEÑOR."
1,10,"'Ma si su ofrenda ta for di e kria di bestia chikitu, di karné òf di kabritu, komo un ofrenda kimá, e mester ofresé un bestia machu sin defekto."
1,11,"I e mester mat'é banda di e altar parti panòrt dilanti di SEÑOR, i Aaron su yu hòmbernan, e saserdotenan, mester sprèngu su sanger tur rònt riba e altar."
1,12,"E ora ei e mester kòrt'é na su diferente pidanan, huntu ku su kabes i su sebu, i e saserdote mester prepará nan riba e palu ku tin riba e kandela ku ta riba e altar."
1,13,"Ma e shirishiri i e patanan e mester laba ku awa. I e saserdote mester ofresé tur i kima esaki riba e altar; esaki ta un ofrenda kimá, un ofrenda di kandela di un holó dushi na SEÑOR."
1,14,"'Ma si su ofrenda na SEÑOR ta un ofrenda kimá di parha, e ora ei e mester trese su ofrenda di tòrteldùif òf di pichon."
1,15,"I e saserdote mester hib'é na e altar i trose su kabes kit'afó, i kim'é riba e altar; i su sanger mester wòrdu bashá afó kontra e banda di e altar."
1,16,"Tambe e mester kita su buchi ku su plumanan, i tira esaki banda di e altar, parti pariba, na e lugá pa shinishi."
1,17,"E ora ei e mester ten'é na su halanan sker é, sin kit'é kompletamente for di otro. I e saserdote mester kim'é riba e altar riba e palu ku tin riba e kandela; ta un ofrenda kimá, un ofrenda di kandela di holó dushi na SEÑOR."
2,1,"'Awor ora ku un hende presentá un ofrenda di mainshi komo un ofrenda na SEÑOR, su ofrenda mester ta di hariña fini, i e mester basha zeta riba djé i pone sensia riba djé."
2,2,"E ora ei e mester hib'é pa Aaron su yu hòmbernan, e saserdotenan, i kohe for di e ofrenda un man yen di hariña fini i di zeta, huntu ku tur e sensia di e ofrenda. I e saserdote mester kima esaki riba e altar komo su porshon di konmemorashon, un ofrenda di kandela di un holó dushi na SEÑOR."
2,3,"I sobrá di e ofrenda di mainshi ta pa Aaron ku su yu hòmbernan: un kos masha santu mes di e ofrendanan di kandela na SEÑOR."
2,4,"'Awor ora bo trese un ofrenda di un ofrenda di mainshi hòrná den fòrnu, esaki mester ta pan buskuchi sin zürdeg di hariña fini mesklá ku zeta, òf oblea sin zürdeg huntá ku zeta."
2,5,"I si bo ofrenda ta un ofrenda di mainshi trahá riba kasuela, e mester ta di hariña fini sin zürdeg, mesklá ku zeta;"
2,6,"bo mester kibr'é na pida-pida, i basha zeta riba djé; ta un ofrenda di mainshi."
2,7,"I si bo ofrenda ta un ofrenda di mainshi trahá den panchi, e mester wòrdu trahá di hariña fini ku zeta."
2,8,"Ora bo hiba e ofrenda di mainshi, ku ta trahá di e kosnan aki, pa SEÑOR, e mester wòrdu presentá na e saserdote i e mester hib'é na e altar."
2,9,"E ora ei e saserdote mester kohe for di e ofrenda di mainshi e porshon di konmemorashon, i kima esaki riba e altar komo un ofrenda di kandela di un holó dushi na SEÑOR."
