chapter,verse,"text"
1,1,"Ya ku hopi hende a trata di kompilá un relato di e kosnan ku a sosodé meimei di nos,"
1,2,"meskos ku esnan ku for di prinsipio tabata testigu ku nan mes wowo i ku tabata sirbidónan di e palabra a entregá nan na nos,"
1,3,"a parsemi bon tambe despues di a investigá tur kos kuidadosamente for di prinsipio, pa skirbi esaki pa bo den un forma ordená, O ekselentísimo Teófilo,"
1,4,"pa bo por sa e bèrdat eksakto tokante di e kosnan ku bo a wòrdu siñá."
1,5,"Den e dianan di Herodes, rei di Judea, tabatin un sierto saserdote ku yama Zakarias, di e divishon di Abias; i e tabatin un esposa for di e yu muhénan di Aaron, i su nòmber tabata Elisabèt."
1,6,"I nan tur dos tabata hustu den bista di Dios i tabata kana ireprochabel den tur e mandamentunan i ordenansanan di Señor."
1,7,"I nan no tabatin yu, pasobra Elisabèt tabata steril, i nan tur dos tabata di edat hopi avansá."
1,8,"Awor a sosodé ku mientras Zakarias tabata ehersé su sirbishi saserdotal dilanti di Dios segun e òrdu di su divishon,"
1,9,"konforme e kustumber di e sirbishi saserdotal, el a wòrdu skohí dor di tira lòt pa bai den e tèmpel di Señor i kima sensia."
1,10,"I henter e multitut di pueblo tabata hasi orashon pafó na e ora di ofresé sensia."
1,11,"I un angel di Señor a paresé na djé, pará na banda drechi di e altar di sensia."
1,12,"I Zakarias a turdi ora ku el a mir'é, i miedu a drent'é."
1,13,"Ma e angel a bis'é: \"No tene miedu, Zakarias, pasobra bo petishon a wòrdu tendí, i bo esposa Elisabèt lo haña un yu hòmber pa bo, i lo bo dun'é e nòmber Juan."
1,14,"I lo bo tin goso i alegria, i hopi lo regosihá pa motibu di su nasementu."
1,15,"Pasobra e lo ta grandi den bista di Señor, i e lo no bebe biña ni bibida stèrki; i e lo wòrdu yená ku Spiritu Santu for di den barika di su mama."
1,16,"I e lo hasi hopi di e yunan di Israel bolbe serka Señor nan Dios."
1,17,"I ta e ta esun ku lo bai dilanti di djE den e spiritu i poder di Elias, pa restorá kurason di e tatanan na e yunan, i e desobedesidonan na e aktitut di e hustunan, pa asina forma un pueblo bon prepará pa Señor.\""
1,18,"I Zakarias a bisa e angel: \"Kon mi por ta sigur di esaki? Pasobra mi ta un hòmber bieu i mi esposa ta di edat avansá.\""
1,19,"I e angel a kontestá i a bis'é: \"Ami ta Gabriel, kende ta para den e presensia di Dios; i mi a wòrdu mandá pa papia ku bo, i pa trese e bon nobo aki pa bo."
1,20,"I mira, lo bo keda mudo i sin por papia te dia ku e kosnan aki tuma lugá, pasobra bo no a kere mi palabranan ku lo wòrdu kumplí na nan debido tempu.\""
1,21,"I e pueblo tabata warda riba Zakarias, i a haña straño ku el a tarda asina tantu den tèmpel."
1,22,"Ma ora ku el a sali e no tabata por a papia ku nan; i nan a realisá nan mes ku el a mira un vishon den tèmpel; i el a keda hasi seña ku nan i a keda mudo."
1,23,"I a sosodé ku ora e dianan di su sirbishi saserdotal a keda kumplí, el a bai kas bèk."
1,24,"I despues di e dianan aki su esposa Elisabèt a sali na estado; i sinku luna largu el a tene su mes skondí, bisando:"
1,25,"\"Esaki ta e manera ku Señor a trata ku mi den e dianan ku El a mustra Su grasia na mi, pa kita mi reproche for di meimei di hende.\""
1,26,"Awor den e di seis luna angel Gabriel a wòrdu mandá pa Dios na un stat den Galilea ku yama Nazarèt,"
1,27,"serka un birgen ku tabata komprometí ku un hòmber ku yama Jose, di e desendientenan di David; i nòmber di e birgen tabata Maria."
1,28,"I ora ku e angel a drenta bai serka djé, el a bis'é: \"Saludo, abo ku ta altamente faboresí! Señor ta ku bo.\""
1,29,"Ma Maria a keda mashá turdí ora ku el a tende e palabranan aki, i a keda pensa kiko e saludo ei por ta nifiká."
1,30,"I e angel a bis'é: \"No tene miedu, Maria, pasobra bo a haña grasia serka Dios."
1,31,"I mira, lo bo konsebí den bo matris i duna lus na un yu hòmber, i lo bo yam'E Jesus."
1,32,"E lo ta grandi i lo wòrdu yamá Yu di e Haltísimo; i Señor Dios lo dun'E e trono di Su tata David;"
1,33,"i E lo reina riba e kas di Jakòb pa semper, i Su reino lo no tin fin.\""
1,34,"I Maria a bisa e angel: \"Kon esaki por ta, siendo ku mi ta un birgen?\""
1,35,"I e angel a kontestá i a bis'é: \"Spiritu Santu lo bin riba bo, i e poder di e Haltísimo lo sombrabo; i pa e motibu ei Esun Santu ku tin ku nase lo wòrdu yamá e Yu di Dios."
