chapter,verse,"text"
1,1,"E prinsipio di e evangelio di Jesu-Cristo, e Yu di Dios."
1,2,"Manera ta pará skirbí den profeta Isaias: \"Mira, Mi ta manda Mi mensahero dilanti di Bo kara, kende lo prepará Bo kaminda;\""
1,3,"\"bos di un ku ta sklama den desierto: 'Prepará e kaminda di SEÑOR, hasi Su berehanan stret.'\""
1,4,"Juan Boutista a paresé den desierto, predikando un boutismo di repentimentu pa pordon di piká."
1,5,"I henter tera di Judea tabata sali bai serka djé, i henter pueblo di Jerusalèm; i nan tabata wòrdu batisá dor di djé den Riu Jordan, konfesando nan pikánan."
1,6,"I Juan tabata bistí ku un paña trahá di lana di kamel i tabatin un faha di kueru na su sintura, i e tabata kome tirakochi i miel di mondi."
1,7,"I e tabata prediká, bisando: \"Despues di mi ta bin Un ku ta mas poderoso ku mi, i ami no ta digno pa bùk i lòs e strèp di Su sandalia."
1,8,"Ami a batisá boso ku awa, ma E lo batisá boso ku Spiritu Santu.\""
1,9,"I a sosodé den e dianan ei ku Jesus a bin for di Nazarèt di Galilea, i a wòrdu batisá dor di Juan den Jordan."
1,10,"I mesora ku El a sali for di awa, El a mira e shelunan ta habri, i e Spiritu ta baha manera un palomba riba djE."
1,11,"I a sali un bos for di shelu: \"Abo ta Mi Yu stimá, den Bo Mi tin goso.\""
1,12,"I mesora e Spiritu a mand'E den desierto."
1,13,"I El a keda kuarenta dia den desierto i a wòrdu tentá dor di Satanás; i E tabata huntu ku e bestianan di mondi, i e angelnan tabata sirbiE."
1,14,"I despues ku Juan a wòrdu kohí prezo, Jesus a bin Galilea, proklamando e evangelio di Dios,"
1,15,"i bisando: \"E tempu ta kumplí, i e reino di Dios ta serka. Repentí i kere e evangelio.\""
1,16,"I ora ku E tabata kana kantu di Laman di Galilea, El a mira Simon i Andres, ruman hòmber di Simon, ta tira reda den laman; pasobra nan tabata piskadó."
1,17,"I Jesus a bisa nan: \"SiguiMi, i lo Mi hasi boso bira piskadó di hende.\""
1,18,"I mesora nan a laga e redanan para i a siguiE."
1,19,"I ora ku El a kana bai un poko mas leu, El a mira Santiago, yu hòmber di Zebedeo, i su ruman hòmber Juan, kendenan tambe tabata den boto ta drecha nan redanan."
1,20,"I mesora El a yama nan; i nan a laga nan tata Zebedeo den e boto ku e sirbidónan kontratá, i a siguiE."
1,21,"I nan a yega na Kapernaum; i mesora riba dia di Sabat El a bai den snoa i a kuminsá siña e hendenan."
1,22,"I nan a keda asombrá di Su siñansa, pasobra E tabata siña nan manera un hende ku tin outoridat i no manera e eskribanan."
1,23,"I nèt na e ora ei tabatin den nan snoa un hòmber ku un spiritu impuru, i el a dal un gritu,"
1,24,"bisando: \"Kiko nos tin di hasi ku Bo, Jesus di Nazarèt? Bo a bin pa destruí nos? Mi sa ken Bo ta: Esun Santu di Dios!\""
1,25,"I Jesus a reprend'é, bisando: \"Keda ketu, i sali for di djé!\""
1,26,"I e spiritu impuru a bent'é abou i a lagu'é ta trèk di steipi, i ku gritu duru el a sali for di djé."
1,27,"I nan tur a keda strañá i nan tabata diskutí nan ku nan, bisando: \"Kiko esaki ta? Un siñansa nobo ku outoridat! Asta e spiritunan impuru E ta ordená, i nan ta obedes'E.\""
1,28,"I mesora e notisia tokante di djE a plama tur kaminda den henter e distrikto rònt di Galilea."
1,29,"I mesora despues ku nan a sali for di snoa, nan a bai den e kas di Simon i Andres, huntu ku Santiago i Juan."
1,30,"Awor e suegra di Simon tabata drumí malu ku keintura; i mesora nan a papia kunE tokante di djé."
1,31,"I El a bin serka djé, a koh'é na su man i a lant'é, i e keintura a lagu'é i el a kuminsá sirbi nan."
