chapter,verse,"text"
1,1,"E palabra di SEÑOR, ku a yega na Mikeas di Moreset den e dianan di Jotam, Akaz i Ezekias, reinan di Juda, ku el a mira tokante di Samaria i Jerusalèm."
1,2,"Tende, O pueblonan, boso tur; skucha, O tera i tur loke ku e ta kontené, i laga Señor DIOS ta testigu kontra boso, Señor for di Su tèmpel santu."
1,3,"Pasobra mira, SEÑOR ta sali for di Su lugá. E lo baha bin i trapa riba e lugánan haltu di tera."
1,4,"E serunan lo dirti bou di djE, i e vayenan lo wòrdu gespleit, manera was dilanti di kandela, manera awa bashá for di un lugá steil."
1,5,"Tur esaki ta pa motibu di e rebeldia di Jakòb i pa motibu di e pikánan di e kas di Israel. Kiko ta e rebeldia di Jakòb? No ta Samaria? Kiko ta e lugá haltu di Juda? No ta Jerusalèm?"
1,6,"Pasobra lo Mi hasi Samaria un monton di ruina den kunuku habrí, lugánan pa planta kunuku di wendrùif. Lo Mi basha su piedranan abou den e vaye i hasi su fundeshinan keda bisto."
1,7,"Tur su ídolonan lo wòrdu kibrá na pida-pida, tur su ganashi lo wòrdu kimá ku kandela, i tur su imagennan lo Mi hasi bira desolá. Pasobra el a kolektá nan dor di ganashi di prostitushon, i na ganashi di prostitushon nan lo bolbe."
1,8,"Pa motibu di esaki mi mester lamentá i yora, mi mester kana pia abou i sunú; mi mester lamentá manera chakál i grita yora manera abestrus."
1,9,"Pasobra su herida ta inkurabel, pasobra esaki a yega na Juda; el a yega na porta di mi pueblo, te na Jerusalèm."
1,10,"No konta esaki na Gad, no yora mes. Lora bo mes den stòf na Bèt-le-afra."
1,11,"Sigui bo kaminda, habitante di Safir, den desnudes bèrgonsoso. E habitante di Zaanan no ta skapa. E lamentashon di Bèt-esel: \"E lo kita su sosten for di bo.\""
1,12,"Pasobra e habitante di Marot ta bira debil, sperando alivio, pasobra kalamidat a baha bin for di SEÑOR na e porta di Jerusalèm."
1,13,"Gancha e kabainan na e garoshi, O habitante di Lakis-- e tabata e kuminsamentu di piká pa e yu muhé di Sion-- pasobra den boso a wòrdu hañá e echonan di rebeldia di Israel."
1,14,"Pesei boso lo duna regalo di despedida na Moreset-gat; e kasnan di Akzib lo bira un engaño pa e reinan di Israel."
1,15,"Ademas, lo Mi trese e konkistadó kontra bo, O habitante di Maresa. E gloria di Israel lo drenta Adulam."
1,16,"Hasi bo mes pelon, i kòrta bo kabei kita tur afó, pa motibu di e yunan den kendenan bo tin delisia; pela bo kabes mes pelon ku águila, pasobra nan lo bai for di bo den eksilio."
2,1,"Ai di esnan ku ta plania inikidat, ku ta pensa maldat riba nan kama! Ora bira mainta nan ta ehekutá esaki, pasobra ta den poder di nan man pa hasi esaki."
2,2,"Nan ta kudishá kunukunan i despues ta gara nan, i kasnan, i ta kohe nan. Nan ta hòrta un hòmber i su kas, un hòmber i su erensia."
2,3,"Pesei, asina SEÑOR ta bisa: \"Mira, Mi ta plania un kalamidat kontra e famia aki, for di kual boso no por saka boso nèk; i boso lo no kana ku pechu haltu, pasobra esaki lo ta un tempu malu."
2,4,"Riba e dia ei nan lo traha un proverbio kontra boso i lamentá ku un lamentashon amargo i bisa: 'Nos ta kompletamente destruí! E ta kambia e erensia di mi pueblo; mira kon E ta kit'é for di mi! Entre e traidónan E ta parti nos kunukunan.'"
2,5,"\"Pesei boso lo no tin ningun hende pa span un liña-di-midi pa boso pa medio di lòt den e asamblea di SEÑOR."
2,6,"'No profetisá,' asina nan ta bisa esnan ku ta profetisá. Ma si nan no profetisá tokante di e kosnan aki, bèrguensa lo no kaba nunka."
2,7,"No ta wòrdu bisá, O kas di Jakòb: 'E Spiritu di SEÑOR ta sin pasenshi? Esakinan ta kosnan ku E ta hasi?' \"Mi palabranan no ta hasi bon na esun ku ta kana rekto?"
2,8,"Ultimamente Mi pueblo a lanta manera un enemigu; Boso ta ranka kita e mantel luhoso for di esnan ku ta kana pasa ku tur konfiansa, for di esnan ku a bolbe for di bataya."
2,9,"Boso ta saka e muhénan di Mi pueblo, kada un for di su kas ku e ta stima; for di su yunan boso ta kita Mi splendor pa semper."
2,10,"Lanta i bai, pasobra esaki no ta lugá di sosiegu pa motibu di e impuresa ku ta trese destrukshon, un destrukshon doloroso."
2,11,"Si un hòmber ku ta kana tras di bientu i engaño a papia mentira i a bisa: 'Lo mi papia ku boso di biña i di bibida stèrki,' e lo tabata profeta pa e pueblo aki."
2,12,"\"Siguramente lo Mi reuní tur di boso, O Jakòb, siguramente lo Mi rekohé e restante di Israel. Lo Mi trese nan huntu manera karné den kurá; manera un tou meimei di su lugá di yerba bèrdè. E lugá lo ta yen di boroto pa motibu di tantu hende."
