chapter,verse,"text"
1,1,"E profesia di Nínive. E buki di e vishon di Nahum di Elkos."
1,2,"SEÑOR ta un Dios yalurs, i E ta tuma vengansa; SEÑOR ta tuma vengansa i ta yen di furia. SEÑOR ta tuma vengansa riba Su atversarionan, i E ta mantené furia kontra Su enemigunan."
1,3,"SEÑOR no ta rabia lihé i ta grandi den poder, i SEÑOR di ningun manera lo no laga e kulpabel sin kastigu. SEÑOR tin Su kaminda den warwarú i tempestat, i nubianan ta e stòf bou di Su pianan."
1,4,"E ta reprendé laman i ta hasié seku; E ta hasi tur e riunan bira seku. Basan i Karmelo ta marchitá; e flornan di Líbano ta marchitá."
1,5,"Serunan ta tembla pa Su motibu, i e seritunan ta dirti; di bèrdat, tera ta bòlter den Su presensia, mundu i tur e habitantenan den djé."
1,6,"Ken por para dilanti di Su indignashon? Ken por soportá e ardor di Su rabia? Su furia ta wòrdu bashá manera kandela, i e barankanan ta wòrdu kibrá na pida-pida Su dilanti."
1,7,"SEÑOR ta bon, un lugá fortifiká den e dia di angustia, i E konosé esnan ku ta tuma refugio den djE."
1,8,"Ma ku un diluvio grandi E lo kaba ku su lugá kompletamente, i lo pèrsiguí Su enemigunan te den skuridat."
1,9,"Kiko ku bo plania kontra SEÑOR, E lo kaba kuné kompletamente. Angustia lo no lanta dos biaha."
1,10,"Manera sumpiña tur bruhá den otro, i manera esnan ku ta burachi di nan bibida, nan lo wòrdu devorá manera palu seku di mainshi."
1,11,"For di bo a sali un ku a plania maldat kontra SEÑOR, un konsehero malbado."
1,12,"Asina SEÑOR ta bisa: \"Maske nan ta yen di forsa i asina hopi, tòg nan lo wòrdu kòrtá kitá afó i lo disparsé. Maske Mi a afligíbo, lo Mi no afligíbo mas."
1,13,"Pesei awor, lo Mi kibra e bara di su yugo for di riba bo, i lo Mi kibra bo kadenanan.\""
1,14,"SEÑOR a duna un mandamentu tokante di bo: \"Bo nòmber lo no keda pa semper mas. Lo Mi kòrta kita ídolo i imagen for di kas di bo diosnan. Lo Mi prepará bo graf, pasobra bo ta abominabel.\""
1,15,"Ata, riba e serunan e pianan di esun ku ta trese bon nobo, ku ta anunsiá pas! Selebrá bo fiestanan, O Juda; kumpli ku bo promesanan. Pasobra nunka mas e malbado lo pasa dor di bo; el a keda kompletamente kòrtá kitá afó."
2,1,"Esun ku ta plama a bin kontra bo. Defendé e fòrti, vigilá e kaminda; faha bo lomba, hasi tur bo esfuerso."
2,2,"Pasobra SEÑOR lo restorá e splendor di Jakòb manera e splendor di Israel, maske ku sakeadónan a plùnder nan i a destruí nan ramanan di wendrùif."
2,3,"E eskudonan di su hòmbernan poderoso ta koló kòrá, e guereronan ta bistí na skarlata, e garoshinan ta bin ku flambeu tur na flam ora ku e ta prepará pa marcha, i nan ta zwai ku e lansanan di palu di siprès."
2,4,"E garoshinan ta kore manera loko den e kayanan, nan ta basha-bin na kareda riba e plenchinan; nan aparensia ta meskos ku flambeu, nan ta kore bai-bin manera rayo di lamper."
2,5,"E ta rekòrdá su nobelnan; nan ta trompeká segun nan ta marcha; nan ta pura bai na su muraya, i e defensa ta wòrdu prepará."
2,6,"E portanan di e riunan ta wòrdu habrí, i e palasio ta kai den otro."
2,7,"A wòrdu dekretá ku e lo keda bashí, ku e lo wòrdu hibá den eksilio, i ku su sirbientenan lo keha manera palomba, i bati riba nan pechu."
2,8,"Maske Nínive tabata manera un tanki di awa den tur su dianan, awor nan ta hui bai. \"Para! Para!\" nan ta grita; ma ningun hende no ta bolbe."
2,9,"Hòrta e plata! Hòrta e oro! Pasobra no tin límite na e tesoro-- rikesa di tur sorto di kos ku hende por deseá."
2,10,"El a keda bashí! Sí, e ta desolá i ruiná! Kurason ta dirti i rudia ta tembla! Tambe tin angustia den henter e kurpa, i e karanan di nan tur a bira blek!"
2,11,"Unda e kueba di e leonnan ta, i e lugá di kome di e leonnan chikitu, kaminda e leon, e leon muhé, i e yu di leon tabata slùip, sin nada pa stroba nan?"
2,12,"E leon a habraká sufisiente pa su yunan, a mata sufisiente pa su leonnan muhé, i a yena su lugánan di drumi ku proi, i su kuebanan ku karni habraká."
2,13,"\"Mira, Mi ta kontra bo,\" e SEÑOR di ehérsitonan ta deklará. \"Lo Mi kima su garoshinan hasi nan bira huma. Un spada lo devorá bo leonnan yòn. Lo Mi kòrta kita bo proi for di e tera, i bos di bo mensaheronan lo no wòrdu tendí mas.\""
3,1,"Ai di e stat tur na sanger, yen-yen di mentira i kosnan hòrtá; nunka e ta falta proi."
3,2,"E zonidu di zwip, e zonidu di batimentu di wil, kabainan ku ta galopiá, i garoshinan ku ta bula riba kaminda!"
3,3,"Koredónan di kabai ta ataká, spadanan ta lombra, lansanan ta briya, hopi morto, un monton di kadaver, i kurpanan morto na kantidat-- nan ta trompeká riba e kurpanan morto!"
3,4,"Tur pa motibu di e tantu prostitushonnan di e prostituta, esun atraktivo, e maestra di bruheria, ku ta bende nashonnan pa medio di su prostitushonnan, i famianan pa medio di su bruheria."
3,5,"\"Mira, Mi ta kontra bo,\" e SEÑOR di ehérsitonan ta deklará; \"I lo Mi hisa bo sayanan tapa bo kara kuné, i mustra e nashonnan bo sunú, i e reinonan bo bèrguensa."
3,6,"Lo Mi tira sushedat riba bo i hasibo fis, i tenebo di spetakel."
