chapter,verse,"text"
1,1,"E ora ei SEÑOR a papia ku Moisés den e desierto di Sinaí, den e tènt di reunion, riba e promé dia di e di dos luna, den e di dos aña despues ku nan a sali for di tera di Egipto, bisando:"
1,2,"\"Tuma un senso di henter e kongregashon di e yunan di Israel, segun nan famianan, segun e hendenan di e kasnan di nan tatanan, segun e kantidat di nòmber, tur hòmber, un pa un,"
1,3,"for di binti aña p'ariba, tur ku por sali pa bai guera den Israel, abo ku Aaron mester konta nan segun nan ehérsitonan."
1,4,"I huntu ku boso mester tin un hòmber di kada tribu, kada un kabes di e hendenan di kas di su tata."
1,5,"\"Anto esakinan ta e nòmbernan di e hòmbernan ku mester para huntu ku boso: di Ruben, Elisur, yu hòmber di Sedeur;"
1,6,"di Simeon, Selumiel, yu hòmber di Zurisadai;"
1,7,"di Juda, Nason, yu hòmber di Aminadab;"
1,8,"di Isakar, Natanael, yu hòmber di Zuar;"
1,9,"di Zabulon, Eliab, yu hòmber di Helon;"
1,10,"di e yu hòmbernan di Jose: 3 di Efrain, Elisama, yu hòmber di Amiud; 3 di Manasés, Gamaliel, yu hòmber di Pedasur;"
1,11,"di Benjamin, Abidan, yu hòmber di Gideoni;"
1,12,"di Dan, Ahiezer, yu hòmber di Amisadai;"
1,13,"di Aser, Pagiel, yu hòmber di Okran;"
1,14,"di Gad, Eliasaf, yu hòmber di Deuel;"
1,15,"di Nèftalí, Ahira, yu hòmber di Enan."
1,16,"\"Esakinan ta esnan ku a wòrdu yamá for di e kongregashon, lidernan di e tribunan di nan tatanan; nan tabata kabesante di e milnan di Israel.\""
1,17,"Asina Moisés i Aaron a tuma e hòmbernan aki ku a keda nombrá,"
1,18,"i nan a reuní henter e kongregashon riba e promé dia di e di dos luna. E ora ei nan a registrá nan segun e antepasadonan di nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber for di binti aña p'ariba, un pa un,"
1,19,"meskos ku SEÑOR a ordená Moisés. Asina el a konta nan den e desierto di Sinaí."
1,20,"Awor e yu hòmbernan di Ruben, Israel su primogénito, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, un pa un, tur hende hòmber for di binti aña p'ariba, tur ku por a sali bai guera,"
1,21,"nan hòmbernan kontá di e tribu di Ruben tabata 46.500."
1,22,"Di e yu hòmbernan di Simeon, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, nan hòmbernan kontá, konforme e kantidat di nòmber, un pa un, tur hende hòmber for di binti aña p'ariba, tur ku por a sali bai guera,"
1,23,"nan hòmbernan kontá di e tribu di Simeon tabata 59.300."
1,24,"Di e yu hòmbernan di Gad, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,25,"nan hòmbernan kontá di e tribu di Gad tabata 45.650."
1,26,"Di e yu hòmbernan di Juda, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,27,"nan hòmbernan kontá di e tribu di Juda tabata 74.600."
1,28,"Di e yu hòmbernan di Isakar, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,29,"nan hòmbernan kontá di e tribu di Isakar tabata 54.400."
1,30,"Di e yu hòmbernan di Zabulon, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,31,"nan hòmbernan kontá di e tribu di Zabulon tabata 57.400."
1,32,"Di e yu hòmbernan di Jose, di e yu hòmbernan di Efrain, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,33,"nan hòmbernan kontá di e tribu di Efrain tabata 40.500."
1,34,"Di e yu hòmbernan di Manasés, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,35,"nan hòmbernan kontá di e tribu di Manasés tabata 32.200."
1,36,"Di e yu hòmbernan di Benjamin, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,37,"nan hòmbernan kontá di e tribu di Benjamin tabata 35.400."
1,38,"Di e yu hòmbernan di Dan, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,39,"nan hòmbernan kontá di e tribu di Dan tabata 62.700."
1,40,"Di e yu hòmbernan di Aser, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,41,"nan hòmbernan kontá di e tribu di Aser tabata 41.500."
1,42,"Di e yu hòmbernan di Nèftalí, nan registrashon genealógiko segun nan famianan, segun e hendenan di e kasnan di nan tatanan, konforme e kantidat di nòmber, for di binti aña p'ariba, tur ku por a sali bai guera,"
1,43,"nan hòmbernan kontá di e tribu di Nèftalí tabata 53.400."
1,44,"Esakinan ta esnan ku a wòrdu kontá, ku Moisés i Aaron a konta, huntu ku e lidernan di Israel, diesdos hòmber, kada un tabata representá e hendenan di kas di su tata."
1,45,"Asina tur e hòmbernan kontá di e yunan di Israel segun e hendenan di e kasnan di nan tatanan, for di binti aña p'ariba, tur ku por a sali bai guera den Israel,"
1,46,"tur e hòmbernan kontá tabata 603.550."
1,47,"Sinembargo, e levitanan no a wòrdu kontá entre nan segun e tribu di nan tatanan."
1,48,"Pasobra SEÑOR a papia ku Moisés, bisando:"
1,49,"\"Solamente, no konta e tribu di Leví, ni tuma senso di nan entre e yunan di Israel."
1,50,"Ma bo mester nombra e levitanan ofer di e tabernakel di testimonio, i ofer di tur su artíkulonan-di-uzo i ofer di tur loke ta pertenesé na djé. Ta nan mester karga e tabernakel i tur su artíkulonan-di-uzo, i ta nan mester pèrkurá p'é; tambe nan mester kampa rònt di e tabernakel."
1,51,"Asina ku ora e tabernakel mester sali bai, ta e levitanan mester desarm'é; i ora ku e tabernakel mester wòrdu lantá, ta e levitanan mester arm'é. Ma e stranhero ku yega serka mester wòrdu matá."
1,52,"I e yunan di Israel mester kampa, kada hòmber den su mes kampamentu, i kada hòmber bou di su mes bandera, segun nan ehérsitonan."
1,53,"Ma e levitanan mester kampa rònt di e tabernakel di testimonio, pa no tin furia riba e kongregashon di e yunan di Israel. Asina e levitanan mester keda enkargá ku e tabernakel di testimonio.\""
1,54,"Asina e yunan di Israel a hasi; konforme tur loke SEÑOR a ordená Moisés, asina nan a hasi."
2,1,"Awor SEÑOR a papia ku Moisés i Aaron, bisando:"
2,2,"\"E yunan di Israel mester kampa, kada un bou di su mes emblema, ku e banderanan di e hendenan di e kasnan di nan tatanan; nan mester kampa rònt di e tènt di reunion, na un distansia."
2,3,"\"Awor esnan ku ta kampa na e banda pariba, den direkshon di kaminda solo ta sali, mester ta bou di bandera di e kampamentu di Juda, segun nan ehérsitonan, i e lider di e yu hòmbernan di Juda: Nason, yu hòmber di Aminadab,"
2,4,"i su ehérsito, nan hòmbernan kontá, 74.600."
2,5,"I esnan ku ta kampa banda di djé mester ta e tribu di Isakar, i e lider di e yu hòmbernan di Isakar: Natanael, yu hòmber di Zuar,"
2,6,"i su ehérsito, nan hòmbernan kontá, 54.400."
2,7,"Despues ta sigui e tribu di Zabulon, i e lider di e yu hòmbernan di Zabulon: Eliab, yu hòmber di Helon,"
2,8,"i su ehérsito, su hòmbernan kontá, 57.400."
2,9,"E total di e hòmbernan kontá di e kampamentu di Juda: 186.400, segun nan ehérsitonan. Nan mester sali bai promé."
2,10,"\"Na e banda pasùit e emblema di e kampamentu di Ruben mester ta, segun nan ehérsitonan, i e lider di e yu hòmbernan di Ruben: Elisur, yu hòmber di Sedeur,"
2,11,"i su ehérsito, nan hòmbernan kontá, 46.500."
2,12,"I esnan ku ta kampa banda di djé mester ta e tribu di Simeon, i e lider di e yu hòmbernan di Simeon: Selumiel, yu hòmber di Zurisadai,"
2,13,"i su ehérsito, nan hòmbernan kontá, 59.300."
2,14,"Despues ta sigui e tribu di Gad, i e lider di e yu hòmbernan di Gad: Eliasaf, yu hòmber di Deuel,"
2,15,"i su ehérsito, nan hòmbernan kontá, 45.650."
2,16,"E total di e hòmbernan kontá di e kampamentu di Ruben: 151.450, segun nan ehérsitonan. I nan mester sali bai na di dos lugá."
2,17,"\"E ora ei e tènt di reunion mester sali bai huntu ku e kampamentu di e levitanan meimei di e kampamentunan; meskos ku nan ta kampa, asina nan mester sali bai, kada hòmber na su lugá, bou di nan emblemanan."
2,18,"\"Na e banda pabou e emblema di e kampamentu di Efrain mester ta, segun nan ehérsitonan, i e lider di e yu hòmbernan di Efrain lo ta Elisama, yu hòmber di Amiud,"
2,19,"i su ehérsito, nan hòmbernan kontá, 40.500."
2,20,"I banda di djé e tribu di Manasés lo ta, i e lider di e yu hòmbernan di Manasés: Gamaliel, yu hòmber di Pedasur,"
2,21,"i su ehérsito, nan hòmbernan kontá, 32.200."
2,22,"Despues ta sigui e tribu di Benjamin i e lider di e yu hòmbernan di Benjamin: Abidan, yu hòmber di Gideoni,"
2,23,"i su ehérsito, nan hòmbernan kontá, 35.400."
2,24,"E total di e hòmbernan kontá di e kampamentu di Efrain: 108.100, segun nan ehérsitonan. I nan mester sali bai na di tres lugá."
2,25,"\"Na e banda panòrt e emblema di e kampamentu di Dan mester ta, segun nan ehérsitonan, i e lider di e yu hòmbernan di Dan: Ahiezer, yu hòmber di Amisadai,"
2,26,"i su ehérsito, nan hòmbernan kontá, 62.700."
2,27,"I esnan ku ta kampa banda di djé mester ta e tribu di Aser, i e lider di e yu hòmbernan di Aser: Pagiel, yu hòmber di Okran,"
2,28,"i su ehérsito, nan hòmbernan kontá, 41.500."
2,29,"Despues ta sigui e tribu di Nèftalí, i e lider di e yu hòmbernan di Nèftalí: Ahira, yu hòmber di Enan,"
2,30,"i su ehérsito, nan hòmbernan kontá, 53.400."
2,31,"E total di e hòmbernan kontá di e kampamentu di Dan tabata 157.600. Nan mester sali bai último bou di nan emblemanan.\""
2,32,"Esakinan ta e hòmbernan kontá di e yunan di Israel, segun e hendenan di e kasnan di nan tatanan; e total di e hòmbernan kontá di e kampamentunan, segun nan ehérsitonan, tabata 603.550."
2,33,"Sinembargo, e levitanan no a wòrdu kontá entre e yunan di Israel, meskos ku SEÑOR a ordená Moisés."
2,34,"Asina e yunan di Israel a hasi; konforme tur loke SEÑOR a ordená Moisés, asina nan a kampa bou di nan emblemanan, i asina nan a sali bai, kada un segun su famia, segun e hendenan di e kas di su tata."
3,1,"Awor esakinan ta e generashonnan di Aaron ku Moisés, na e tempu ku SEÑOR a papia ku Moisés riba Seru Sinaí."
3,2,"Esakinan anto ta e nòmbernan di e yu hòmbernan di Aaron: Nadab e primogénito, i Abiú, Eleazar ku Itamar."
3,3,"Esakinan ta e nòmbernan di e yu hòmbernan di Aaron, e saserdotenan ungí, ku el a konsagrá pa sirbi komo saserdote."
3,4,"Ma Nadab i Abiú a muri dilanti di SEÑOR dia ku nan a ofresé kandela straño dilanti di SEÑOR den e desierto di Sinaí; i nan no tabatin yu. Asina Eleazar ku Itamar tabata sirbi komo saserdote durante di bida di nan tata Aaron."
3,5,"E ora ei SEÑOR a papia ku Moisés, bisando:"
3,6,"\"Laga e tribu di Leví yega serka i pone nan dilanti di saserdote Aaron, pa nan sirbié."
3,7,"I nan mester kumpli ku e responsabilidatnan pa ku Aaron i pa ku henter e kongregashon dilanti di e tènt di reunion, pa hasi e sirbishi di e tabernakel."
3,8,"Tambe nan mester pèrkurá pa tur e artíkulonan-di-uzo di e tènt di reunion i pa e responsabilidatnan di e yunan di Israel, pa hasi e sirbishi di e tabernakel."
3,9,"Asina bo mester duna e levitanan na Aaron i na su yu hòmbernan; nan ta henteramente duná na djé for di entre e yunan di Israel."
3,10,"I nombra Aaron ku su yu hòmbernan pa nan ehersé nan saserdosio, ma e stranhero ku yega serka mester wòrdu matá.\""
3,11,"SEÑOR a bolbe papia ku Moisés, bisando:"
3,12,"\"Awor mira, Mi a tuma e levitanan for di entre e yunan di Israel na lugá di kada primogénito, esun ku ta habri matris entre e yunan di Israel. E levitanan mester ta di Mi,"
3,13,"pasobra tur e primogénitonan ta di Mi; riba e dia ku Mi a mata tur e primogénitonan na tera di Egipto, Mi a santifiká pa Mi mes tur e primogénitonan den Israel, tantu di hende komo di bestia. Nan mester ta di Mi; Ami ta SEÑOR.\""
3,14,"E ora ei SEÑOR a papia ku Moisés den e desierto di Sinaí, bisando:"
3,15,"\"Konta e yu hòmbernan di Leví segun e hendenan di e kasnan di nan tatanan, segun nan famianan; tur hende hòmber for di un luna p'ariba bo mester konta.\""
3,16,"Asina Moisés a konta nan konforme e palabra di SEÑOR, meskos ku el a wòrdu ordená."
3,17,"Esakinan anto ta e yu hòmbernan di Leví segun nan nòmbernan: Gerson, Koat i Merari."
3,18,"I esakinan ta e nòmbernan di e yu hòmbernan di Gerson segun nan famianan: Libni i Simei;"
3,19,"i e yu hòmbernan di Koat segun nan famianan: Amram i Izhar, Hebròn i Uziel;"
3,20,"i e yu hòmbernan di Merari segun nan famianan: Mahli i Musi. Esakinan ta e famianan di e levitanan segun e hendenan di e kasnan di nan tatanan."
3,21,"Di Gerson tabata e famia di e libnitanan i e famia di e simeitanan; esakinan tabata e famianan di e gersonitanan."
3,22,"Nan hòmbernan kontá, den e kontamentu di tur hende hòmber for di un luna p'ariba, nan hòmbernan kontá tabata 7.500."
3,23,"E famianan di e gersonitanan mester a kampa tras di e tabernakel parti pabou,"
3,24,"i lider di e hendenan di e kasnan di e tatanan di e gersonitanan tabata Eliasaf, yu hòmber di Lael."
3,25,"Awor e responsabilidatnan di e yu hòmbernan di Gerson den e tènt di reunion tabata inkluí e tabernakel i e tènt, su kapa i e skèrm pa entrada di e tènt di reunion,"
3,26,"i e kortinanan di e plenchi, e skèrm pa entrada di e plenchi ku tin tur rònt di e tabernakel i e altar, i su kordonnan, konforme henter e sirbishi relashoná ku nan."
3,27,"I di Koat tabata e famia di e amramitanan, e famia di e izharitanan, e famia di e hebronitanan i e famia di e uzielitanan; esakinan tabata e famianan di e koatitanan."
3,28,"Den e kontamentu di tur hende hòmber, for di un luna p'ariba, tabatin 8.600 ku tabata kumpli ku e responsabilidatnan di e santuario."
3,29,"E famianan di e yu hòmbernan di Koat mester a kampa na e banda ku ta keda pasùit di e tabernakel,"
3,30,"i lider di e hendenan di e kasnan di e tatanan di e famianan di e koatitanan tabata Elizafan, yu hòmber di Uziel."
3,31,"Awor nan responsabilidatnan tabata inkluí e arka, e mesa, e kandelá, e altarnan, e artíkulonan-di-uzo di e santuario, ku kualnan nan ta sirbi, e skèrm, i henter e sirbishi relashoná ku nan;"
3,32,"i Eleazar, yu hòmber di saserdote Aaron, tabata hefe di e lidernan di Leví, i tabatin enkargo di esnan ku tabata kumpli ku e responsabilidatnan di e santuario."
3,33,"Di Merari tabata e famia di e malitanan i e famia di e musitanan; esakinan tabata e famianan di Merari."
3,34,"Nan hòmbernan kontá den e kontamentu di tur hende hòmber, for di un luna p'ariba, tabata 6.200."
3,35,"I lider di e hendenan di e kasnan di e tatanan di e famianan di Merari tabata Zuriel, yu hòmber di Abihail. Nan mester a kampa na e banda ku ta keda panòrt di e tabernakel."
3,36,"Awor e responsabilidatnan stipulá di e yu hòmbernan di Merari tabata inkluí e tablanan di e tabernakel, su baranan, su pilarnan, su pianan, tur su ekipo i e sirbishi relashoná ku nan,"
3,37,"i e pilarnan tur rònt di e plenchi, ku nan pianan, nan stakanan i nan kordonnan."
3,38,"Awor esnan ku mester a kampa dilanti di e tabernakel parti pariba, dilanti di e tènt di reunion, den direkshon di kaminda solo ta sali, ta Moisés i Aaron ku su yu hòmbernan, kendenan tabata kumpli ku e responsabilidatnan di e santuario pa parti di e yunan di Israel; ma e stranhero ku yega serka mester a wòrdu matá."
3,39,"Tur e hòmbernan kontá di e levitanan, ku Moisés i Aaron a konta riba òrdu di SEÑOR segun nan famianan, tur hende hòmber, for di un luna p'ariba, tabata 22.000."
3,40,"E ora ei SEÑOR a bisa Moisés: \"Konta tur yu hòmber primogénito di e yunan di Israel, for di un luna p'ariba, i traha un lista di nan nòmbernan."
3,41,"I bo mester tuma e levitanan pa Mi, Ami ta SEÑOR, na lugá di tur e primogénitonan entre e yunan di Israel, i e bakanan di e levitanan na lugá di tur e primogénitonan entre e bakanan di e yunan di Israel.\""
3,42,"Asina Moisés a konta tur e primogénitonan entre e yunan di Israel, meskos ku SEÑOR a orden'é;"
3,43,"i tur e hende hòmbernan primogénito segun e kantidat di nòmber, for di un luna p'ariba, pasobra nan hòmbernan kontá tabata 22.273."
3,44,"E ora ei SEÑOR a papia ku Moisés, bisando:"
3,45,"\"Tuma e levitanan na lugá di tur e primogénitonan entre e yunan di Israel, i e bakanan di e levitanan. I e levitanan mester ta di Mi; Ami ta SEÑOR."
3,46,"I pa e reskate di e 273 di e primogénitonan di e yunan di Israel, ku ta surpasá e kantidat di e levitanan,"
3,47,"bo mester tuma sinku siklo pa kada un; segun e siklo di e santuario bo mester tuma nan (e siklo ta binti gera),"
3,48,"i duna e plaka, e reskate di esnan ku ta surpasá e kantidat di e levitanan, na Aaron ku su yu hòmbernan.\""
3,49,"Asina Moisés a tuma e plaka di reskate for di esnan ku a surpasá e kantidat di esnan ku e levitanan a reskatá;"
3,50,"for di e primogénitonan di e yunan di Israel el a tuma e plaka konforme e siklo di e santuario, 1.365."
3,51,"E ora ei Moisés a duna Aaron ku su yu hòmbernan e plaka di reskate, konforme e òrdu di SEÑOR, meskos ku SEÑOR a ordená Moisés."
