chapter,verse,"text"
1,1,"E palabranan di e Predikadó, yu hòmber di David, rei di Jerusalèm."
1,2,"\"Banidat di banidatnan,\" e Predikadó ta bisa, \"Banidat di banidatnan! Tur ta banidat.\""
1,3,"Ki probecho hende tin di tur su trabou ku e ta hasi bou di solo?"
1,4,"Un generashon ta bai i un generashon ta bin, ma tera ta permanesé pa semper."
1,5,"Tambe solo ta sali i solo ta drenta, i ta pura bai bèk na e lugá for di unda e ta sali."
1,6,"Bientu ta supla bai sùit i ta bira bai nòrt; bientu ta sigui bira kontinuamente, i siguiendo su kurso, e ta bolbe."
1,7,"Tur riu ta kore bai laman, tòg laman no ta yena. Na e lugá for di unda riunan ta bin, aya nan ta bolbe bai."
1,8,"Tur kos ta un kansansio, mas ku hende por ekspresá. Nunka wowo no ta keda sasiá di mira, ni orea di tende."
1,9,"Loke tabata ta loke lo ta, i loke a wòrdu hasí ta loke lo wòrdu hasí. Asina no tin nada nobo bou di solo."
1,10,"Akaso tin algu ku hende por bisa di djé: \"Mira esaki, e ta nobo\"? Ya el a eksistí kaba pa siglonan ku tabata promé ku nos."
1,11,"No tin rekuèrdo di kosnan di antes, ni di kosnan ku lo sosodé despues; lo no tin rekuèrdo di nan serka esnan ku lo bin despues ainda."
1,12,"Ami, e Predikadó, tabata rei di Israel na Jerusalèm."
1,13,"I mi a pone mi kurason pa buska i investigá pa medio di sabiduria, tur loke a wòrdu hasí bou di shelu. Ta un tarea penoso ku Dios a duna e yunan di hende pa wòrdu afligí kuné."
1,14,"Mi a mira tur e obranan ku a wòrdu hasí bou di solo, i ata, tur ta banidat i korementu tras di bientu."
1,15,"Loke ta trosí no por wòrdu hasí stret, i loke ta falta no por wòrdu kontá."
1,16,"Mi a bisa mi mes: \"Mira, mi a krese i a oumentá den sabiduria, mas ku tur ku a goberná Jerusalèm promé ku mi; i mi kurason a eksperensiá hopi sabiduria i konosementu.\""
1,17,"I mi a pone mi kurason pa konosé sabiduria i pa konosé lokura i bobedat; mi a realisá ku esaki tambe ta korementu tras di bientu."
1,18,"Pasobra den hopi sabiduria tin hopi tristesa, i oumento di konosementu ta resultá den oumento di doló."
2,1,"Mi a bisa mi mes: \"Bin awor, lo mi ponebo na prueba ku plaser. Pesei, gosa bo mes.\" I mira, esaki tambe tabata banidat."
2,2,"Di harimentu mi a bisa: \"Ta lokura,\" i di plaser: \"Di kiko e ta sirbi?\""
2,3,"Ku mi mente mi a investigá kon pa stimulá mi kurpa ku biña, mientras ku mi mente tabata guiami ku sabiduria, i kon pa retené lokura, te ora mi mira ki kos bon tin pa e yunan di hende hasi bou di shelu durante di e poko añanan di nan bida."
2,4,"Mi a hasi obranan grandi pa mi mes: mi a traha kasnan pa mi mes, mi a planta kunukunan di wendrùif pa mi mes;"
2,5,"mi a traha hòfi i parke pa mi mes, i mi a planta tur sorto di palu di fruta den nan;"
2,6,"mi a traha tankinan di awa pa mi mes, pa for di nan mi muha un mondi di palu ku ta kresiendo."
2,7,"Mi a kumpra esklabu hòmber i muhé, i mi tabatin esklabu ku a nase na kas. Tambe mi tabatin mas tantu baka i karné ku tur esnan ku tabata na Jerusalèm promé ku mi."
2,8,"Tambe mi a montoná plata i oro pa mi mes, i e tesoro di reinan i provinsianan. Mi a atkirí kantadó hòmber i muhé pa mi mes, i e plasernan di hòmber--hopi konkubina."
2,9,"Anto mi a bira mas grandi i a surpasá tur esnan ku tabata na Jerusalèm promé ku mi. Mi sabiduria tambe a keda ku mi."
2,10,"I mi no a nenga mi wowonan nada di loke nan tabata deseá. Mi no a nenga mi kurason ningun plaser, pasobra mi kurason tabata gosa pa motibu di tur mi trabou; i esaki tabata mi rekompensa pa tur mi trabou."
2,11,"Asina mi a konsiderá tur mi aktividatnan ku mi mannan a hasi i e trabou ku mi a tuma pa hasi nan; i mira, tur tabata banidat i korementu tras di bientu. No tabatin probecho bou di solo."
2,12,"Asina mi a bira pa konsiderá sabiduria, lokura i bobedat; pasobra kiko e hende ku ta bin despues di rei lo hasi, sino loke a wòrdu hasí kaba?"
2,13,"I mi a mira ku sabiduria ta surpasá lokura, manera lus ta surpasá skuridat."
2,14,"Wowo di hende sabí ta den su kabes, ma e bobo ta kana den skuridat. I tòg mi sa ku ta ún destino tin pa nan tur dos."
2,15,"E ora ei mi a bisa den mi mes: \"Manera ta sosodé ku un bobo, asina lo sosodé ku mi tambe. Pakiko mi tabata tantu sabí anto?\" Pesei mi a bisa den mi mes: \"Esaki tambe ta banidat.\""
2,16,"Pasobra ni di e hende sabí ni di e hende bobo no tin rekuèrdo duradero, komo ku den e dianan benidero tur lo wòrdu lubidá. Meskos ku hende bobo, hende sabí tambe tin ku muri!"
2,17,"Pesei mi tabata odia bida, pasobra e trabou ku a wòrdu hasí bou di solo tabata penoso pa mi; pasobra tur kos ta banidat i korementu tras di bientu."
2,18,"Asina mi tabata odia tur e fruta di mi trabou ku mi a traha p'é bou di solo, pasobra mi mester lagu'é pa e hende ku lo bin despues di mi."
2,19,"I ken sa si e lo ta un hende sabí òf un hende bobo. Tòg e lo tin kontrol riba tur fruta di mi trabou ku mi a traha p'é dor di aktua ku sabiduria bou di solo. Esaki tambe ta banidat."
2,20,"Pesei mi a desesperá kompletamente di tur e fruta di mi trabou ku mi a traha p'é bou di solo."
2,21,"Despues ku un hende a traha ku sabiduria, konosementu i abilidat, e ta duna su propiedat na un hende ku no a traha ku esakinan. Esaki tambe ta banidat i gran maldat."
2,22,"Pasobra kiko hende ta haña den tur su trabou i den su lucha ku kual e ta traha duru bou di solo?"
2,23,"Pasobra durante di tur su dianan su tarea ta doloroso i penoso; asta anochi su mente no ta sosegá. Esaki tambe ta banidat."
2,24,"No tin nada mihó pa un hende ku kome i bebe i bisa su mes ku su trabou ta bon. Mi a ripará ku esaki tambe ta bin for di man di Dios."
2,25,"Pasobra ken por kome i ken por tin plaser sin djE?"
2,26,"Pasobra na e persona ku ta bon den Su bista El a duna sabiduria i konosementu i goso, mientras ku na e pekadó El a duna e tarea di rekohé i kolektá, asina ku E por duna na esun ku ta bon den bista di Dios. Esaki tambe ta banidat i korementu tras di bientu."
3,1,"Tin un tempu stipulá pa tur kos. I tin un tempu pa tur evento bou di shelu:"
3,2,"un tempu pa nase i un tempu pa muri, un tempu pa planta i un tempu pa ranka ku rais ku tur, loke ku a wòrdu plantá,"
3,3,"un tempu pa mata i un tempu pa kura, un tempu pa bash'abou i un tempu pa rekonstruí,"
3,4,"un tempu pa yora i un tempu pa hari, un tempu pa tene rou i un tempu pa balia,"
3,5,"un tempu pa tira piedra i un tempu pa piki piedra, un tempu pa brasa i un tempu pa keda sin brasa,"
3,6,"un tempu pa buska i un tempu pa stòp di buska, un tempu pa warda i un tempu pa tir'afó,"
3,7,"un tempu pa sker for di otro i un tempu pa kose pega na otro, un tempu pa keda ketu i un tempu pa papia,"
3,8,"un tempu pa stima i un tempu pa odia, un tempu pa guera i un tempu pa pas."
3,9,"Ki probecho e trahadó tin di loke e ta traha duru p'é?"
3,10,"Mi a mira e tarea ku Dios a duna e yunan di hende pa okupá nan mes kuné."
3,11,"El a traha tur kos apropiá na su tempu. Tambe El a pone etèrnidat den nan kurason, sin ku hende por haña sa e trabou ku Dios a hasi for di prinsipio te na fin."
3,12,"Mi sa ku no tin nada mihó pa hende, ku regosihá i hasi bon den su bida,"
3,13,"i tambe ku tur hende por kome i bebe i mira e bon ku tin den tur su trabou--esaki ta e regalo di Dios."
3,14,"Mi sa ku tur loke Dios ta hasi lo permanesé pa semper; no tin nada pa añadí i no tin nada pa kit'afó, pasobra Dios a hasi asina pa hende tin temor p'E."
3,15,"Loke ta, tabata kaba, i loke ta bin, tabat'ei kaba, pasobra Dios ta buska loke a pasa kaba."
3,16,"Mas ainda, mi a mira bou di solo: ku na lugá di huisio--ta maldat tabatin einan, i na lugá di hustisia--ta maldat tabatin einan."
3,17,"Mi a bisa den mi mes: \"Dios lo huzga tantu e hende rekto komo e hende malbado,\" pasobra tin un tempo pa tur asunto i pa tur echo."
3,18,"Mi a bisa den mi mes tokante di e yunan di hende: \"Siguramente Dios a pone nan na prueba pa nan mira ku nan ta meskos ku bestia.\""
3,19,"Pasobra destino di yu di hende i destino di bestia ta meskos. Manera esun ta muri, e otro tambe ta muri; di bèrdat, nan tur tin e mesun rosea i no tin bentaha pa hende riba bestia, pasobra tur ta banidat."
3,20,"Tur ta bai na e mesun lugá. Tur a bin di stòf i tur ta bolbe na stòf."
3,21,"Ken sa si rosea di hende ta subi bai ariba i si rosea di bestia ta baha bai abou den tera?"
3,22,"I mi a mira ku no tin nada mihó pa hende ku gosa den su aktividatnan, pasobra esei ta su parti. Pasobra ken lo hib'é pa mira kiko lo sosodé despues di djé?"
4,1,"E ora ei mi a bolbe wak tur e aktonan di opreshon ku a wòrdu hasí bou di solo. I ata, mi a wak e lágrimanan di esnan oprimí, i ku nan no tabatin ni un hende pa konsolá nan; i pa banda di nan opresornan tabatin poder, ma nan no tabatin ni un hende pa konsolá nan."
4,2,"Pesei mi a felisitá e mortonan ku ta morto kaba, mas ku e bibunan ku ta na bida ainda."
4,3,"Ma esun ku nunka a eksistí, ku nunka a mira e obra di maldat ku a wòrdu hasí bou di solo, ta mas felis ku nan tur dos."
