chapter,verse,"text"
1,1,"E proverbionan di Salomon, yu hòmber di David, rei di Israel:"
1,2,"pa konosé sabiduria i instrukshon, pa diserní e dichonan di komprendementu,"
1,3,"pa risibí instrukshon den kondukta prudente, hustisia, huisio i rektitut;"
1,4,"pa duna prudensia na e simpelnan, konosementu i disernimentu na e hobennan--"
1,5,"un hende sabí lo tende i lo oumentá su konosementu, i un hende di komprendementu lo atkirí bon konseho--"
1,6,"pa komprendé proverbio i parábola, palabranan di e sabínan i nan charadanan."
1,7,"E temor di SEÑOR ta e prinsipio di konosementu; bobonan ta despresiá sabiduria i instrukshon."
1,8,"Mi yu, tende e instrukshon di bo tata, i no bandoná e siñansa di bo mama;"
1,9,"pasobra nan lo ta un bunita adorno pa bo kabes, i koyarnan na bo garganta."
1,10,"Mi yu, si pekadónan tentabo, no konsentí."
1,11,"Si nan bisa: \"Ban ku nos, laga nos skonde lur pa drama sanger, laga nos skonde ataká e inosentenan sin motibu;"
1,12,"laga nos traga nan bibu, manera Seol, i henté, manera esnan ku ta baha den graf;"
1,13,"nos lo haña tur sorto di rikesa presioso, nos lo yena nos kasnan ku botín;"
1,14,"purba bo suerte ku nos, nos tur lo tin un solo saku di plaka\"--"
1,15,"mi yu, no anda ku nan. No laga bo pia kohe nan kaminda,"
1,16,"pasobra nan pia ta kore bai na maldat, i nan ta lihé pa drama sanger."
1,17,"Bèrdaderamente, span nèt den bista di parha ta trabou pòrnada;"
1,18,"ma nan ta skonde lur pa drama nan mes sanger; nan ta skonde ataká nan mes bida."
1,19,"Asina ta e kamindanan di kada un ku ta golos pa ganashi, kual ta kita bida di esnan ku ta doño di djé."
1,20,"Sabiduria ta sklama den kaya, e ta halsa su bos riba plenchi;"
1,21,"na skina di kayanan drùk e ta sklama; na entrada di e portanan den e stat e ta trese su mensahe:"
1,22,"\"Kuantu tempu mas, O simpelnan, boso lo stima simplisidat, i bofonadónan lo tin delisia den hasimentu di bofon, i bobonan lo odia sabiduria?"
1,23,"Bolbe na mi reprendementu! Mira, lo mi drama mi spiritu riba boso; lo mi hasi mi palabranan konosí na boso."
1,24,"Pasobra mi a yama i boso a nenga; mi a saka mi man i ningun hende no a hasi kaso."
1,25,"Ma boso a neglishá tur mi konseho, i no tabata kier mi reprendementu;"
1,26,"tambe lo mi hari boso kalamidat; lo mi hasi bofon ora miedu bin riba boso,"
1,27,"ora boso miedu bin manera un tempestat, i boso kalamidat bin manera warwarú, ora ku ansha i angustia bin riba boso."
1,28,"\"E ora ei nan lo yamami, ma lo mi no kontestá; nan lo buskami ku diligensia, ma nan lo no hañami,"
1,29,"pasobra nan tabata odia konosementu, i no a skohe pa e temor di SEÑOR."
1,30,"Nan no kier a aseptá mi konseho, nan a rechasá tur mi reprendementu."
1,31,"Pesei nan lo kome di e fruta di nan mes kondukta, i lo keda yen di nan mes kòmplòtnan."
1,32,"Pasobra e desviashon di e simpelnan lo mata nan, i e negligensia di e bobonan lo destruí nan."
1,33,"Ma esun ku skuchami lo biba konfiadamente, i lo biba trankil, sin miedu di maldat.\""
2,1,"Mi yu, si bo kier risibí mi palabranan i warda mi mandamentunan den bo,"
2,2,"hasi bo orea atento na sabiduria, i inkliná bo kurason na komprendementu;"
2,3,"pasobra si bo sklama pa disernimentu, halsa bo bos pa komprendementu,"
2,4,"si bo busk'é manera plata, i rondi'é manera tesoro skondí,"
2,5,"e ora ei lo bo diserní e temor di SEÑOR, i deskubrí e konosementu di Dios."
2,6,"Pasobra SEÑOR ta duna sabiduria; for di Su boka ta sali konosementu i komprendementu."
2,7,"E ta warda sabiduria sano pa esnan ku ta rekto; E ta un eskudo pa esnan ku ta kana den integridat;"
2,8,"E ta warda e berehanan di hustisia, i ta preservá e kaminda di Su santunan."
2,9,"E ora ei lo bo diserní hustisia i huisio, i rektitut, sí, tur bon kaminda."
2,10,"Pasobra sabiduria lo bin den bo kurason, i konosementu lo ta agradabel na bo alma."
2,11,"Diskreshon lo wardabo; komprendementu lo kuidabo."
2,12,"Sabiduria lo librabo for di e kaminda di maldat, for di e hende ku ta papia kosnan pèrvèrso,"
2,13,"for di esnan ku ta bandoná e berehanan di rektitut, pa kana den e kamindanan di skuridat;"
2,14,"kendenan tin delisia den hasimentu di maldat, i ta regosihá den e pèrvèrsidat di maldat,"
2,15,"kende nan berehanan ta trosí, i kendenan ta sigui nan kamindanan trosí."
2,16,"E lo librabo tambe for di e muhé straño, for di e adúltera ku ta labia ku su palabranan,"
2,17,"ku ta bandoná e kompañero di su hubentut, i ta lubidá e aliansa di su Dios;"
2,18,"pasobra su kas ta senk bai abou te na morto, i su lastronan ta hiba te na e mortonan;"
2,19,"ni un hende ku bai serka djé no ta bolbe bèk, ni nan no ta alkansá e berehanan di bida."
2,20,"Asina lo bo kana den e kaminda di bon hende, i permanesé riba e berehanan di e hustunan."
2,21,"Pasobra e rektonan lo biba den e tera, i e perfektonan lo keda den djé;"
2,22,"ma e malbadonan lo wòrdu kòrtá kitá for di tera, i e traidónan lo wòrdu ranká for di djé ku rais ku tur."
3,1,"Mi yu, no lubidá mi siñansa, ma laga bo kurason warda mi mandamentunan,"
3,2,"pasobra dianan largu, bida largu i pas nan lo agregá na bo."
3,3,"No laga miserikòrdia i bèrdat bandonábo; mara nan rònt di bo garganta, skirbi nan riba tabla di bo kurason."
3,4,"Asina lo bo haña grasia i aprobashon den bista di Dios i hende."
3,5,"Konfia den SEÑOR ku henter bo kurason, i no dependé riba bo mes komprendementu."
3,6,"Den tur bo kamindanan rekonos'E, i E lo dirigí bo berehanan."
3,7,"No sea sabí den bo mes bista; teme SEÑOR, i apartá bo mes for di maldat."
3,8,"Esaki lo ta kuramentu pa bo kurpa, i tuti pa bo wesunan."
3,9,"Onra SEÑOR ku bo rikesa, i ku e promé fruta di tur bo produktonan;"
3,10,"asina bo mangasinanan lo wòrdu yená ku abundansia, i bo bakinan-di-pèrs-wendrùif lo basha ofer di biña nobo."
3,11,"Mi yu, no rechasá e disiplina di SEÑOR, ni aboresé Su reprendementu,"
3,12,"pasobra esun ku SEÑOR ta stima, E ta reprendé, meskos ku un tata ta reprendé e yu ku e tin delisia den djé."
3,13,"Bendishoná ta e hende ku haña sabiduria, e hende ku haña komprendementu,"
3,14,"pasobra probecho di esaki ta mihó ku probecho di plata, i su ganashi mas ku oro fini."
3,15,"E ta mas presioso ku rubí, i tur loke bo por deseá no ta di kompará kuné."
3,16,"Bida largu ta den su man drechi, i rikesa i onor ta den su man robes."
3,17,"Su kamindanan ta kamindanan agradabel, i tur su berehanan ta pas."
3,18,"E ta un palu di bida pa esnan ku ta gar'é tene, i felis ta tur esnan ku tene duru na djé."
3,19,"Pa medio di sabiduria SEÑOR a funda tera; pa medio di komprendementu El a stablesé e shelunan."
3,20,"Pa medio di Su konosementu e profundidatnan a wòrdu kibrá, i e nubianan ta gotia serena."
3,21,"Mi yu, no laga esakinan kita for di bo bista; retené sabiduria sano i diskreshon,"
3,22,"asina nan lo ta bida pa bo alma i adorno na bo garganta."
3,23,"E ora ei lo bo kana den bo kaminda ku tur konfiansa, i bo pia lo no trompeká."
3,24,"Ora bo kai drumi, lo bo no tin miedu; ora bo kai drumi, bo soño lo ta dushi."
3,25,"No tene miedu di desaster inesperá, ni di atake di malbadonan ora ku esaki bin;"
3,26,"pasobra SEÑOR lo ta bo konfiansa, i lo warda bo pia di wòrdu kohí den trampa."
3,27,"No laga di hasi bon na esnan ku meresé esaki, si ta den bo poder pa hasié."
3,28,"No bisa bo próhimo: \"Bai bolbe, i mañan lo mi dunabo,\" mientras ku bo tin é ku bo."
3,29,"No plania maldat kontra bo próhimo, mientras ku e ta biba konfiadamente band'i bo."
3,30,"No pleita ku un hende sin motibu, si e no a hasibo ningun daño."
3,31,"No envidiá un hende di violensia, i no skohe ningun di su kamindanan."
3,32,"Pasobra e hende pèrvèrso ta un abominashon pa SEÑOR, ma E tin komunion íntimo ku e hende rekto."
