chapter,verse,"text"
1,1,"E Revelashon di Jesu-Cristo, ku Dios a dun'E pa mustra Su sirbidónan e kosnan ku mester sosodé pronto; i El a manda esaki i a komunik'é pa medio di Su angel na Su sirbidó Juan,"
1,2,"kende a duna testimonio di e palabra di Dios i e testimonio di Jesu-Cristo, esta, tur loke el a mira."
1,3,"Bendishoná ta esun ku lesa i esnan ku tende e palabranan di e profesia, i ku paga atenshon na e kosnan ku ta pará skirbí den djé; pasobra e tempu ta serka."
1,4,"Juan, Na e shete iglesianan ku ta na Asia: Grasia sea ku boso i pas di Esun ku ta i ku tabata i ku lo bin, i di e shete Spiritunan ku ta dilanti di Su trono;"
1,5,"i di Jesu-Cristo, e testigu fiel, e primogénito di e mortonan i e gobernante di e reinan di tera. Na Esun ku ta stima nos, i ku a libra nos di nos pikánan pa medio di Su sanger--"
1,6,"i El a hasi nos bira un reino, saserdotenan pa Su Dios i Tata--na djE sea e gloria i e dominio pa semper i semper. Amèn."
1,7,"Mira, E ta bin ku e nubianan, i tur wowo lo mir'E, tambe esnan ku a traspas'E; i tur e tribunan di tera lo lamentá pa Su motibu. Sí. Amèn."
1,8,"\"Ami ta e Alfa i e Omega,\" Señor Dios ta bisa, \"Esun ku ta i Esun ku tabata i Esun ku ta bin, e Todopoderoso.\""
1,9,"Ami, Juan, boso ruman i ko-partisipante den tribulashon, i den e reino i e pasenshi di Jesu-Cristo, tabata riba e isla ku yama Patmos, pa motibu di e palabra di Dios i e testimonio di Jesus."
1,10,"Riba e dia di Señor mi tabata den Spiritu, i mi a tende mi tras un bos duru manera e zonidu di tròmpèt,"
1,11,"bisando: \"Skirbi den un buki loke bo ta mira, i manda esaki pa e shete iglesianan: pa Efeso i pa Smirna i pa Pérgamo i pa Tiatira i pa Sardis i pa Filadelfia i pa Laodisea.\""
1,12,"I mi a bira pa mira e bos ku tabata papia ku mi. I ora mi a bira mi a mira shete kandelá di oro,"
1,13,"i meimei di e kandelánan Un manera e Yu di Hende, bistí ku un paña ku tabata yega te na Su pia, i ku Su pechu fahá ku un faha di oro."
1,14,"I Su kabes i Su kabei tabata blanku manera lana blanku, manera sneu; i Su wowonan tabata manera un flam di kandela;"
1,15,"i Su pianan tabata manera bròns lombrá, despues ku esaki a wòrdu refiná den fòrnu, i Su bos tabata manera e zonidu di hopi awanan."
1,16,"I den Su man drechi E tabatin shete strea tení; i for di Su boka a sali un spada skèrpi di dos filo; i Su kara tabata manera solo, briyando ku tur su forsa."
1,17,"I ora mi a mir'E, mi a kai na Su pia manera un hòmber morto. I El a pone Su man drechi riba mi, bisando: \"No tene miedu; Ami ta e Promé i e Ultimo,"
1,18,"i Esun ku ta biba; i Mi tabata morto, i mira, Mi ta bibu pa semper, i Mi tin e yabinan di morto i di Hades."
1,19,"\"Skirbi anto e kosnan ku bo a mira, i e kosnan ku ta, i e kosnan ku lo tuma lugá despues di e kosnan aki."
1,20,"Pa loke ta e misterio di e shete streanan ku bo a mira den Mi man drechi, i e shete kandelánan di oro: e shete streanan ta e angelnan di e shete iglesianan, i e shete kandelánan ta e shete iglesianan."
2,1,"\"Skirbi na e angel di e iglesia di Efeso: Esun ku ta tene e shete streanan den Su man drechi, Esun ku ta kana meimei di e shete kandelánan di oro, ta bisa esaki:"
2,2,"'Mi konosé bo obranan i bo trabou duru i pèrseveransia, i ku bo no por soportá hende malbado, i bo ta pone na prueba esnan ku ta yama nan mes apòstel, ma ku no ta, i bo a haña sa ku nan ta falsu;"
2,3,"i bo tin pèrseveransia i a soportá pa motibu di Mi nòmber, i no a kansa."
2,4,"'Ma Mi tin esaki kontra bo, ku bo a bandoná bo promé amor."
2,5,"Pesei, kòrda for di unda bo a kai, i repentí i hasi e obranan ku bo tabata hasi promé; sino Mi ta bin serka bo, i lo kita bo kandelá for di su lugá, a menos ku bo repentí."
2,6,"Sinembargo, esaki sí bo tin, ku bo ta odia e obranan di e nikolaitanan, kualnan Ami tambe ta odia."
2,7,"'Esun ku tin orea, lagu'é tende loke e Spiritu ta bisa e iglesianan. Esun ku vense lo Mi laga kome di e palu di bida, ku ta den e Paraiso di Dios.'"
2,8,"\"I skirbi na e angel di e iglesia di Smirna: E Promé i e Ultimo, Kende tabata morto i ta biba atrobe, ta bisa esaki:"
2,9,"'Mi konosé bo tribulashon i bo pobresa (sinembargo, bo ta riku), i e blasfemia di esnan ku ta bisa ku nan ta hudiu i nan no ta, ma nan ta un snoa di Satanás."
2,10,"No tene miedu di loke bo ta bai sufri. Mira, diabel ta bai tira algun di boso den prizon, pa boso wòrdu poní na prueba, i boso lo sufri tribulashon dies dia largu. Sea fiel te na morto i lo Mi dunabo e korona di bida."
