chapter,verse,"text"
1,1,"Pablo, un sirbidó di Cristo Jesus, yamá pa ta apòstel, apartá pa e evangelio di Dios,"
1,2,"lokual El a primintí di antemano pa medio di Su profetanan den e Skrituranan santu,"
1,3,"tokante di Su Yu, Kende a nase di un desendiente di David segun karni,"
1,4,"Kende a wòrdu deklará di ta e Yu di Dios ku poder pa medio di resurekshon for di e mortonan, segun e Spiritu di santidat: Jesu-Cristo, nos Señor."
1,5,"Dor di djE nos a risibí grasia i apostolado pa trese obedensia di fe meimei di tur e paganonan pa kousa di Su nòmber,"
1,6,"den kendenan boso tambe ta e yamánan di Jesu-Cristo."
1,7,"Na tur Dios Su stimánan na Roma, yamá pa ta santunan: Grasia na boso i pas for di Dios nos Tata i di Señor Jesu-Cristo."
1,8,"Na promé lugá mi ta gradisí mi Dios pa medio di Jesu-Cristo pa boso tur, pasobra boso fe ta wòrdu proklamá den henter mundu."
1,9,"Pasobra Dios, Kende mi ta sirbi den mi spiritu den predikamentu di e evangelio di Su Yu, ta mi testigu kon konstantemente mi ta kòrda riba boso,"
1,10,"semper hasiendo petishon den mi orashon, ku podisé awor porfin, segun e boluntat di Dios, mi por haña okashon pa bin serka boso."
1,11,"Pasobra mi ta anhelá di mira boso, pa mi por kompartí algun don spiritual ku boso, pa boso por keda stablesí--"
1,12,"esta, pa mi por wòrdu enkurashá huntu ku boso, mientras ku mi ta serka boso, kada un di nos dor di fe di e otro, tantu e fe di boso komo e fe di mi."
1,13,"I mi no kier pa boso keda sin sa, rumannan, ku hopi biaha mi tabatin plan di bin serka boso (ma mi a wòrdu strobá te awor) pa mi por tin algun fruta meimei di boso tambe, meskos ku meimei di e otro paganonan."
1,14,"Mi ta debedó tantu di griego komo di bárbaro, tantu di e sabínan komo di esnan ku no ta sabí."
1,15,"Pesei, di mi parti, mi ta ansioso pa prediká e evangelio na boso tambe ku ta na Roma."
1,16,"Pasobra mi no tin bèrguensa di e evangelio, pasobra esaki ta e poder di Dios pa salbashon pa tur ku ta kere, pa e hudiu promé i tambe pa e griego."
1,17,"Pasobra den esaki e hustisia di Dios ta keda revelá di fe pa fe; manera ta pará skirbí: \"Ma e hende hustu lo biba pa medio di fe.\""
1,18,"Pasobra e furia di Dios ta keda revelá for di shelu kontra tur impiedat i inhustisia di hende ku ta oprimí e bèrdat pa medio di inhustisia;"
1,19,"pasobra loke ta konosí tokante di Dios ta manifestá den nan; pasobra Dios a hasi esaki konosí na nan."
1,20,"Pasobra desde kreashon di mundu Su atributonan invisibel, Su poder etèrno i naturalesa divino, a wòrdu mirá klaramente, siendo komprendí dor di loke a wòrdu trahá, asina ku nan no tin èksküs."
