chapter,verse,"text"
1,1,"Bendishoná ta e hende ku no ta kana den e konseho di malbadonan, ni ta para den e kaminda di pekadónan, ni ta sinta riba e stul di bofonadónan!"
1,2,"Ma su delisia ta den e lei di SEÑOR, i den Su lei e ta meditá di dia i anochi."
1,3,"I e lo ta manera un palu, plantá kantu di koridanan di awa, ku ta duna su fruta na su tempu, i su blachi no ta marchitá; i tur loke ku e hasi ta prosperá."
1,4,"Ma no t'asina ku e malbadonan; nan ta manera bagas ku bientu ta supla bai kuné."
1,5,"Pesei den e huisio e malbadonan lo no keda para, ni pekadónan den e asamblea di e hustunan."
1,6,"Pasobra SEÑOR konosé e kaminda di e hustunan, ma e kaminda di e malbadonan lo peresé."
2,1,"Pakiko e nashonnan ta reboltiá asina, i e pueblonan ta plania un kos bano?"
2,2,"E reinan di mundu ta tuma nan posishon, i e gobernantenan ta konsultá huntu kontra SEÑOR i kontra Su Ungí, bisando:"
2,3,"\"Laga nos kibra nan kadenanan i tira nan kabuyanan for di nos!\""
2,4,"Esun ku ta sinta den e shelunan ta hari; Señor ta hasi bofon di nan."
2,5,"Anto E lo papia ku nan den Su rabia i terorisá nan den Su furia:"
2,6,"\"Ma pa loke ta Ami, Mi a stablesé Mi Rei riba Sion, Mi seru santu.\""
2,7,"\"Siguramente lo Mi proklamá e dekreto: SEÑOR a bisaMi: 'Bo ta Mi Yu, awe Mi a engendráBo."
2,8,"PidiMi, i siguramente lo Mi dunaBo e nashonnan komo Bo erensia, i e finnan di tera komo Bo poseshon."
2,9,"Lo Bo kibra nan ku bara di heru, lo Bo kibra nan na pida-pida manera kos trahá di klei.'\""
2,10,"Pesei anto, O reinan, uza sabiduria; aseptá spièrtamentu, O huesnan di tera."
2,11,"Sirbi SEÑOR ku temor, i regosihá ku temblamentu."
2,12,"Sunchi e Yu, pa E no rabia i boso peresé na kaminda, pasobra den un ratu di ora Su furia por sende. Bendishoná ta tur esnan ku ta tuma refugio den djE!"
3,1,"O SEÑOR, mira kon mi atversarionan a oumentá! Tin hopi ku ta lanta kontra mi."
3,2,"Tin hopi ku ta bisa di mi alma: \"No tin yudansa p'é serka Dios.\""
3,3,"Ma Abo, O SEÑOR, ta un eskudo rònt di mi, mi gloria, i Esun ku ta halsa mi kabes."
3,4,"Ku mi bos mi tabata sklama na SEÑOR, i El a kontestámi for di Su seru santu."
3,5,"Mi a kai drumi i a pega soño; mi a spièrta, pasobra SEÑOR ta sostenémi."
3,6,"Lo mi no tene miedu di dies milnan di hende ku a pone nan mes tur rònt kontra mi."
3,7,"Lanta, O SEÑOR; salbami, O mi Dios! Pasobra Bo a dal kakumbein di tur mi enemigunan; Bo a kibra djente di e malbadonan na pida-pida."
3,8,"Salbashon ta di SEÑOR; Bo bendishon sea riba Bo pueblo!David."
4,1,"Kontestámi ora mi yama, O Dios di mi hustisia! Bo a aliviámi den mi aflikshon; tene miserikòrdia di mi i tende mi orashon."
4,2,"O yunan di hende, kuantu tempu mas boso lo kambia mi gloria na bèrguensa? Kuantu tempu mas boso lo stima banidat i buska mentira?"
4,3,"Ma komprendé ku SEÑOR a apartá pa Su mes esun ku ta deboto; SEÑOR ta tende ora mi sklama na djE."
4,4,"Rabia, ma no hasi piká; meditá den bo kurason riba bo kama i keda ketu."
4,5,"Ofresé e sakrifisionan di hustisia, i konfia den SEÑOR."
4,6,"Tin hopi ku ta puntra: \"Ken lo mustra bondat na nos?\" Laga e lus di Bo semblante resplandesé riba nos, O SEÑOR!"
4,7,"Bo a pone alegria den mi kurason, mas ku tempu nan mainshi i biña nobo tabata produsí na abundansia."
4,8,"Na pas lo mi bai drumi i pega soño, pasobra ta Abo so, O SEÑOR, ta hasimi biba den siguridat."
5,1,"Skucha mi palabranan, O SEÑOR, konsiderá mi meditashon."
5,2,"Paga atenshon na e bos di mi klamor, mi Rei i mi Dios, pasobra ta na Bo mi ta hasi orashon."
5,3,"Den mainta, O SEÑOR, lo Bo tende mi bos; den mainta mi ta dirigí mi orashon na Bo, i ta spera."
5,4,"Pasobra Abo no ta un Dios ku ta hiba gustu den maldat; maldat no ta biba den Bo presensia."
5,5,"Esnan ku ta gusta gaba lo no para dilanti di Bo bista; Bo ta odia tur esnan ku ta hasi inikidat."
5,6,"Bo ta destruí esnan ku ta papia mentira; SEÑOR ta aboresé e hòmber dramadó di sanger i gañadó."
5,7,"Ma pa loke t'ami, pa medio di e abundansia di Bo miserikòrdia lo mi drenta Bo kas; den direkshon di Bo tèmpel santu lo mi bùig ku reverensia pa Bo."
5,8,"O SEÑOR, guiami den Bo hustisia pa motibu di mi enemigunan; hasi Bo kaminda stret mi dilanti."
5,9,"Pasobra den nan boka no tin bèrdat; nan paden ta yen di destrukshon; nan garganta ta un graf habrí; ku nan lenga nan ta labia."
5,10,"Deklará nan kulpabel, O Dios; laga nan kai pa medio di nan mes plannan di maldat! Pa motibu di e multitut di nan transgreshonnan, benta nan afó, pasobra nan ta rebelde kontra Bo."
5,11,"Ma laga tur esnan ku ta tuma refugio den Bo alegrá nan mes; laga nan kanta di alegria pa semper, pasobra ta Abo ta protehá nan; laga esnan ku ta stima Bo nòmber regosihá den Bo."
5,12,"Pasobra ta Abo, O SEÑOR, ta bendishoná e hende hustu; manera ku un eskudo Bo ta rondon'é ku fabor.ocho kuèrdè. Un salmo di David."
6,1,"O SEÑOR, no reprendémi den Bo rabia, ni kastigámi den Bo furia."
6,2,"Tene miserikòrdia di mi, O SEÑOR, pasobra poko-poko mi bida ta kabando; kurami, O SEÑOR, pasobra mi wesunan ta desmayá."
6,3,"I mi alma tambe ta masha desmayá; i Abo, O SEÑOR, kuantu tempu mas?"
6,4,"Bolbe, O SEÑOR, reskatá mi alma; salbami pa motibu di Bo miserikòrdia."
6,5,"Pasobra den morto no tin rekuèrdo di Bo; ken lo dunaBo gradisimentu den Seol?"
6,6,"Mi ta kansá di suspirá; tur anochi mi ta hasi mi kama landa; mi ta muha mi kama ku mi aw'i wowo."
6,7,"Mi wowo ta gastá pa kousa di tristesa; el a bira bieu pa motibu di tur mi atversarionan."
6,8,"Bai for di mi, boso tur, hasidónan di inikidat, pasobra SEÑOR a tende e bos di mi yoramentu."
6,9,"SEÑOR a tende mi súplika; SEÑOR ta risibí mi orashon."
6,10,"Tur mi enemigunan lo keda brongosá i mashá molestiá; nan lo hal'atras, direpiente nan lo keda brongosá.benjaminita."
7,1,"O SEÑOR, mi Dios, den Bo mi a tuma refugio; salbami di tur esnan ku ta pèrsiguími, i librami,"
7,2,"pa nan no habraká mi alma manera leon, i lastrami bai kuné, sin ku tin un hende pa librami."
7,3,"O SEÑOR mi Dios, si mi a hasi esaki, si tin inhustisia den mi mannan,"
7,4,"si mi a paga ku maldat esun ku tabata na pas ku mi, òf si mi a plùnder esun ku sin motibu tabata mi atversario,"
7,5,"anto laga e enemigu pèrsiguí mi alma, i alkans'é; i lagu'é trapa mi bida te na suela, i pone mi onor den stòf."
7,6,"Lanta, O SEÑOR, den Bo rabia; halsa Bo mes kontra e furia di mi atversarionan, spièrta, mi Dios; Bo a ordená huisio."
7,7,"Laga e asamblea di e pueblonan rondonáBo, i goberná riba nan for di e halturanan."
7,8,"SEÑOR ta huzga e pueblonan; vindikámi, O SEÑOR, segun mi hustisia, segun mi integridat ku ta den mi."
7,9,"Laga e maldat di e malbado yega na un fin, ma stablesé e hustu; pasobra e Dios hustu ta pone kurason i mente na prueba."
7,10,"Mi eskudo ta den Dios, Kende ta salba esnan rekto di kurason."
7,11,"Dios ta un hues hustu, i tur dia Dios ta rabiá ku e malbado."
7,12,"Si un hende no repentí, E lo mula Su spada; El a span Su bog i a pon'é kla."
7,13,"Tambe El a prepará Su armanan mortal; E ta prepará Su flechanan ardiente pa Su pèrsiguidónan."
7,14,"Ata, e ta den e doló-di-parto di inikidat, i e ta konsebí pèrvèrsidat i ta pari falsedat."
7,15,"El a koba un buraku i a hasié hundu, i a kai den e buraku ku e mes a koba."
7,16,"Su pèrvèrsidat lo bolbe riba su mes kabes, i su violensia lo baha riba korona di su mes kabes."
7,17,"Lo mi alabá SEÑOR segun Su hustisia, i lo mi kanta alabansa na e nòmber di e SEÑOR Haltísimo."
8,1,"O SEÑOR, nos Señor, ki mahestuoso Bo nòmber ta riba henter mundu, Abo ku a pone Bo splendor mas ariba di e shelunan!"
8,2,"For di boka di chikitunan i di yunan na pechu Bo a stablesé fortalesa pa motibu di Bo atversarionan, pa silensiá e enemigu i e hende vengativo."
8,3,"Ora mi kontemplá Bo shelunan, e obra di Bo dedenan, e luna i e streanan ku Abo a stablesé,"
8,4,"ta kiko hende ta, ku Bo ta kòrda di djé? I e yu di hende, ku Bo ta hasi kaso di djé?"
8,5,"Sinembargo, Bo a hasié un poko menos ku e angelnan, i ta koron'é ku gloria i mahestat!"
8,6,"Bo ta lagu'é tin dominio riba e obranan di Bo mannan; Bo a pone tur kos bou di su pia,"
8,7,"tur karné i baka, i tambe e bestianan di mondi,"
8,8,"e parhanan di shelu i e piskánan di laman, tur loke ta pasa den e berehanan di laman."
