chapter,verse,"text"
1,1,"E palabra di SEÑOR ku a yega na Sofonias, yu hòmber di Kusi, yu hòmber di Gedalias, yu hòmber di Amarias, yu hòmber di Ezekias, den e dianan di Josias, yu hòmber di Amon, rei di Juda:"
1,2,"\"Lo Mi kita tur kos kompletamente for di riba e superfisio di tera,\" SEÑOR ta deklará."
1,3,"\"Lo Mi kita hende i bestia; lo Mi kita e parhanan di shelu i e piskánan di laman, i e ruinanan huntu ku e malbadonan; i lo Mi kòrta kita hende for di riba e superfisio di tera,\" SEÑOR ta deklará."
1,4,"\"Asina lo Mi saka Mi man kontra Juda i kontra tur e habitantenan di Jerusalèm. I lo Mi kòrta kita tur loke a resta di Baal for di e lugá aki, i e nòmbernan di e saserdotenan ku ta adorá ídolo huntu ku e saserdotenan,"
1,5,"i esnan ku ta bùig pa e ehérsito di shelu riba e daknan di kas, i esnan ku ta bùig i ta hura na SEÑOR, i tòg ta hura na Milkom,"
1,6,"i esnan ku a stòp di sigui SEÑOR, i esnan ku no a buska SEÑOR, ni a konsultá kunE."
1,7,"Keda ketu dilanti di Señor DIOS! Pasobra e dia di SEÑOR ta serka, pasobra SEÑOR a prepará un sakrifisio; El a konsagrá Su invitadonan."
1,8,"Anto lo sosodé ku riba e dia di e sakrifisio di SEÑOR lo Mi kastigá e prensnan, e yunan di rei, i tur ku ta bisti nan mes ku bistínan stranhero."
1,9,"I riba e dia ei lo Mi kastigá tur ku ta bula riba drèmpel di e tèmpel, ku ta yena e kas di nan señor ku violensia i engaño."
1,10,"\"I riba e dia ei,\" SEÑOR ta deklará, \"lo tin e zonidu di sklamashon for di Porta di Piská, un yoramentu for di e di dos Distrikto, i un krakmentu duru for di e seritunan."
1,11,"Grita yora, O habitantenan di Maktes, pasobra henter e pueblo di Kanaan lo wòrdu silensiá; tur ku ta pisa plata lo wòrdu kòrtá kitá afó."
1,12,"I lo sosodé na e tempu ei ku lo Mi ristra Jerusalèm ku lantèrna, i lo Mi kastigá e hòmbernan ku ta stagná den spiritu, ku ta bisa den nan kurason: 'SEÑOR lo no hasi ni bon ni malu!'"
1,13,"Ademas, nan rikesa lo bira botín, i nan kasnan lo keda desolá; sí, nan lo traha kas, ma nan lo no biba den nan, i nan lo planta kunukunan di wendrùif, ma nan lo no bebe nan biña.\""
1,14,"\"E gran dia di SEÑOR ta serka; e ta serka i e ta bin masha lihé mes. Skucha! E sklamashon riba e dia di SEÑOR lo ta amargo. Ayanan e guerero ta grita."
1,15,"E dia ei ta un dia di furia, un dia di problema i angustia, un dia di destrukshon i desolashon, un dia di skuridat i tiniebla, un dia di nubia i skuridat profundo,"
1,16,"un dia di tròmpèt i gritu di bataya kontra e statnan fortifiká i e torennan haltu di skina."
1,17,"I lo Mi trese angustia riba hende asina ku nan lo kana manera hende siegu, pasobra nan a peka kontra SEÑOR; i nan sanger lo wòrdu dramá manera stòf, i nan karni manera mèst."
1,18,"Ni nan plata ni nan oro lo no por libra nan riba e dia di e furia di SEÑOR; i henter tera lo wòrdu destruí den e kandela di Su yalursheit, pasobra E lo pone un fin kompleto, sí, un fin teribel, na tur e habitantenan di tera.\""
2,1,"Reuní boso mes, sí, reuní, O nashon sin bèrguensa,"
2,2,"promé ku e dekreto tuma lugá-- e dia ta pasa manera bagas-- promé ku e rabia ardiente di SEÑOR bin riba boso, promé ku e dia di e rabia di SEÑOR bin riba boso."
