chapter,verse,"text"
1,1,"Pablo, un sirbidó di Dios i apòstel di Jesu-Cristo, konforme e fe di e skohínan di Dios i e konosementu di e bèrdat ku ta segun santidat,"
1,2,"den e speransa di bida etèrno, ku Dios, Kende no por gaña, a primintí hopi siglonan pasá,"
1,3,"ma na Su debido tempu a manifestá Su palabra, den e proklamashon ku a wòrdu konfiá na mi segun e mandamentu di Dios nos Salbador;"
1,4,"Na Tito, mi yu bèrdadero den nos fe komun: Grasia i pas di Dios Tata i di Cristo Jesus nos Salbador."
1,5,"Pa e motibu aki mi a lagabo na Kreta, pa bo regla loke ta falta, i nombra ansianonan na tur stat, manera mi a ordenábo."
1,6,"Un ansiano mester ta un hòmber ku ta sin reproche, ku ta esposo di ún esposa, ku tin yu ku ta kere, ku no ta wòrdu akusá di libertinahe òf rebeldia."
1,7,"Pasobra e ansiano mester ta sin reproche komo mayordomo di Dios, no kabesura, no lihé pa rabia, no bisiá na biña, no violento, no golos pa plaka,"
1,8,"sino un hende ku ta praktiká hospitalidat, ku ta stima loke ta bon, ku ta sobrio, hustu, santu, disipliná,"
1,9,"ku ta tene firme na e palabra fiel ku ta segun e siñansa, pa e por eksortá ku doktrina sano i refutá esnan ku ta kontradisí."
1,10,"Pasobra tin hopi hende rebelde, hende ku ta papia pa papia, i gañadónan, spesialmente esnan di e sirkumsishon,"
1,11,"kendenan mester wòrdu silensiá, pasobra nan ta trastorná famianan kompleto, siñando hende kosnan ku nan no mag siña nan, djis pa nan haña ganashi desonesto."
1,12,"Un di nan, kende ta un profeta di nan mes, a bisa: \"Kretensenan semper ta gañadó, mal bestia, golosnan floho.\""
1,13,"E testimonio aki ta bèrdat. Pesei, reprendé nan severamente pa nan por ta sano den fe,"
1,14,"sin paga atenshon na fábulanan hudiu i mandamentunan di hendenan ku ta desviá for di e bèrdat."
1,15,"Pa esnan ku ta puru, tur kos ta puru; ma pa esnan ku ta kontaminá i ku ta inkrédulo, nada no ta puru, ma tantu nan mente komo nan konsenshi ta kontaminá."
1,16,"Nan ta profesá ku nan konosé Dios, ma ku nan echonan nan ta nengu'E, pasobra nan ta abominabel i desobedesido, i nan no ta sirbi pa nada bon."
2,1,"Ma pa loke ta boso, papia e kosnan ku ta pas pa doktrina sano."
2,2,"Hòmbernan di edat mester ta moderá, digno, huisioso, sano den fe, den amor, den pèrseveransia."
2,3,"Di e mesun manera, muhénan di edat mester ta reverente den nan komportashon, no kalumniadó, ni sklabisá na biña, siñando loke ta bon,"
2,4,"pa nan enkurashá e muhénan hoben pa stima nan esposo, pa stima nan yunan,"
2,5,"pa ta huisioso, puru, bon ama di kas, kariñoso, siendo sumiso na nan mes esposo, pa e palabra di Dios no wòrdu desonrá."
2,6,"Di e mesun manera eksortá e hòmbernan hoben pa ta huisioso;"
2,7,"den tur kos presentá bo mes komo un ehèmpel den bon obra, ku puresa den doktrina, ku dignidat,"
2,8,"ku palabra sano ku no por wòrdu kondená, pa e oponente wòrdu brongosá sin ku e tin nada malu di bisa di nos."
2,9,"Eksortá esklabunan pa ta sumiso na nan mes shon den tur kos, pa ta komplasiente, pa no pusta boka,"
2,10,"pa no hòrta nan shon den nada, ma pa mustra tur buena fe, pa nan por dòrna e doktrina di Dios nos Salbador den tur kos."
2,11,"Pasobra e grasia di Dios a paresé, tresiendo salbashon na tur hende,"
2,12,"siñando nos pa renunsiá impiedat i deseonan mundano i pa biba huisioso, hustu i santu den e siglo presente,"
2,13,"wardando riba e speransa bendishoná i e aparishon di e gloria di nos gran Dios i Salbador, Cristo Jesus,"
2,14,"Kende a duna Su mes pa nos, pa E por redimí nos di tur inikidat i purifiká pa Su mes un pueblo pekuliar, ku zelo den hasimentu di bon obra."
2,15,"Papia e kosnan aki, i eksortá i reprendé ku tur outoridat. No laga ningun hende despresiábo."
3,1,"Rekòrdá nan pa ta sumiso na gobernantenan i na outoridatnan, pa ta obedesido, i dispuesto pa hasi tur bon obra,"
3,2,"pa no kalumniá ningun hende, pa no ta pleitadó, ma suave, mustrando tur konsiderashon pa tur hende."
3,3,"Pasobra nos mes tambe un tempu tabata ignorante, desobedesido, gañá, sklabisá na varios pashon i plaser, bibando den malisia i envidia, odioso i odiando otro."
3,4,"Ma ora ku e kariño di Dios nos Salbador i Su amor pa humanidat a paresé,"
3,5,"El a salba nos, no a base di obranan ku nos a hasi den hustisia, ma segun Su miserikòrdia, pa medio di e labamentu di regenerashon i renobashon pa medio di Spiritu Santu,"
3,6,"Kende El a basha rikamente riba nos pa medio di Jesu-Cristo nos Salbador,"
3,7,"pa nos, siendo hustifiká pa medio di Su grasia, por wòrdu hasí erederonan segun e speransa di bida etèrno."
3,8,"Esaki ta un palabra fiel; i e kosnan aki mi kier pa bo konfirmá konstantemente, pa esnan ku a kere den Dios pèrkurá di hasi bon obranan. E kosnan aki ta bon i di probecho pa hende."
3,9,"Ma evitá kontroversianan bobo i genealogianan i pleitu i diskushonnan tokante di Lei; pasobra nan ta sin probecho i no ta bal nada."
3,10,"Rechasá un hende ku ta kousa divishon despues di un promé i un di dos spièrtamentu,"
3,11,"sabiendo ku un hende asina ta pèrvèrso i ta hasi piká, i ta kondená su mes."
3,12,"Ora mi manda Artemas òf Tikiko serka bo, hasi tur esfuerso pa bin serka mi na Nikópolis, pasobra mi a disidí di pasa wenter einan."
3,13,"Yuda abogado Zenas i Apolo ku diligensia pa sigui nan kaminda, pa nan no tin falta di nada."
3,14,"I laga nos hendenan tambe siña di hasi bon obra den kasonan di nesesidat, pa nan no keda sin duna fruta."
3,15,"Tur esnan ku ta huntu ku mi ta saludábo. Saludá esnan ku ta stima nos den fe. Grasia sea ku boso tur. Amèn."
