chapter,verse,"text"
1,1,"E palabranan di Jeremias, yu hòmber di Hilkias, di e saserdotenan ku tabata na Anatot na e tera di Benjamin,"
1,2,"na kende e palabra di SEÑOR a yega den e dianan di Josias, yu hòmber di Amon, rei di Juda, den e di diestres aña di su reinado."
1,3,"Esaki a bin tambe den e dianan di Joakim, yu hòmber di Josias, rei di Juda, te na fin di e di diesun aña di Sedekias, yu hòmber di Josias, rei di Juda, te na e eksilio di Jerusalèm den e di sinku luna."
1,4,"Awor e palabra di SEÑOR a yega na mi, bisando:"
1,5,"\"Promé ku Mi a formabo den barika, Mi tabata konosébo, i promé ku bo a nase, Mi a konsagrábo; Mi a nombrabo komo profeta pa e nashonnan.\""
1,6,"E ora ei mi a bisa: \"Ai, Señor DIOS! Mira, mi no sa kon pa papia, pasobra mi ta un mucha.\""
1,7,"Ma SEÑOR a bisami: \"No bisa: 'Mi ta un mucha,' pasobra unda ku Ami mandabo, lo bo bai, i tur loke Ami mandabo papia, lo bo papia."
1,8,"No tene miedu di nan, pasobra Ami ta ku bo pa librabo,\" SEÑOR ta deklará."
1,9,"Anto SEÑOR a saka Su man i a mishi ku mi boka, i SEÑOR a bisami: \"Ata, Mi a pone Mi palabranan den bo boka."
1,10,"Mira, awe Mi a nombrabo riba e nashonnan i riba e reinonan, pa ranka ku rais ku tur, i pa kibra bash'abou, pa destruí i pa tumba, pa edifiká i pa planta.\""
1,11,"I e palabra di SEÑOR a yega na mi, bisando: \"Jeremias, kiko bo ta mira?\" I mi a kontestá: \"Mi ta mira un bara di palu di amandel.\""
1,12,"Anto SEÑOR a bisami: \"Bo a mira bon, pasobra Mi ta pèrkurá pa Mi palabra, pa kumpli kunE.\""
1,13,"I e palabra di SEÑOR a yega na mi pa di dos biaha, bisando: \"Kiko bo ta mira?\" I mi a kontestá: \"Mi ta mira un wea ta herebé i e ta kènter for di den direkshon di nòrt.\""
1,14,"E ora ei SEÑOR a bisami: \"For di nòrt maldat lo basha bin riba tur habitante di e tera."
1,15,"Pasobra, mira, Mi ta yama tur e famianan di e reinonan di nòrt,\" SEÑOR ta deklará. \"I nan lo bin. I kada un lo pone su trono na entrada di e portanan di Jerusalèm, kontra tur su murayanan tur rònt, i kontra tur e statnan di Juda."
1,16,"I lo Mi dikta Mi huisionan kontra nan pa motibu di tur nan maldat, pasobra nan a bandonáMi i a ofresé sakrifisionan na otro diosnan, i a adorá e obranan di nan mes man."
1,17,"\"Awor, faha bo hep, lanta i bisa nan tur loke Mi ordenábo. No spanta pa nan, pa Mi no tin ku ponebo spanta nan dilanti."
1,18,"Pasobra mira, awe Mi a hasibo manera un stat fortifiká, manera un pilar di heru i manera murayanan di bròns kontra henter e tera, kontra e reinan di Juda, kontra su prensnan, kontra su saserdotenan i kontra e pueblo di e tera."
1,19,"I nan lo bringa kontra bo, ma nan lo no vensebo, pasobra Ami ta ku bo pa librabo,\" SEÑOR ta deklará."
2,1,"E palabra di SEÑOR a yega na mi, bisando:"
2,2,"\"Bai i proklamá pa Jerusalèm tende, i bisa: 'Asina SEÑOR ta bisa: \"Mi ta kòrda e fieldat di bo hubentut, e amor tempu ku bo tabata brùit, kon bo a siguiMi den desierto, dor di un tera ku no a wòrdu sembrá."
2,3,"Israel tabata santu pa SEÑOR, e promé fruta di Su kosecha; tur ku a kome for di djé a bira kulpabel; maldat a bin riba nan,\" SEÑOR ta deklará.'\""
2,4,"Skucha e palabra di SEÑOR, O kas di Jakòb, i tur e famianan di e kas di Israel."
2,5,"Asina SEÑOR ta bisa: \"Ki inhustisia boso tatanan a haña den Mi, ku nan a bai leu for di Mi, i a sigui tras di banidat i a bira bano?"
2,6,"I nan no a puntra: 'Unda SEÑOR ta, Kende a saka nos for di tera di Egipto, Kende a guia nos dor di e desierto, dor di un tera desolá i yen di buraku, dor di un tera seku i di sombra di morto, dor di un tera kaminda ningun hende a yega di pasa, kaminda ningun hende a yega di biba?'"
2,7,"I Mi a hiba boso na un tera fruktífero, pa boso kome di su fruta i di tur loke ta bon den djé. Ma boso a bin kontaminá Mi tera, i boso a hasi Mi erensia un abominashon."
2,8,"E saserdotenan no a puntra: 'Unda SEÑOR ta?' I esnan ku tabatin e lei den nan poder no tabata konoséMi; e gobernantenan tambe a transgresá kontra Mi, i e profetanan a profetisá den e nòmber di Baal, i a sigui tras di kosnan ku no ta di probecho."
2,9,"\"Pesei lo Mi sigui pleita ku boso,\" SEÑOR ta deklará. \"I ku yunan di boso yunan lo Mi pleita."
2,10,"Pasa anto bai na e teranan na kosta di Kitim i mira, i manda mensahero na Kedar i opservá di serka, i mira si algu manera esaki a yega di sosodé!"
2,11,"Akaso un nashon a yega di kambia su diosnan, maske nan no tabata dios? Ma Mi pueblo a kambia nan gloria pa kosnan ku no ta di probecho."
2,12,"Keda babuká pa motibu di esaki, O shelunan, tembla i keda masha desolá,\" SEÑOR ta deklará."
2,13,"\"Pasobra Mi pueblo a kometé dos echo di maldat: Nan a bandonáMi, e fuente di awa bibu, pa traha rembak pa nan mes, rembak kibrá ku no por tene awa."
2,14,"Israel ta un esklabu? Of e ta un sirbidó for di nasementu? Pakiko el a bira proi?"
2,15,"Leon chikitu a gruña kontra djé, nan a gruña duru. Nan a laga su tera keda desolá; su statnan a keda destruí, sin habitante."
2,16,"Tambe e hòmbernan di Menfis i Tafnes a feita korona di bo kabes."
2,17,"No ta bo mes a buska esaki dor di bandoná SEÑOR bo Dios tempu ku El a guiabo den e kaminda?"
2,18,"Awor pakiko bai Egipto pa bebe awa di Riu Neil? Of pakiko bai Asiria pa bebe awa di Riu Eufrates?"
2,19,"Bo mes maldat lo koregíbo, i bo apostasia lo reprendébo; sabi anto i mira ku ta algu malu i amargo ku bo a bandoná SEÑOR bo Dios, i ku bo no tin temor pa Mi,\" e Señor DIOS di ehérsitonan ta deklará."
2,20,"\"Pasobra hopi tempu pasá Mi a kibra bo yugo i a kibra bo kadenanan; ma bo a bisa: 'Mi no kier sirbi!' Pasobra riba tur seru haltu i bou di tur palu bèrdè bo a kai drumi manera un prostituta."
2,21,"Tòg Mi a plantabo manera un mata di wendrùif skohí, un simia kompletamente fiel. Kon anto bo por a kambia bo mes Mi dilanti i bira spreitnan degenerá di un mata di wendrùif shimaron?"
2,22,"Maske bo laba bo mes ku soda brabu i uza hopi habon, tòg e mancha di bo inikidat ta Mi dilanti,\" Señor DIOS ta deklará."
2,23,"\"Kon bo por bisa: 'Mi no ta kontaminá; mi no a sigui tras di e Baalnan'? Mira bo kondukta den e vaye! Mira kiko bo a hasi! Bo ta un kamel yòn i lihé ku ta kore bai bin,"
2,24,"un yewa shimaron, kustumbrá ku mondi, ku den su pashon ta snùif bientu. I den su tempu di dèk, ken por kontrol'é? Ken ku busk'é no tin mester di kansa kurpa; den su luna nan lo hañ'é."
2,25,"Pèrkurá pa bo no ta pia abou i pa bo garganta no seka; ma bo a bisa: 'Nò! No tin speransa! Pasobra mi a stima stranheronan i lo mi sigui nan tras.'"
