chapter,verse,"text"
1,1,"E palabra di SEÑOR ku a yega na Joel, yu hòmber di Petuel."
1,2,"Tende esaki, O ansianonan, i skucha, tur habitante di e tera. Algu asina a yega di sosodé den boso dianan òf den e dianan di boso tatanan?"
1,3,"Konta boso yunan di esaki, i laga boso yunan konta nan yunan, i nan yunan konta e siguiente generashon."
1,4,"Loke ku e tirakochi ku ta kou a laga, e tirakochi ku ta kriul den otro a kome; i loke ku e tirakochi ku ta kriul den otro a laga, e tirakochi ku ta lastra a kome; i loke ku e tirakochi ku ta lastra a laga, e tirakochi ku ta pela laga limpi-limpi a kome."
1,5,"Lanta, burachénan, i yora; i lamentá, boso tur bebedónan di biña, pa motibu di e biña dushi ku a wòrdu kitá for di boso boka."
1,6,"Pasobra un nashon a invadí mi tera, poderoso i inkontabel; su djentenan ta djente di leon, e tin djente di leon muhé."
1,7,"El a distribí mi mata di wendrùif, i a kaba ku mi palu di figo. El a pela nan kaska tir'afó; nan takinan a keda blanku-blanku."
1,8,"Grita yora manera un birgen fahá ku paña-di-saku ta grita yora pa e brùidehòm di su hubentut."
1,9,"E ofrenda di mainshi i e ofrenda di bibida a wòrdu kòrtá kitá for di e kas di SEÑOR. E saserdotenan ta tene rou, e sirbidónan di SEÑOR."
1,10,"E kunuku ta keda ruiná, e tera ta lamentá, pasobra e mainshi ta keda ruiná, e biña nobo ta seka, zeta fresku ta bai pèrdí."
1,11,"Tene bèrguensa, O kunukeronan, grita yora, O kuidadónan di kunuku di wendrùif, pa e trigo i e puspas; pasobra e kosecha di kunuku a wòrdu destruí."
1,12,"E mata di wendrùif ta seka, e palu di figo ta bai pèrdí, e palu di granatapel, e palma tambe, i e palu di apel, tur e palunan di kunuku ta seka. Di bèrdat, goso di e yunan di hende ta seka."
