chapter,verse,"text"
1,1,"E palabra di SEÑOR a yega na Jonas, yu hòmber di Amitai, bisando:"
1,2,"\"Lanta, bai Nínive, e stat grandi, i prediká kontra djé, pasobra nan maldat a yega te Mi dilanti.\""
1,3,"Ma Jonas a lanta pa hui bai Tarsis for di e presensia di SEÑOR. Asina ta ku el a baha bai Jope i a haña un barku ku tabata bai Tarsis. El a paga su pasashi i a subi barku pa bai Tarsis ku nan for di e presensia di SEÑOR."
1,4,"Ma SEÑOR a lanta un bientu duru riba laman, i tabatin un tormento grandi riba laman, asina ku e barku tabata kore peliger di kibra."
1,5,"E ora ei e marineronan a haña miedu, i kada hòmber a sklama na su dios, i nan a tira e karganan ku tabatin den e barku na laman, pa hasié mas lihé. Ma Jonas a baha bai den bodega di e barku, a kai drumi i a pega un soño profundo."
1,6,"Asina e kapitan a bai serka djé i a puntr'é: \"Ta kon bo por drumi? Lanta i sklama na bo dios. Podisé bo dios lo tene konsiderashon ku nos, pa nos no muri.\""
1,7,"I kada hòmber a bisa su kompañero: \"Laga nos ban tira lòt, pa nos haña sa ta pa ken su motibu e kalamidat aki a bin riba nos.\" Asina ta ku nan a tira lòt, i lòt a kai riba Jonas."
1,8,"E ora ei nan a bis'é: \"Bisa nos awor! Ta pa ken su motibu e kalamidat aki a bin riba nos? Ki ofishi bo tin? I di unda bo ta bin? Kual ta bo tera? Di kual pueblo bo ta?\""
1,9,"I el a kontestá nan: \"Ami ta un hebreo, i mi ta teme SEÑOR, e Dios di shelu, Kende a traha laman i tera seku.\""
1,10,"E ora ei e hòmbernan a spanta mashá, i nan a bis'é: \"Kon bo por a hasi un kos asina?\" Pasobra e hòmbernan tabata sa ku e tabata hui for di e presensia di SEÑOR, pasobra e mes a bisa nan."
1,11,"Anto nan a bis'é: \"Kiko nos mester hasi ku bo pa laman kalma pa nos?\" Pasobra ora pa ora laman tabata bira mas brutu."
1,12,"I el a kontestá nan: \"Hisami benta na laman. E ora ei laman lo kalma pa boso, pasobra mi sa ku ta pa mi motibu e tormento grandi aki a bin riba boso.\""
1,13,"Sinembargo, e hòmbernan tabata rema tur ku tin pa yega tera. Ma nan no tabata por, pasobra laman tabata bira ora pa ora mas brutu ainda kontra nan."
