chapter,verse,"text"
1,1,"Awor a sosodé despues di e morto di Moisés, sirbidó di SEÑOR, ku SEÑOR a papia ku Josué, yu hòmber di Nun, Moisés su sirbidó, bisando:"
1,2,"\"Moisés, Mi sirbidó, a muri; pesei, lant'ariba awor, krusa e Jordan aki, abo i henter e pueblo aki, bai na e tera ku Mi ta duna nan--e yunan di Israel."
1,3,"Tur lugá ku boso plant'i pia trapa, Mi a duna boso, manera Mi a bisa Moisés."
1,4,"For di e desierto i e Líbano aki te na e riu grandi, Riu Eufrates, henter e tera di e heteonan, i te na Laman Grandi den direkshon di kaminda solo ta baha, lo ta boso teritorio."
1,5,"Ningun hende lo no por para bo dilanti tur e dianan di bo bida. Meskos ku Mi tabata ku Moisés, asina lo Mi ta ku bo; lo Mi no fayabo ni bandonábo."
1,6,"\"Sea fuerte i tene kurashi, pasobra abo lo hasi e pueblo aki eredá e tera ku Mi a hura nan tatanan ku Mi ta duna nan."
1,7,"Solamente, sea fuerte i tene hopi kurashi; pèrkurá di hasi konforme henter e lei ku Mi sirbidó Moisés a ordenábo; no bira for di djé ni na man drechi ni na man robes, pa bo por tin éksito unda ku bo bai."
1,8,"E buki di lei aki lo no apartá for di bo boka, ma bo mester meditá den djé di dia i anochi, pa bo pèrkurá di hasi konforme tur loke ta pará skirbí den djé; pasobra e ora ei lo bo hasi bo kaminda prosperá, i e ora ei lo bo tin éksito."
1,9,"No ta Ami a ordenábo? Sea fuerte i tene kurashi! No tembla ni desmayá, pasobra SEÑOR bo Dios ta ku bo unda ku bo bai.\""
1,10,"E ora ei Josué a ordená e ofisialnan di e pueblo, bisando:"
1,11,"\"Pasa meimei di e kampamentu i ordená e pueblo, bisando: 'Prepará provishon pa boso mes, pasobra denter di tres dia boso mester krusa e Jordan aki, pa drenta i poderá di e tera ku SEÑOR boso Dios ta duna boso pa poderá di djé.'\""
1,12,"I na e rubenitanan i e gaditanan i na e mitar tribu di Manasés, Josué a bisa:"
1,13,"\"Kòrda e palabra ku Moisés, sirbidó di SEÑOR, a ordená boso, bisando: 'SEÑOR boso Dios ta duna boso sosiegu, i lo duna boso e tera aki.'"
1,14,"Boso esposanan, boso yu chikitunan i boso bestianan mag keda den e tera ku Moisés a duna boso na e otro banda di Jordan, ma boso mester krusa den òrdu militar dilanti di boso rumannan, tur boso guereronan balente, i lo yuda nan,"
1,15,"te dia SEÑOR duna boso rumannan sosiegu, manera E ta duna boso, i nan tambe poderá di e tera ku SEÑOR boso Dios ta duna nan. E ora ei boso mag bolbe na boso mes tera, i poderá di loke Moisés, sirbidó di SEÑOR, a duna boso na e otro banda di Jordan, den direkshon di kaminda solo ta sali.\""
1,16,"I nan a kontestá Josué, bisando: \"Tur loke bo a ordená nos, nos lo hasi, i unda ku bo manda nos, nos lo bai."
1,17,"Meskos ku nos a obedesé Moisés den tur kos, asina nos lo obedesébo; solamente, ku SEÑOR bo Dios sea ku bo, manera E tabata ku Moisés."
1,18,"Ken ku rebeldiá kontra bo òrdu i no obedesé bo palabranan den tur loke bo orden'é, mester wòrdu matá; solamente, sea fuerte i tene kurashi.\""
2,1,"E ora ei Josué, yu hòmber di Nun, a manda dos spion na sekreto for di Sitim, bisando: \"Bai wak e tera, spesialmente Jeriko.\" Asina nan a bai i a drenta kas di un prostituta ku tabata yama Rahab, i a hospedá ayanan."
2,2,"I rei di Jeriko a wòrdu avisá: \"Mira, hòmbernan di e yunan di Israel a bin aki awe nochi pa spioná e tera.\""
2,3,"I rei di Jeriko a manda bisa Rahab: \"E hòmbernan ku a bin serka bo, ku a drenta den bo kas, saka nan afó, pasobra nan a bin pa spioná henter e tera.\""
2,4,"Ma e muhé a tuma e dos hòmbernan i a skonde nan, i el a bisa: \"Sí, e hòmbernan a bin serka mi, ma mi no tabata sa di unda nan tabata."
2,5,"I a sosodé ku ora a bira skur i a yega tempu pa sera porta di stat, e hòmbernan a sali bai; mi no sa unda e hòmbernan a bai. Bai lihé nan tras, i boso lo alkansá nan.\""
2,6,"Ma ta riba dak el a hiba nan i a skonde nan den e stèngelnan di lino ku el a pone riba dak."
2,7,"Asina e hòmbernan a bai pèrsiguí nan riba e kaminda pa Jordan te na e vadonan di e riu; i asina ku esnan ku tabata pèrsiguí nan a sali bai, nan a sera porta di stat."
2,8,"Awor promé ku nan a bai drumi, e muhé a subi bin serka nan riba dak,"
2,9,"i a bisa e hòmbernan: \"Mi sa ku SEÑOR a duna boso e tera i ku teror pa boso a kai riba nos, i ku tur e habitantenan di e tera a desmayá pa boso motibu."
2,10,"Pasobra nos a tende kon SEÑOR a seka e awa di Laman Kòrá boso dilanti, ora boso a sali for di Egipto, i kiko boso a hasi ku e dos reinan di e amoreonan ku tabata na e otro banda di Jordan, ku Sehon i Og, kendenan boso a destruí kompletamente."
2,11,"I ora nos a tende esaki, nos kurason a dirti, i pa boso motibu ningun hende no tabatin kurashi mas; pasobra SEÑOR boso Dios, E ta Dios ariba den shelu i abou na tera."
2,12,"Pesei anto, pa fabor, hurami pa SEÑOR, komo ku mi a trata boso bon, ku boso tambe lo trata e hendenan di kas di mi tata bon, i dunami un garantia di fieldat,"
2,13,"i spar bida di mi tata i mi mama i mi ruman hòmbernan i mi ruman muhénan, huntu ku tur esnan ku ta pertenesé na nan, i libra nos bida for di morto.\""
2,14,"E ora ei e hòmbernan a bis'é: \"Nos bida pa boso bida basta boso no konta di e asunto di nos aki; i lo sosodé ku ora SEÑOR duna nos e tera, nos lo tratabo ku miserikòrdia i bèrdat.\""
2,15,"E ora ei el a laga nan baha na un kabuya dor di e bentana, pasobra su kas tabata keda riba e muraya di stat, asina ku e tabata biba riba e muraya."
2,16,"I el a bisa nan: \"Bai den e serunan, pa esnan ku ta pèrsiguí boso no haña boso, i skonde ayanan pa tres dia, te ora ku esnan ku ta pèrsiguí boso bin bèk. Despues boso por sigui boso kaminda.\""
2,17,"I e hòmbernan a bis'é: \"Nos lo ta liber di e huramentu aki na bo, ku bo a pone nos hura,"
2,18,"a menos ku ora nos bin den e tera, bo mara e kordon di hilu skarlata aki na e bentana dor di kual bo a laga nos baha, i reuní serka bo den bo kas, bo tata i bo mama i bo rumannan i tur hende di kas di bo tata."
2,19,"I lo sosodé ku ken ku sali for di e portanan di bo kas bai riba kaya, su sanger lo ta riba su mes kabes, i nos lo ta liber; ma ken ku ta serka bo den kas, su sanger lo ta riba nos kabes, si un man wòrdu poní riba djé."
2,20,"Ma si bo konta di e asunto di nos aki, e ora ei nos lo ta liber di e huramentu ku bo a hasi nos hura.\""
2,21,"I el a bisa: \"Konforme bo palabranan, asina lo ta.\" Asina el a manda nan bai, i nan a bai; i el a mara e kordon skarlata na e bentana."
2,22,"I nan a bai i a yega na e serunan, i a keda einan tres dia te ora ku esnan ku tabata pèrsiguí nan a bai bèk. Awor esnan ku tabata pèrsiguí nan a buska nan henter kaminda, ma no a haña nan."
2,23,"E ora ei e dos hòmbernan a bin bèk i a baha for di e serunan i a krusa i a bin serka Josué, yu hòmber di Nun, i nan a kont'é tur loke a pasa ku nan."
2,24,"I nan a bisa Josué: \"Siguramente SEÑOR a entregá henter e tera den nos man, i ademas, tur e habitantenan di e tera a desmayá pa nos motibu.\""
3,1,"E ora ei Josué a lanta mainta tempran; i é ku tur e yunan di Israel a sali bai for di Sitim i a yega Jordan, i nan a hospedá ayanan promé ku nan a krusa."
